"Year","MALATHION(QTY)(kg)","DIMETHOATE(QTY)(kg)","D.D.V.P.(QTY)(kg)","COPPER OXYCHLORIDE(QTY)(kg)","CARBARYL(QTY)(kg)","CARBOSULPHAN(QTY)(kg)"
1920,1754,870,22,1514,152,44
1921,1755,871,23,1515,153,45
1922,1756,872,24,1516,154,46
1923,1757,873,25,1517,155,47
1924,1758,874,26,1518,156,48
1925,1759,875,27,1519,157,49
1926,1760,876,28,1520,158,50
1927,1761,877,29,1521,159,51
1928,1762,878,30,1522,160,52
1929,1763,879,31,1523,161,53
1930,1764,880,32,1524,162,54
1931,1765,881,33,1525,163,55
1932,1766,882,34,1526,164,56
1933,1767,883,35,1527,165,57
1934,1768,884,36,1528,166,58
1935,1769,885,37,1529,167,59
1936,1770,886,38,1530,168,60
1937,1771,887,39,1531,169,61
1938,1772,888,40,1532,170,62
1939,1773,889,41,1533,171,63
1940,1774,890,42,1534,172,64
1941,1775,891,43,1535,173,65
1942,1776,892,44,1536,174,66
1943,1777,893,45,1537,175,67
1944,1778,894,46,1538,176,68
1945,1779,895,47,1539,177,69
1946,1780,896,48,1540,178,70
1947,1781,897,49,1541,179,71
1948,1782,898,50,1542,180,72
1949,1783,899,51,1543,181,73
1950,1784,900,52,1544,182,74
1951,1785,901,53,1545,183,75
1952,1786,902,54,1546,184,76
1953,1787,903,55,1547,185,77
1954,1788,904,56,1548,186,78
1955,1789,905,57,1549,187,79
1956,1790,906,58,1550,188,80
1957,1791,907,59,1551,189,81
1958,1792,908,60,1552,190,82
1959,1793,909,61,1553,191,83
1960,1794,910,62,1554,192,84
1961,1795,911,63,1555,193,85
1962,1796,912,64,1556,194,86
1963,1797,913,65,1557,195,87
1964,1798,914,66,1558,196,88
1965,1799,915,67,1559,197,89
1966,1800,916,68,1560,198,90
1967,1801,917,69,1561,199,91
1968,1802,918,70,1562,200,92
1969,1803,919,71,1563,201,93
1970,1804,920,72,1564,202,94
1971,1805,921,73,1565,203,95
1972,1806,922,74,1566,204,96
1973,1807,923,75,1567,205,97
1974,1808,924,76,1568,206,98
1975,1809,925,77,1569,207,99
1976,1810,926,78,1570,208,100
1977,1811,927,79,1571,209,101
1978,1812,928,80,1572,210,102
1979,1813,929,81,1573,211,103
1980,1814,930,82,1574,212,104
1981,1815,931,83,1575,213,105
1982,1816,932,84,1576,214,106
1983,1817,933,85,1577,215,107
1984,1818,934,86,1578,216,108
1985,1819,935,87,1579,217,109
1986,1820,936,88,1580,218,110
1987,1821,937,89,1581,219,111
1988,1822,938,90,1582,220,112
1989,1823,939,91,1583,221,113
1990,1824,940,92,1584,222,114
1991,1825,941,93,1585,223,115
1992,1826,942,94,1586,224,116
1993,1827,943,95,1587,225,117
1994,1828,944,96,1588,226,118
1995,1829,945,97,1589,227,119
1996,1830,946,98,1590,228,120
1997,1831,947,99,1591,229,121
1998,1832,948,100,1592,230,122
1999,1833,949,101,1593,231,123
2000,1834,950,102,1594,232,124
2001,1835,951,103,1595,233,125
2002,1836,952,104,1596,234,126
2003,1837,953,105,1597,235,127
2004,1838,954,106,1598,236,128
2005,1839,955,107,1599,237,129
2006,1840,956,108,1600,238,130
2007,1841,957,109,1601,239,131
2008,1842,958,110,1602,240,132
2009,1843,959,111,1603,241,133
2010,1844,960,112,1604,242,134
2011,1845,961,113,1605,243,135
2012,1846,962,114,1606,244,136
2013,1847,963,115,1607,245,137
2014,1848,964,116,1608,246,138
2015,1849,965,117,1609,247,139
2016,1850,966,118,1610,248,140
2017,1851,967,119,1611,249,141
2018,1852,968,120,1612,250,142
2019,1853,969,121,1613,251,143
2020,1854,970,122,1614,252,144
