"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
1920,21951,90,2,26,15,1019
1921,26530,91,3,22,12,1020
1922,19875,92,4,24,14,1021
1923,21754,93,5,22,12,1022
1924,24261,91,3,22,12,1020
1925,22040,92,4,24,14,1021
1926,22654,91,3,22,12,1020
1927,24955,92,4,24,14,1021
1928,23439,93,5,22,12,1022
1929,26571,91,3,22,12,1020
1930,22781,90,2,26,15,1019
1931,25400,91,3,22,12,1020
1932,24890,92,4,24,14,1021
1933,21208,93,5,22,12,1022
1934,28419,91,3,22,12,1020
1935,22396,92,4,24,14,1021
1936,24282,91,3,22,12,1020
1937,21871,92,4,24,14,1021
1938,24591,92,4,24,14,1021
1939,21922,93,5,22,12,1022
1940,22630,91,3,22,12,1020
1941,24020,92,4,24,14,1021
1942,24535,91,3,22,12,1020
1943,25332,92,4,24,14,1021
1944,22209,93,5,22,12,1022
1945,25004,91,3,22,12,1020
1946,26492,90,2,26,15,1019
1947,28273,91,3,22,12,1020
1948,30849,92,4,24,14,1021
1949,26337,93,5,22,12,1022
1950,26404,91,3,22,12,1020
1951,23495,92,4,24,14,1021
1952,26305,91,3,22,12,1020
1953,28232,92,4,24,14,1021
1954,25402,93,5,22,12,1022
1955,23802,91,3,22,12,1020
1956,26130,92,4,24,14,1021
1957,26404,91,3,22,12,1020
1958,21886,92,4,24,14,1021
1959,22314,93,5,22,12,1022
1960,26404,91,3,22,12,1020
1961,22945,90,2,26,15,1019
1962,22910,91,3,22,12,1020
1963,21979,92,4,24,14,1021
1964,19279,93,5,22,12,1022
1965,24109,91,3,22,12,1020
1966,24657,92,4,24,14,1021
1967,22085,91,3,22,12,1020
1968,26257,92,4,24,14,1021
1969,19491,92,4,24,14,1021
1970,22825,93,5,22,12,1022
1971,21176,91,3,22,12,1020
1972,26962,92,4,24,14,1021
1973,20890,91,3,22,12,1020
1974,20406,92,4,24,14,1021
1975,25580,93,5,22,12,1022
1976,28358,91,3,22,12,1020
1977,19520,90,2,26,15,1019
1978,22354,91,3,22,12,1020
1979,25974,92,4,24,14,1021
1980,18671,93,5,22,12,1022
1981,22347,93,5,22,12,1022
1982,21457,91,3,22,12,1020
1983,21026,92,4,24,14,1021
1984,20085,91,3,22,12,1020
1985,24343,92,4,24,14,1021
1986,22154,93,5,22,12,1022
1987,21647,91,3,22,12,1020
1988,20950,90,2,26,15,1019
1989,23934,91,3,22,12,1020
1990,31029,92,4,24,14,1021
1991,25418,93,5,22,12,1022
1992,22077,91,3,22,12,1020
1993,26282,92,4,24,14,1021
1994,21614,91,3,22,12,1020
1995,27766,92,4,24,14,1021
1996,22905,92,4,24,14,1021
1997,22977,93,5,22,12,1022
1998,23049,91,3,22,12,1020
1999,21724,92,4,24,14,1021
2000,23740,91,3,22,12,1020
2001,22746,92,4,24,14,1021
2002,23470,93,5,22,12,1022
2003,19954,91,3,22,12,1020
2004,22495,90,2,26,15,1019
2005,21744,91,3,22,12,1020
2006,26917,92,4,24,14,1021
2007,23473,93,5,22,12,1022
2008,18246,91,3,22,12,1020
2009,25411,92,4,24,14,1021
2010,22685,91,3,22,12,1020
2011,19327,92,4,24,14,1021
2012,24586,93,5,22,12,1022
2013,17799,91,3,22,12,1020
2014,22680,92,4,24,14,1021
2015,18055,91,3,22,12,1020
2016,18863,92,4,24,14,1021
2017,22773,91,3,22,12,1020
2018,22685,90,2,26,15,1019
2019,19327,91,3,22,12,1020
2020,24586,92,4,24,14,1021
