"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
1920,5,11,0.3,200,150,178
1921,4.5,20,0.4,230,110,200
1922,5,25,0.2,250,102,400
1923,4.1,30,0.4,260,90,410
1924,5,38,0.2,277,101,420
1925,4.5,20,0.4,230,110,200
1926,5,25,0.2,250,102,400
1927,4.1,30,0.4,260,90,410
1928,5,25,0.2,250,102,400
1929,4.1,30,0.4,260,90,410
1930,5,38,0.2,277,101,420
1931,4.5,20,0.4,230,110,200
1932,5,25,0.2,250,102,400
1933,4.5,20,0.4,230,110,200
1934,5,25,0.2,250,102,400
1935,4.1,30,0.4,260,90,410
1936,5,38,0.2,277,101,420
1937,4.5,20,0.4,230,110,200
1938,5,25,0.2,250,102,400
1939,4.1,30,0.4,260,90,410
1940,5,25,0.2,250,102,400
1941,4.1,30,0.4,260,90,410
1942,5,38,0.2,277,101,420
1943,4.5,20,0.4,230,110,200
1944,5,11,0.3,200,150,178
1945,4.5,20,0.4,230,110,200
1946,5,25,0.2,250,102,400
1947,4.1,30,0.4,260,90,410
1948,5,38,0.2,277,101,420
1949,4.5,20,0.4,230,110,200
1950,5,25,0.2,250,102,400
1951,4.1,30,0.4,260,90,410
1952,5,25,0.2,250,102,400
1953,4.1,30,0.4,260,90,410
1954,5,38,0.2,277,101,420
1955,4.5,20,0.4,230,110,200
1956,5,25,0.2,250,102,400
1957,4.5,20,0.4,230,110,200
1958,5,25,0.2,250,102,400
1959,4.1,30,0.4,260,90,410
1960,5,38,0.2,277,101,420
1961,4.5,20,0.4,230,110,200
1962,5,25,0.2,250,102,400
1963,4.1,30,0.4,260,90,410
1964,5,25,0.2,250,102,400
1965,4.1,30,0.4,260,90,410
1966,5,25,0.2,250,102,400
1967,4.1,30,0.4,260,90,410
1968,5,38,0.2,277,101,420
1969,4.5,20,0.4,230,110,200
1970,5,25,0.2,250,102,400
1971,4.1,30,0.4,260,90,410
1972,5,25,0.2,250,102,400
1973,4.1,30,0.4,260,90,410
1974,5,38,0.2,277,101,420
1975,4.5,20,0.4,230,110,200
1976,5,25,0.2,250,102,400
1977,4.5,20,0.4,230,110,200
1978,5,25,0.2,250,102,400
1979,4.1,30,0.4,260,90,410
1980,5,38,0.2,277,101,420
1981,4.5,20,0.4,230,110,200
1982,5,25,0.2,250,102,400
1983,4.1,30,0.4,260,90,410
1984,5,25,0.2,250,102,400
1985,4.1,30,0.4,260,90,410
1986,5,38,0.2,277,101,420
1987,4.5,20,0.4,230,110,200
1988,5,11,0.3,200,150,178
1989,4.5,20,0.4,230,110,200
1990,5,25,0.2,250,102,400
1991,4.1,30,0.4,260,90,410
1992,5,38,0.2,277,101,420
1993,4.5,20,0.4,230,110,200
1994,5,25,0.2,250,102,400
1995,4.1,30,0.4,260,90,410
1996,5,25,0.2,250,102,400
1997,4.1,30,0.4,260,90,410
1998,5,38,0.2,277,101,420
1999,4.5,20,0.4,230,110,200
2000,5,25,0.2,250,102,400
2001,4.5,20,0.4,230,110,200
2002,5,25,0.2,250,102,400
2003,4.1,30,0.4,260,90,410
2004,5,38,0.2,277,101,420
2005,4.5,20,0.4,230,110,200
2006,5,25,0.2,250,102,400
2007,4.1,30,0.4,260,90,410
2008,5,25,0.2,250,102,400
2009,4.1,30,0.4,260,90,410
2010,5,25,0.2,250,102,400
2011,4.1,30,0.4,260,90,410
2012,5,38,0.2,277,101,420
2013,4.5,20,0.4,230,110,200
2014,5,25,0.2,250,102,400
2015,4.1,30,0.4,260,90,410
2016,5,25,0.2,250,102,400
2017,4.1,30,0.4,260,90,410
2018,5,38,0.2,277,101,420
2019,5,38,0.2,277,101,420
2020,4.5,20,0.4,230,110,200
