"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
1920,0.47,4.91,4.35,2,6.5,1670
1921,1.47,5.91,5.35,3,6.6,1671
1922,2.47,6.91,6.35,4,6.8,1672
1923,3.47,7.91,7.35,5,7.2,1673
1924,4.47,8.91,8.35,6,7.3,1674
1925,5.47,9.91,9.35,7,6.6,1675
1926,6.47,10.91,10.35,8,6.8,1676
1927,7.47,11.91,11.35,9,7.2,1677
1928,8.47,12.91,12.35,10,6.5,1678
1929,9.47,13.91,13.35,11,6.6,1679
1930,10.47,14.91,14.35,12,6.8,1680
1931,11.47,15.91,15.35,13,7.2,1681
1932,12.47,16.91,16.35,14,7.3,1682
1933,13.47,17.91,17.35,15,6.6,1683
1934,14.47,18.91,18.35,16,6.6,1684
1935,15.47,19.91,19.35,17,6.8,1685
1936,16.47,20.91,20.35,18,7.2,1686
1937,17.47,21.91,21.35,19,7.3,1687
1938,18.47,22.91,22.35,20,6.6,1688
1939,19.47,23.91,23.35,21,6.8,1689
1940,20.47,24.91,24.35,22,7.2,1690
1941,21.47,25.91,25.35,23,6.5,1691
1942,22.47,26.91,26.35,24,6.6,1692
1943,23.47,27.91,27.35,25,6.8,1693
1944,24.47,28.91,28.35,26,7.2,1694
1945,25.47,29.91,29.35,27,7.3,1695
1946,26.47,30.91,30.35,28,6.6,1696
1947,27.47,31.91,31.35,29,6.8,1697
1948,28.47,32.91,32.35,30,7.2,1698
1949,29.47,33.91,33.35,31,7.3,1699
1950,30.47,34.91,34.35,32,6.6,1700
1951,31.47,35.91,35.35,33,6.8,1701
1952,32.47,36.91,36.35,34,7.2,1702
1953,33.47,37.91,37.35,35,6.5,1703
1954,34.47,38.91,38.35,36,6.6,1704
1955,35.47,39.91,39.35,37,6.8,1705
1956,36.47,40.91,40.35,38,7.2,1706
1957,37.47,41.91,41.35,39,7.3,1707
1958,38.47,42.91,42.35,40,6.6,1708
1959,39.47,43.91,43.35,41,6.6,1709
1960,40.47,44.91,44.35,42,6.8,1710
1961,41.47,45.91,45.35,43,7.2,1711
1962,42.47,46.91,46.35,44,7.3,1712
1963,43.47,47.91,47.35,45,6.6,1713
1964,44.47,48.91,48.35,46,6.8,1714
1965,45.47,49.91,49.35,47,7.2,1715
1966,46.47,50.91,50.35,48,6.5,1716
1967,47.47,51.91,51.35,49,7.2,1717
1968,48.47,52.91,52.35,50,7.3,1718
1969,49.47,53.91,53.35,51,6.6,1719
1970,50.47,54.91,54.35,52,6.8,1720
1971,51.47,55.91,55.35,53,7.2,1721
1972,52.47,56.91,56.35,54,6.5,1722
1973,53.47,57.91,57.35,55,6.6,1723
1974,54.47,58.91,58.35,56,6.8,1724
1975,55.47,59.91,59.35,57,7.2,1725
1976,56.47,60.91,60.35,58,7.3,1726
1977,57.47,61.91,61.35,59,6.6,1727
1978,58.47,62.91,62.35,60,6.6,1728
1979,59.47,63.91,63.35,61,6.8,1729
1980,60.47,64.91,64.35,62,7.2,1730
1981,61.47,65.91,65.35,63,7.3,1731
1982,62.47,66.91,66.35,64,6.6,1732
1983,63.47,67.91,67.35,65,6.8,1733
1984,64.47,68.91,68.35,66,7.2,1734
1985,65.47,69.91,69.35,67,6.5,1735
1986,66.47,70.91,70.35,68,6.6,1736
1987,67.47,71.91,71.35,69,6.8,1737
1988,68.47,72.91,72.35,70,7.2,1738
1989,69.47,73.91,73.35,71,7.3,1739
1990,70.47,74.91,74.35,72,6.6,1740
1991,71.47,75.91,75.35,73,6.8,1741
1992,72.47,76.91,76.35,74,7.2,1742
1993,73.47,77.91,77.35,75,7.3,1743
1994,74.47,78.91,78.35,76,6.6,1744
1995,75.47,79.91,79.35,77,6.8,1745
1996,76.47,80.91,80.35,78,7.2,1746
1997,77.47,81.91,81.35,79,6.5,1747
1998,78.47,82.91,82.35,80,6.6,1748
1999,79.47,83.91,83.35,81,6.8,1749
2000,80.47,84.91,84.35,82,7.2,1750
2001,81.47,85.91,85.35,83,7.3,1751
2002,82.47,86.91,86.35,84,6.6,1752
2003,83.47,87.91,87.35,85,6.6,1753
2004,84.47,88.91,88.35,86,6.8,1754
2005,85.47,89.91,89.35,87,7.2,1755
2006,86.47,90.91,90.35,88,7.3,1756
2007,87.47,91.91,91.35,89,6.6,1757
2008,88.47,92.91,92.35,90,6.6,1758
2009,89.47,93.91,93.35,91,6.8,1759
2010,90.47,94.91,94.35,92,7.2,1760
2011,91.47,95.91,95.35,93,7.3,1761
2012,92.47,96.91,96.35,94,6.6,1762
2013,93.47,97.91,97.35,95,6.8,1763
2014,94.47,98.91,98.35,96,7.2,1764
2015,95.47,99.91,99.35,97,6.5,1765
2016,96.47,100.91,100.35,98,6.6,1766
2017,97.47,101.91,101.35,99,6.8,1767
2018,98.47,102.91,102.35,100,7.2,1768
2019,99.47,103.91,103.35,101,7.3,1769
2020,100.47,104.91,104.35,102,6.6,1770
