"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,7,120,390,40,501,800
1921,7,121,391,41,502,801
1922,7,122,392,42,503,802
1923,7,123,393,43,504,803
1924,7,124,394,44,505,804
1925,7,125,395,45,506,805
1926,7,126,396,46,507,806
1927,7,127,397,47,508,807
1928,7,128,398,48,509,808
1929,7,129,399,49,510,809
1930,7,130,400,50,511,810
1931,7,131,401,51,512,811
1932,7,132,402,52,513,812
1933,7,133,403,53,514,813
1934,7,134,404,54,515,814
1935,7,135,405,55,516,815
1936,7,136,406,56,517,816
1937,7,137,407,57,518,817
1938,7,138,408,58,519,818
1939,7,139,409,59,520,819
1940,7,140,410,60,521,820
1941,7,141,411,61,522,821
1942,7,142,412,62,523,822
1943,7,143,413,63,524,823
1944,7,144,414,64,525,824
1945,7,145,415,65,526,825
1946,7,146,416,66,527,826
1947,7,147,417,67,528,827
1948,7,148,418,68,529,828
1949,7,149,419,69,530,829
1950,7,150,420,70,531,830
1951,7,151,421,71,532,831
1952,7,152,422,72,533,832
1953,7,153,423,73,534,833
1954,7,154,424,74,535,834
1955,7,155,425,75,536,835
1956,7,156,426,76,537,836
1957,7,157,427,77,538,837
1958,7,158,428,78,539,838
1959,7,159,429,79,540,839
1960,7,160,430,80,541,840
1961,7,161,431,81,542,841
1962,7,162,432,82,543,842
1963,7,163,433,83,544,843
1964,7,164,434,84,545,844
1965,7,165,435,85,546,845
1966,7,166,436,86,547,846
1967,7,167,437,87,548,847
1968,7,168,438,88,549,848
1969,7,169,439,89,550,849
1970,7,170,440,90,551,850
1971,7,171,441,91,552,851
1972,7,172,442,92,553,852
1973,7,173,443,93,554,853
1974,7,174,444,94,555,854
1975,7,175,445,95,556,855
1976,7,176,446,96,557,856
1977,7,177,447,97,558,857
1978,7,178,448,98,559,858
1979,7,179,449,99,560,859
1980,7,180,450,100,561,860
1981,7,181,451,101,562,861
1982,7,182,452,102,563,862
1983,7,183,453,103,564,863
1984,7,184,454,104,565,864
1985,7,185,455,105,566,865
1986,7,186,456,106,567,866
1987,7,187,457,107,568,867
1988,7,188,458,108,569,868
1989,7,189,459,109,570,869
1990,7,190,460,110,571,870
1991,7,191,461,111,572,871
1992,7,192,462,112,573,872
1993,7,193,463,113,574,873
1994,7,194,464,114,575,874
1995,7,195,465,115,576,875
1996,7,196,466,116,577,876
1997,7,197,467,117,578,877
1998,7,198,468,118,579,878
1999,7,199,469,119,580,879
2000,7,200,470,120,581,880
2001,7,201,471,121,582,881
2002,7,202,472,122,583,882
2003,7,203,473,123,584,883
2004,7,204,474,124,585,884
2005,7,205,475,125,586,885
2006,7,206,476,126,587,886
2007,7,207,477,127,588,887
2008,7,208,478,128,589,888
2009,7,209,479,129,590,889
2010,7,210,480,130,591,890
2011,7,211,481,131,592,891
2012,7,212,482,132,593,892
2013,7,213,483,133,594,893
2014,7,214,484,134,595,894
2015,7,215,485,135,596,895
2016,7,216,486,136,597,896
2017,7,217,487,137,598,897
2018,7,218,488,138,599,898
2019,7,219,489,139,600,899
2020,7,220,490,140,601,900
