"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
1920,0.01,13.2,7.8,10.78,5.6,1000
1921,1.01,14.2,8.8,11.78,5.7,1001
1922,2.01,15.2,9.8,12.78,6.6,1002
1923,3.01,16.2,10.8,13.78,7,1003
1924,4.01,17.2,11.8,14.78,8.4,1004
1925,5.01,18.2,12.8,15.78,9,1005
1926,6.01,19.2,13.8,16.78,7.1,1006
1927,7.01,20.2,14.8,17.78,8.4,1007
1928,8.01,21.2,15.8,18.78,9,1008
1929,9.01,22.2,16.8,19.78,6.6,1009
1930,10.01,23.2,17.8,20.78,7.1,1010
1931,11.01,24.2,18.8,21.78,8.4,1011
1932,12.01,25.2,19.8,22.78,9,1012
1933,13.01,26.2,20.8,23.78,7.1,1013
1934,14.01,27.2,21.8,24.78,8.4,1014
1935,15.01,28.2,22.8,25.78,7,1015
1936,16.01,29.2,23.8,26.78,7.1,1016
1937,17.01,30.2,24.8,27.78,7.2,1017
1938,18.01,31.2,25.8,28.78,7.4,1018
1939,19.01,32.2,26.8,29.78,7,1019
1940,20.01,33.2,27.8,30.78,7.1,1020
1941,21.01,34.2,28.8,31.78,7.2,1021
1942,22.01,35.2,29.8,32.78,7,1022
1943,23.01,36.2,30.8,33.78,7.1,1023
1944,24.01,37.2,31.8,34.78,7.2,1024
1945,25.01,38.2,32.8,35.78,7.4,1025
1946,26.01,39.2,33.8,36.78,7,1026
1947,27.01,40.2,34.8,37.78,7.1,1027
1948,28.01,41.2,35.8,38.78,7.2,1028
1949,29.01,42.2,36.8,39.78,7.4,1029
1950,30.01,43.2,37.8,40.78,7,1030
1951,31.01,44.2,38.8,41.78,7.1,1031
1952,32.01,45.2,39.8,42.78,7.2,1032
1953,33.01,46.2,40.8,43.78,7.4,1033
1954,34.01,47.2,41.8,44.78,7,1034
1955,35.01,48.2,42.8,45.78,7.1,1035
1956,36.01,49.2,43.8,46.78,7,1036
1957,37.01,50.2,44.8,47.78,7.1,1037
1958,38.01,51.2,45.8,48.78,7.2,1038
1959,39.01,52.2,46.8,49.78,7.4,1039
1960,40.01,53.2,47.8,50.78,7,1040
1961,41.01,54.2,48.8,51.78,7.1,1041
1962,42.01,55.2,49.8,52.78,7.2,1042
1963,43.01,56.2,50.8,53.78,7.4,1043
1964,44.01,57.2,51.8,54.78,7,1044
1965,45.01,58.2,52.8,55.78,7.1,1045
1966,46.01,59.2,53.8,56.78,7.2,1046
1967,47.01,60.2,54.8,57.78,7.4,1047
1968,48.01,61.2,55.8,58.78,7,1048
1969,49.01,62.2,56.8,59.78,7.1,1049
1970,50.01,63.2,57.8,60.78,7.2,1050
1971,51.01,64.2,58.8,61.78,7,1051
1972,52.01,65.2,59.8,62.78,7.1,1052
1973,53.01,66.2,60.8,63.78,7.2,1053
1974,54.01,67.2,61.8,64.78,7.4,1054
1975,55.01,68.2,62.8,65.78,7,1055
1976,56.01,69.2,63.8,66.78,7.1,1056
1977,57.01,70.2,64.8,67.78,7.2,1057
1978,58.01,71.2,65.8,68.78,7.4,1058
1979,59.01,72.2,66.8,69.78,7,1059
1980,60.01,73.2,67.8,70.78,7.1,1060
1981,61.01,74.2,68.8,71.78,7.2,1061
1982,62.01,75.2,69.8,72.78,7,1062
1983,63.01,76.2,70.8,73.78,7.1,1063
1984,64.01,77.2,71.8,74.78,7.2,1064
1985,65.01,78.2,72.8,75.78,7.4,1065
1986,66.01,79.2,73.8,76.78,7,1066
1987,67.01,80.2,74.8,77.78,7.1,1067
1988,68.01,81.2,75.8,78.78,7.2,1068
1989,69.01,82.2,76.8,79.78,7.4,1069
1990,70.01,83.2,77.8,80.78,7,1070
1991,71.01,84.2,78.8,81.78,7.1,1071
1992,72.01,85.2,79.8,82.78,7.2,1072
1993,73.01,86.2,80.8,83.78,7.4,1073
1994,74.01,87.2,81.8,84.78,7,1074
1995,75.01,88.2,82.8,85.78,7.1,1075
1996,76.01,89.2,83.8,86.78,7.2,1076
1997,77.01,90.2,84.8,87.78,7,1077
1998,78.01,91.2,85.8,88.78,7.1,1078
1999,79.01,92.2,86.8,89.78,7.2,1079
2000,80.01,93.2,87.8,90.78,7.4,1080
2001,81.01,94.2,88.8,91.78,7,1081
2002,82.01,95.2,89.8,92.78,7.1,1082
2003,83.01,96.2,90.8,93.78,7.2,1083
2004,84.01,97.2,91.8,94.78,7.4,1084
2005,85.01,98.2,92.8,95.78,7,1085
2006,86.01,99.2,93.8,96.78,7.1,1086
2007,87.01,100.2,94.8,97.78,7.2,1087
2008,88.01,101.2,95.8,98.78,7.4,1088
2009,89.01,102.2,96.8,99.78,7,1089
2010,90.01,103.2,97.8,100.78,7.1,1090
2011,91.01,104.2,98.8,101.78,7,1091
2012,92.01,105.2,99.8,102.78,7.1,1092
2013,93.01,106.2,100.8,103.78,7.2,1093
2014,94.01,107.2,101.8,104.78,7.4,1094
2015,95.01,108.2,102.8,105.78,7,1095
2016,96.01,109.2,103.8,106.78,7.1,1096
2017,97.01,110.2,104.8,107.78,7.2,1097
2018,98.01,111.2,105.8,108.78,7.4,1098
2019,99.01,112.2,106.8,109.78,7,1099
2020,100.01,113.2,107.8,110.78,7.3,1100
