"Year","Rice(kg/hectare)","Jowar","Ragi","Small Millets","Tur","Gram","Groundnuts","Sessasum","Banana","Sugarcane","Tobacco","Chillies","Ginger","Tumeric","Bajra","Maize","Potato","Wheat","Other Pulses","Jute","Mesta","Cotton","Coconut"
1920,1425,531,548,413,771,659,1080,141,92,61148,711,10,112,22,515,2063,47,1369,279,1589,791,361,53
1921,1426,532,549,414,772,660,1081,142,93,61149,712,10,112,22,516,2064,48,1370,280,1590,792,362,53
1922,1427,533,550,415,773,661,1082,143,94,61150,713,10,112,22,517,2065,49,1371,281,1591,793,363,53
1923,1428,534,551,416,774,662,1083,144,95,61151,714,10,112,22,518,2066,50,1372,282,1592,794,364,53
1924,1429,535,552,417,775,663,1084,145,96,61152,715,10,112,22,519,2067,51,1373,283,1593,795,365,53
1925,1430,536,553,418,776,664,1085,146,97,61153,716,10,112,22,520,2068,52,1374,284,1594,796,366,53
1926,1431,537,554,419,777,665,1086,147,98,61154,717,10,112,22,521,2069,53,1375,285,1595,797,367,53
1927,1432,538,555,420,778,666,1087,148,99,61155,718,10,112,22,522,2070,54,1376,286,1596,798,368,53
1928,1433,539,556,421,779,667,1088,149,100,61156,719,10,112,22,523,2071,55,1377,287,1597,799,369,53
1929,1434,540,557,422,780,668,1089,150,101,61157,720,10,112,22,524,2072,56,1378,288,1598,800,370,53
1930,1435,541,558,423,781,669,1090,151,102,61158,721,10,112,22,525,2073,57,1379,289,1599,801,371,53
1931,1436,542,559,424,782,670,1091,152,103,61159,722,10,112,22,526,2074,58,1380,290,1600,802,372,53
1932,1437,543,560,425,783,671,1092,153,104,61160,723,10,112,22,527,2075,59,1381,291,1601,803,373,53
1933,1438,544,561,426,784,672,1093,154,105,61161,724,10,112,22,528,2076,60,1382,292,1602,804,374,53
1934,1439,545,562,427,785,673,1094,155,106,61162,725,10,112,22,529,2077,61,1383,293,1603,805,375,53
1935,1440,546,563,428,786,674,1095,156,107,61163,726,10,112,22,530,2078,62,1384,294,1604,806,376,53
1936,1441,547,564,429,787,675,1096,157,108,61164,727,10,112,22,531,2079,63,1385,295,1605,807,377,53
1937,1442,548,565,430,788,676,1097,158,109,61165,728,10,112,22,532,2080,64,1386,296,1606,808,378,53
1938,1443,549,566,431,789,677,1098,159,110,61166,729,10,112,22,533,2081,65,1387,297,1607,809,379,53
1939,1444,550,567,432,790,678,1099,160,111,61167,730,10,112,22,534,2082,66,1388,298,1608,810,380,53
1940,1445,551,568,433,791,679,1100,161,112,61168,731,10,112,22,535,2083,67,1389,299,1609,811,381,53
1941,1446,552,569,434,792,680,1101,162,113,61169,732,10,112,22,536,2084,68,1390,300,1610,812,382,53
1942,1447,553,570,435,793,681,1102,163,114,61170,733,10,112,22,537,2085,69,1391,301,1611,813,383,53
1943,1448,554,571,436,794,682,1103,164,115,61171,734,10,112,22,538,2086,70,1392,302,1612,814,384,53
1944,1449,555,572,437,795,683,1104,165,116,61172,735,10,112,22,539,2087,71,1393,303,1613,815,385,53
1945,1450,556,573,438,796,684,1105,166,117,61173,736,10,112,22,540,2088,72,1394,304,1614,816,386,53
1946,1451,557,574,439,797,685,1106,167,118,61174,737,10,112,22,541,2089,73,1395,305,1615,817,387,53
1947,1452,558,575,440,798,686,1107,168,119,61175,738,10,112,22,542,2090,74,1396,306,1616,818,388,53
1948,1453,559,576,441,799,687,1108,169,120,61176,739,10,112,22,543,2091,75,1397,307,1617,819,389,53
1949,1454,560,577,442,800,688,1109,170,121,61177,740,10,112,22,544,2092,76,1398,308,1618,820,390,53
1950,1455,561,578,443,801,689,1110,171,122,61178,741,10,112,22,545,2093,77,1399,309,1619,821,391,53
1951,1456,562,579,444,802,690,1111,172,123,61179,742,10,112,22,546,2094,78,1400,310,1620,822,392,53
1952,1457,563,580,445,803,691,1112,173,124,61180,743,10,112,22,547,2095,79,1401,311,1621,823,393,53
1953,1458,564,581,446,804,692,1113,174,125,61181,744,10,112,22,548,2096,80,1402,312,1622,824,394,53
1954,1459,565,582,447,805,693,1114,175,126,61182,745,10,112,22,549,2097,81,1403,313,1623,825,395,53
1955,1460,566,583,448,806,694,1115,176,127,61183,746,10,112,22,550,2098,82,1404,314,1624,826,396,53
1956,1461,567,584,449,807,695,1116,177,128,61184,747,10,112,22,551,2099,83,1405,315,1625,827,397,53
1957,1462,568,585,450,808,696,1117,178,129,61185,748,10,112,22,552,2100,84,1406,316,1626,828,398,53
1958,1463,569,586,451,809,697,1118,179,130,61186,749,10,112,22,553,2101,85,1407,317,1627,829,399,53
1959,1464,570,587,452,810,698,1119,180,131,61187,750,10,112,22,554,2102,86,1408,318,1628,830,400,53
1960,1465,571,588,453,811,699,1120,181,132,61188,751,10,112,22,555,2103,87,1409,319,1629,831,401,53
1961,1466,572,589,454,812,700,1121,182,133,61189,752,10,112,22,556,2104,88,1410,320,1630,832,402,53
1962,1467,573,590,455,813,701,1122,183,134,61190,753,10,112,22,557,2105,89,1411,321,1631,833,403,53
1963,1468,574,591,456,814,702,1123,184,135,61191,754,10,112,22,558,2106,90,1412,322,1632,834,404,53
1964,1469,575,592,457,815,703,1124,185,136,61192,755,10,112,22,559,2107,91,1413,323,1633,835,405,53
1965,1470,576,593,458,816,704,1125,186,137,61193,756,10,112,22,560,2108,92,1414,324,1634,836,406,53
1966,1471,577,594,459,817,705,1126,187,138,61194,757,10,112,22,561,2109,93,1415,325,1635,837,407,53
1967,1472,578,595,460,818,706,1127,188,139,61195,758,10,112,22,562,2110,94,1416,326,1636,838,408,53
1968,1473,579,596,461,819,707,1128,189,140,61196,759,10,112,22,563,2111,95,1417,327,1637,839,409,53
1969,1474,580,597,462,820,708,1129,190,141,61197,760,10,112,22,564,2112,96,1418,328,1638,840,410,53
1970,1475,581,598,463,821,709,1130,191,142,61198,761,10,112,22,565,2113,97,1419,329,1639,841,411,53
1971,1476,582,599,464,822,710,1131,192,143,61199,762,10,112,22,566,2114,98,1420,330,1640,842,412,53
1972,1477,583,600,465,823,711,1132,193,144,61200,763,10,112,22,567,2115,99,1421,331,1641,843,413,53
1973,1478,584,601,466,824,712,1133,194,145,61201,764,10,112,22,568,2116,100,1422,332,1642,844,414,53
1974,1479,585,602,467,825,713,1134,195,146,61202,765,10,112,22,569,2117,101,1423,333,1643,845,415,53
1975,1480,586,603,468,826,714,1135,196,147,61203,766,10,112,22,570,2118,102,1424,334,1644,846,416,53
1976,1481,587,604,469,827,715,1136,197,148,61204,767,10,112,22,571,2119,103,1425,335,1645,847,417,53
1977,1482,588,605,470,828,716,1137,198,149,61205,768,10,112,22,572,2120,104,1426,336,1646,848,418,53
1978,1483,589,606,471,829,717,1138,199,150,61206,769,10,112,22,573,2121,105,1427,337,1647,849,419,53
1979,1484,590,607,472,830,718,1139,200,151,61207,770,10,112,22,574,2122,106,1428,338,1648,850,420,53
1980,1485,591,608,473,831,719,1140,201,152,61208,771,10,112,22,575,2123,107,1429,339,1649,851,421,53
1981,1486,592,609,474,832,720,1141,202,153,61209,772,10,112,22,576,2124,108,1430,340,1650,852,422,53
1982,1487,593,610,475,833,721,1142,203,154,61210,773,10,112,22,577,2125,109,1431,341,1651,853,423,53
1983,1488,594,611,476,834,722,1143,204,155,61211,774,10,112,22,578,2126,110,1432,342,1652,854,424,53
1984,1489,595,612,477,835,723,1144,205,156,61212,775,10,112,22,579,2127,111,1433,343,1653,855,425,53
1985,1490,596,613,478,836,724,1145,206,157,61213,776,10,112,22,580,2128,112,1434,344,1654,856,426,53
1986,1491,597,614,479,837,725,1146,207,158,61214,777,10,112,22,581,2129,113,1435,345,1655,857,427,53
1987,1492,598,615,480,838,726,1147,208,159,61215,778,10,112,22,582,2130,114,1436,346,1656,858,428,53
1988,1493,599,616,481,839,727,1148,209,160,61216,779,10,112,22,583,2131,115,1437,347,1657,859,429,53
1989,1494,600,617,482,840,728,1149,210,161,61217,780,10,112,22,584,2132,116,1438,348,1658,860,430,53
1990,1495,601,618,483,841,729,1150,211,162,61218,781,10,112,22,585,2133,117,1439,349,1659,861,431,53
1991,1496,602,619,484,842,730,1151,212,163,61219,782,10,112,22,586,2134,118,1440,350,1660,862,432,53
1992,1497,603,620,485,843,731,1152,213,164,61220,783,10,112,22,587,2135,119,1441,351,1661,863,433,53
1993,1498,604,621,486,844,732,1153,214,165,61221,784,10,112,22,588,2136,120,1442,352,1662,864,434,53
1994,1499,605,622,487,845,733,1154,215,166,61222,785,10,112,22,589,2137,121,1443,353,1663,865,435,53
1995,1500,606,623,488,846,734,1155,216,167,61223,786,10,112,22,590,2138,122,1444,354,1664,866,436,53
1996,1501,607,624,489,847,735,1156,217,168,61224,787,10,112,22,591,2139,123,1445,355,1665,867,437,53
1997,1502,608,625,490,848,736,1157,218,169,61225,788,10,112,22,592,2140,124,1446,356,1666,868,438,53
1998,1503,609,626,491,849,737,1158,219,170,61226,789,10,112,22,593,2141,125,1447,357,1667,869,439,53
1999,1504,610,627,492,850,738,1159,220,171,61227,790,10,112,22,594,2142,126,1448,358,1668,870,440,53
2000,1505,611,628,493,851,739,1160,221,172,61228,791,10,112,22,595,2143,127,1449,359,1669,871,441,53
2001,1506,612,629,494,852,740,1161,222,173,61229,792,10,112,22,596,2144,128,1450,360,1670,872,442,53
2002,1507,613,630,495,853,741,1162,223,174,61230,793,10,112,22,597,2145,129,1451,361,1671,873,443,53
2003,1508,614,631,496,854,742,1163,224,175,61231,794,10,112,22,598,2146,130,1452,362,1672,874,444,53
2004,1509,615,632,497,855,743,1164,225,176,61232,795,10,112,22,599,2147,131,1453,363,1673,875,445,53
2005,1510,616,633,498,856,744,1165,226,177,61233,796,10,112,22,600,2148,132,1454,364,1674,876,446,53
2006,1511,617,634,499,857,745,1166,227,178,61234,797,10,112,22,601,2149,133,1455,365,1675,877,447,53
2007,1512,618,635,500,858,746,1167,228,179,61235,798,10,112,22,602,2150,134,1456,366,1676,878,448,53
2008,1513,619,636,501,859,747,1168,229,180,61236,799,10,112,22,603,2151,135,1457,367,1677,879,449,53
2009,1514,620,637,502,860,748,1169,230,181,61237,800,8,24,19,604,2152,136,1458,368,1678,880,450,37
2010,1614,621,786,503,880,749,1278,231,182,61238,801,9,110,20,605,2267,137,1567,399,1704,881,480,44
2011,1718,622,888,504,881,750,1301,232,183,61239,802,8,111,21,606,2378,138,1876,400,1850,882,500,45
2012,1719,623,546,505,882,751,1412,233,184,61240,803,10,112,22,607,2490,139,1856,401,1900,883,501,46
2013,1720,624,700,506,883,752,1413,234,185,61241,804,11,113,23,608,2056,140,1467,402,1901,884,502,47
2014,1721,625,701,507,884,753,1414,235,186,61242,805,12,114,24,609,2057,141,1468,403,1902,885,503,48
2015,1722,626,702,508,885,754,1415,236,187,61243,806,13,115,25,610,2058,142,1469,404,1903,886,504,49
2016,1723,627,703,509,886,755,1416,237,188,61244,807,14,116,26,611,2059,143,1470,405,1904,887,505,50
2017,1724,628,704,510,887,756,1417,238,189,61245,808,15,117,27,612,2060,144,1471,406,1905,888,506,51
2018,1725,629,705,511,888,757,1418,239,190,61246,809,16,118,28,613,2061,145,1472,407,1906,889,507,52
2019,1726,630,706,512,889,758,1419,240,191,61247,810,17,119,29,614,2062,146,1473,408,1907,890,508,53
2020,1727,631,707,513,890,759,1420,241,192,61248,811,18,120,30,615,2063,147,1474,409,1908,891,509,54
