"Year","MALATHION(QTY)(kg)","DIMETHOATE(QTY)(kg)","D.D.V.P.(QTY)(kg)","COPPER OXYCHLORIDE(QTY)(kg)","CARBARYL(QTY)(kg)","CARBOSULPHAN(QTY)(kg)"
1920,267,487,1554,44,1434,1530
1921,268,488,1555,45,1435,1531
1922,269,489,1556,46,1436,1532
1923,270,490,1557,47,1437,1533
1924,271,491,1558,48,1438,1534
1925,272,492,1559,49,1439,1535
1926,273,493,1560,50,1440,1536
1927,274,494,1561,51,1441,1537
1928,275,495,1562,52,1442,1538
1929,276,496,1563,53,1443,1539
1930,277,497,1564,54,1444,1540
1931,278,498,1565,55,1445,1541
1932,279,499,1566,56,1446,1542
1933,280,500,1567,57,1447,1543
1934,281,501,1568,58,1448,1544
1935,282,502,1569,59,1449,1545
1936,283,503,1570,60,1450,1546
1937,284,504,1571,61,1451,1547
1938,285,505,1572,62,1452,1548
1939,286,506,1573,63,1453,1549
1940,287,507,1574,64,1454,1550
1941,288,508,1575,65,1455,1551
1942,289,509,1576,66,1456,1552
1943,290,510,1577,67,1457,1553
1944,291,511,1578,68,1458,1554
1945,292,512,1579,69,1459,1555
1946,293,513,1580,70,1460,1556
1947,294,514,1581,71,1461,1557
1948,295,515,1582,72,1462,1558
1949,296,516,1583,73,1463,1559
1950,297,517,1584,74,1464,1560
1951,298,518,1585,75,1465,1561
1952,299,519,1586,76,1466,1562
1953,300,520,1587,77,1467,1563
1954,301,521,1588,78,1468,1564
1955,302,522,1589,79,1469,1565
1956,303,523,1590,80,1470,1566
1957,304,524,1591,81,1471,1567
1958,305,525,1592,82,1472,1568
1959,306,526,1593,83,1473,1569
1960,307,527,1594,84,1474,1570
1961,308,528,1595,85,1475,1571
1962,309,529,1596,86,1476,1572
1963,310,530,1597,87,1477,1573
1964,311,531,1598,88,1478,1574
1965,312,532,1599,89,1479,1575
1966,313,533,1600,90,1480,1576
1967,314,534,1601,91,1481,1577
1968,315,535,1602,92,1482,1578
1969,316,536,1603,93,1483,1579
1970,317,537,1604,94,1484,1580
1971,318,538,1605,95,1485,1581
1972,319,539,1606,96,1486,1582
1973,320,540,1607,97,1487,1583
1974,321,541,1608,98,1488,1584
1975,322,542,1609,99,1489,1585
1976,323,543,1610,100,1490,1586
1977,324,544,1611,101,1491,1587
1978,325,545,1612,102,1492,1588
1979,326,546,1613,103,1493,1589
1980,327,547,1614,104,1494,1590
1981,328,548,1615,105,1495,1591
1982,329,549,1616,106,1496,1592
1983,330,550,1617,107,1497,1593
1984,331,551,1618,108,1498,1594
1985,332,552,1619,109,1499,1595
1986,333,553,1620,110,1500,1596
1987,334,554,1621,111,1501,1597
1988,335,555,1622,112,1502,1598
1989,336,556,1623,113,1503,1599
1990,337,557,1624,114,1504,1600
1991,338,558,1625,115,1505,1601
1992,339,559,1626,116,1506,1602
1993,340,560,1627,117,1507,1603
1994,341,561,1628,118,1508,1604
1995,342,562,1629,119,1509,1605
1996,343,563,1630,120,1510,1606
1997,344,564,1631,121,1511,1607
1998,345,565,1632,122,1512,1608
1999,346,566,1633,123,1513,1609
2000,347,567,1634,124,1514,1610
2001,348,568,1635,125,1515,1611
2002,349,569,1636,126,1516,1612
2003,350,570,1637,127,1517,1613
2004,351,571,1638,128,1518,1614
2005,352,572,1639,129,1519,1615
2006,353,573,1640,130,1520,1616
2007,354,574,1641,131,1521,1617
2008,355,575,1642,132,1522,1618
2009,356,576,1643,133,1523,1619
2010,357,577,1644,134,1524,1620
2011,358,578,1645,135,1525,1621
2012,359,579,1646,136,1526,1622
2013,360,580,1647,137,1527,1623
2014,361,581,1648,138,1528,1624
2015,362,582,1649,139,1529,1625
2016,363,583,1650,140,1530,1626
2017,364,584,1651,141,1531,1627
2018,365,585,1652,142,1532,1628
2019,366,586,1653,143,1533,1629
2020,367,587,1654,144,1534,1630
