"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
1920,6.1,0.75,1.1,250,10,278
1921,6.2,0.8,1.9,251,11,279
1922,6.3,0.76,2.1,252,12,280
1923,6.4,0.91,2,253,13,281
1924,6.5,0.9,2.2,254,14,282
1925,6.2,0.8,1.9,251,11,279
1926,6.3,0.76,2.1,252,12,280
1927,6.4,0.91,2,253,13,281
1928,6.3,0.76,2.1,252,12,280
1929,6.4,0.91,2,253,13,281
1930,6.5,0.9,2.2,254,14,282
1931,6.2,0.8,1.9,251,11,279
1932,6.3,0.76,2.1,252,12,280
1933,6.2,0.8,1.9,251,11,279
1934,6.3,0.76,2.1,252,12,280
1935,6.4,0.91,2,253,13,281
1936,6.5,0.9,2.2,254,14,282
1937,6.2,0.8,1.9,251,11,279
1938,6.3,0.76,2.1,252,12,280
1939,6.4,0.91,2,253,13,281
1940,6.3,0.76,2.1,252,12,280
1941,6.4,0.91,2,253,13,281
1942,6.5,0.9,2.2,254,14,282
1943,6.2,0.8,1.9,251,11,279
1944,6.3,0.76,2.1,252,12,280
1945,6.4,0.91,2,253,13,281
1946,6.5,0.9,2.2,254,14,282
1947,6.2,0.8,1.9,251,11,279
1948,6.3,0.76,2.1,252,12,280
1949,6.4,0.91,2,253,13,281
1950,6.3,0.76,2.1,252,12,280
1951,6.4,0.91,2,253,13,281
1952,6.5,0.9,2.2,254,14,282
1953,6.2,0.8,1.9,251,11,279
1954,6.3,0.76,2.1,252,12,280
1955,6.2,0.8,1.9,251,11,279
1956,6.3,0.76,2.1,252,12,280
1957,6.4,0.91,2,253,13,281
1958,6.5,0.9,2.2,254,14,282
1959,6.2,0.8,1.9,251,11,279
1960,6.3,0.76,2.1,252,12,280
1961,6.4,0.91,2,253,13,281
1962,6.3,0.76,2.1,252,12,280
1963,6.4,0.91,2,253,13,281
1964,6.5,0.9,2.2,254,14,282
1965,6.2,0.8,1.9,251,11,279
1966,6.3,0.76,2.1,252,12,280
1967,6.4,0.91,2,253,13,281
1968,6.3,0.76,2.1,252,12,280
1969,6.4,0.91,2,253,13,281
1970,6.5,0.9,2.2,254,14,282
1971,6.2,0.8,1.9,251,11,279
1972,6.3,0.76,2.1,252,12,280
1973,6.2,0.8,1.9,251,11,279
1974,6.3,0.76,2.1,252,12,280
1975,6.4,0.91,2,253,13,281
1976,6.5,0.9,2.2,254,14,282
1977,6.2,0.8,1.9,251,11,279
1978,6.3,0.76,2.1,252,12,280
1979,6.4,0.91,2,253,13,281
1980,6.3,0.76,2.1,252,12,280
1981,6.4,0.91,2,253,13,281
1982,6.5,0.9,2.2,254,14,282
1983,6.2,0.8,1.9,251,11,279
1984,6.3,0.76,2.1,252,12,280
1985,6.4,0.91,2,253,13,281
1986,6.5,0.9,2.2,254,14,282
1987,6.2,0.8,1.9,251,11,279
1988,6.3,0.76,2.1,252,12,280
1989,6.4,0.91,2,253,13,281
1990,6.3,0.76,2.1,252,12,280
1991,6.4,0.91,2,253,13,281
1992,6.5,0.9,2.2,254,14,282
1993,6.2,0.8,1.9,251,11,279
1994,6.3,0.76,2.1,252,12,280
1995,6.2,0.8,1.9,251,11,279
1996,6.3,0.76,2.1,252,12,280
1997,6.2,0.8,1.9,251,11,279
1998,6.3,0.76,2.1,252,12,280
1999,6.4,0.91,2,253,13,281
2000,6.5,0.9,2.2,254,14,282
2001,6.2,0.8,1.9,251,11,279
2002,6.3,0.76,2.1,252,12,280
2003,6.4,0.91,2,253,13,281
2004,6.3,0.76,2.1,252,12,280
2005,6.4,0.91,2,253,13,281
2006,6.5,0.9,2.2,254,14,282
2007,6.2,0.8,1.9,251,11,279
2008,6.3,0.76,2.1,252,12,280
2009,6.4,0.91,2,253,13,281
2010,6.5,0.9,2.2,254,14,282
2011,6.2,0.8,1.9,251,11,279
2012,6.3,0.76,2.1,252,12,280
2013,6.4,0.91,2,253,13,281
2014,6.3,0.76,2.1,252,12,280
2015,6.4,0.91,2,253,13,281
2016,6.5,0.9,2.2,254,14,282
2017,6.2,0.8,1.9,251,11,279
2018,6.3,0.76,2.1,252,12,280
2019,6.2,0.8,1.9,251,11,279
2020,6.3,0.76,2.1,252,12,280
