"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,785,101,580,30,520,550
1921,786,102,581,31,521,551
1922,787,103,582,32,522,552
1923,788,104,583,33,523,553
1924,789,105,584,34,524,554
1925,790,106,585,35,525,555
1926,791,107,586,36,526,556
1927,792,108,587,37,527,557
1928,793,109,588,38,528,558
1929,794,110,589,39,529,559
1930,795,111,590,40,530,560
1931,796,112,591,41,531,561
1932,797,113,592,42,532,562
1933,798,114,593,43,533,563
1934,799,115,594,44,534,564
1935,800,116,595,45,535,565
1936,801,117,596,46,536,566
1937,802,118,597,47,537,567
1938,803,119,598,48,538,568
1939,804,120,599,49,539,569
1940,805,121,600,50,540,570
1941,806,122,601,51,541,571
1942,807,123,602,52,542,572
1943,808,124,603,53,543,573
1944,809,125,604,54,544,574
1945,810,126,605,55,545,575
1946,811,127,606,56,546,576
1947,812,128,607,57,547,577
1948,813,129,608,58,548,578
1949,814,130,609,59,549,579
1950,815,131,610,60,550,580
1951,816,132,611,61,551,581
1952,817,133,612,62,552,582
1953,818,134,613,63,553,583
1954,819,135,614,64,554,584
1955,820,136,615,65,555,585
1956,821,137,616,66,556,586
1957,822,138,617,67,557,587
1958,823,139,618,68,558,588
1959,824,140,619,69,559,589
1960,825,141,620,70,560,590
1961,826,142,621,71,561,591
1962,827,143,622,72,562,592
1963,828,144,623,73,563,593
1964,829,145,624,74,564,594
1965,830,146,625,75,565,595
1966,831,147,626,76,566,596
1967,832,148,627,77,567,597
1968,833,149,628,78,568,598
1969,834,150,629,79,569,599
1970,835,151,630,80,570,600
1971,836,152,631,81,571,601
1972,837,153,632,82,572,602
1973,838,154,633,83,573,603
1974,839,155,634,84,574,604
1975,840,156,635,85,575,605
1976,841,157,636,86,576,606
1977,842,158,637,87,577,607
1978,843,159,638,88,578,608
1979,844,160,639,89,579,609
1980,845,161,640,90,580,610
1981,846,162,641,91,581,611
1982,847,163,642,92,582,612
1983,848,164,643,93,583,613
1984,849,165,644,94,584,614
1985,850,166,645,95,585,615
1986,851,167,646,96,586,616
1987,852,168,647,97,587,617
1988,853,169,648,98,588,618
1989,854,170,649,99,589,619
1990,855,171,650,100,590,620
1991,856,172,651,101,591,621
1992,857,173,652,102,592,622
1993,858,174,653,103,593,623
1994,859,175,654,104,594,624
1995,860,176,655,105,595,625
1996,861,177,656,106,596,626
1997,862,178,657,107,597,627
1998,863,179,658,108,598,628
1999,864,180,659,109,599,629
2000,865,181,660,110,600,630
2001,866,182,661,111,601,631
2002,867,183,662,112,602,632
2003,868,184,663,113,603,633
2004,869,185,664,114,604,634
2005,870,186,665,115,605,635
2006,871,187,666,116,606,636
2007,872,188,667,117,607,637
2008,873,189,668,118,608,638
2009,874,190,669,119,609,639
2010,875,191,670,120,610,640
2011,876,192,671,121,611,641
2012,877,193,672,122,612,642
2013,878,194,673,123,613,643
2014,879,195,674,124,614,644
2015,880,196,675,125,615,645
2016,881,197,676,126,616,646
2017,882,198,677,127,617,647
2018,883,199,678,128,618,648
2019,884,200,679,129,619,649
2020,885,201,680,130,620,650
