Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0.45,43.82,6.53,17.56,8.5,610
1921,0.45,44.82,7.53,16.34,8,810
1922,0.45,45.82,8.53,11.2,7.8,200
1923,0.45,46.82,9.53,12.2,7.9,2000
1924,0.45,47.82,10.53,13.2,8,1067
1925,0.45,48.82,11.53,14.2,8.1,910
1926,0.45,49.82,12.53,15.2,8.2,911
1927,0.45,50.82,13.53,16.2,8.3,912
1928,0.45,51.82,14.53,17.2,8.4,913
1929,0.45,52.82,15.53,9.8,8.5,914
1930,0.45,53.82,16.53,10.8,8,915
1931,0.45,54.82,17.53,11.8,7.8,916
1932,0.45,55.82,18.53,12.8,7.9,917
1933,0.45,56.82,19.53,13.8,8,918
1934,0.45,57.82,20.53,14.8,8.1,919
1935,0.45,58.82,21.53,15.8,8.2,920
1936,0.45,59.82,22.53,16.8,8.3,921
1937,0.45,60.82,23.53,17.8,8,922
1938,0.45,61.82,24.53,10.2,7.8,923
1939,0.45,62.82,25.53,11.2,7.9,924
1940,0.45,63.82,26.53,12.2,8,925
1941,0.45,45.82,8.53,13.2,8.1,926
1942,0.45,46.82,9.53,14.2,8.2,927
1943,0.45,47.82,10.53,15.2,8.3,928
1944,0.45,48.82,11.53,16.2,8.4,929
1945,0.45,49.82,12.53,17.2,8.5,930
1946,0.45,50.82,13.53,9.8,8,931
1947,0.45,51.82,14.53,10.8,7.8,932
1948,0.45,52.82,15.53,11.8,7.9,933
1949,0.45,53.82,16.53,12.8,8,934
1950,0.45,54.82,17.53,13.8,8.1,935
1951,0.45,55.82,18.53,14.8,7,936
1952,0.45,56.82,19.53,15.8,7.8,937
1953,0.45,57.82,20.53,16.8,7.9,938
1954,0.45,58.82,21.53,16.34,8,939
1955,0.45,59.82,22.53,11.2,8.1,940
1956,0.45,60.82,23.53,12.2,8.2,941
1957,0.45,61.82,24.53,13.2,8.3,942
1958,0.45,55.82,18.53,14.2,8.4,943
1959,0.45,56.82,19.53,15.2,8.5,944
1960,0.45,57.82,20.53,16.2,8,945
1961,0.45,58.82,21.53,17.2,7.8,946
1962,0.45,59.82,22.53,9.8,7.9,947
1963,0.45,60.82,23.53,10.8,8,948
1964,0.45,61.82,24.53,11.8,8.1,949
1965,0.45,62.82,25.53,12.8,8.2,950
1966,0.45,63.82,26.53,13.8,8.3,951
1967,0.45,45.82,8.53,14.8,8,952
1968,0.45,46.82,9.53,15.8,7.8,953
1969,0.45,47.82,10.53,16.8,7.9,954
1970,0.45,48.82,11.53,17.8,8,955
1971,0.45,49.82,12.53,10.2,8.1,956
1972,0.45,50.82,13.53,11.2,8.2,957
1973,0.45,51.82,14.53,12.2,8.3,958
1974,0.45,52.82,15.53,13.2,8.4,959
1975,0.45,53.82,16.53,14.2,8.5,960
1976,0.45,54.82,17.53,15.2,8,961
1977,0.45,55.82,18.53,16.2,7.8,962
1978,0.45,56.82,19.53,17.2,7.9,963
1979,0.45,57.82,20.53,9.8,7.9,964
1980,0.45,58.82,21.53,10.8,8,965
1981,0.45,59.82,22.53,11.8,8.1,966
1982,0.45,60.82,23.53,12.8,8.2,967
1983,0.45,45.82,8.53,13.8,8.3,968
1984,0.45,46.82,9.53,14.8,8.4,969
1985,0.45,47.82,10.53,11.2,8.5,970
1986,0.45,48.82,11.53,12.2,8,971
1987,0.45,49.82,12.53,13.2,7.8,972
1988,0.45,50.82,13.53,14.2,7.9,973
1989,0.45,51.82,14.53,15.2,8,974
1990,0.45,52.82,15.53,16.2,8.1,975
1991,0.45,53.82,16.53,17.2,8.2,976
1992,0.45,54.82,17.53,9.8,8.3,977
1993,0.45,55.82,18.53,10.8,8,978
1994,0.45,56.82,19.53,11.8,7.8,979
1995,0.45,57.82,20.53,12.8,7.9,980
1996,0.45,58.82,21.53,13.8,8,981
1997,0.45,59.82,22.53,14.8,8.1,982
1998,0.45,60.82,23.53,15.8,8.2,983
1999,0.45,61.82,24.53,16.8,8.3,984
2000,0.45,62.82,25.53,17.8,8.4,985
2001,0.45,63.82,26.53,10.2,8.5,986
2002,0.45,45.82,8.53,11.2,8,987
2003,0.45,46.82,9.53,12.2,7.8,988
2004,0.45,47.82,10.53,13.2,7.9,989
2005,0.45,48.82,11.53,14.2,8,990
2006,0.45,49.82,12.53,15.2,8.1,991
2007,0.45,50.82,13.53,16.2,7,992
2008,0.45,51.82,14.53,17.2,7.8,993
2009,0.45,52.82,15.53,9.8,7.9,994
2010,0.45,53.82,16.53,10.8,8,995
2011,0.45,54.82,17.53,11.8,8.1,996
2012,0.45,55.82,18.53,12.8,8.2,997
2013,0.45,56.82,19.53,13.8,8.3,998
2014,0.45,57.82,20.53,14.8,8.4,999
2015,0.45,58.82,21.53,15.8,8.5,1000
2016,0.45,59.82,22.53,16.8,8,1001
2017,0.45,60.82,23.53,16.34,7.8,1002
2018,0.45,54.82,20.53,11.2,7.9,1003
2019,0.45,63.82,22.53,12.2,8,1004
2020,0.45,59.82,25.6,13.2,8.1,1006
