"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
1920,4378,61,3,34,27,1019
1921,3762,47,4,38,29,1017
1922,5261,55,5,32,25,1016
1923,7995,50,6,31,24,1014
1924,5937,51,8,30,23,1012
1925,6658,55,5,32,25,1016
1926,6187,50,6,31,24,1014
1927,4622,51,8,30,23,1012
1928,4415,47,4,38,29,1017
1929,4139,55,5,32,25,1016
1930,5537,50,6,31,24,1014
1931,5994,51,8,30,23,1012
1932,5353,55,5,32,25,1016
1933,8979,50,6,31,24,1014
1934,4022,47,4,38,29,1017
1935,5599,55,5,32,25,1016
1936,6306,50,6,31,24,1014
1937,5628,51,8,30,23,1012
1938,4947,55,5,32,25,1016
1939,4025,50,6,31,24,1014
1940,5765,51,8,30,23,1012
1941,5371,47,4,38,29,1017
1942,8204,55,5,32,25,1016
1943,4247,50,6,31,24,1014
1944,6510,51,8,30,23,1012
1945,7663,55,5,32,25,1016
1946,4769,55,5,32,25,1016
1947,7173,50,6,31,24,1014
1948,6211,51,8,30,23,1012
1949,6324,55,5,32,25,1016
1950,9801,50,6,31,24,1014
1951,4924,51,8,30,23,1012
1952,5258,47,4,38,29,1017
1953,6626,55,5,32,25,1016
1954,6608,50,6,31,24,1014
1955,10464,51,8,30,23,1012
1956,7382,55,5,32,25,1016
1957,6866,50,6,31,24,1014
1958,7651,47,4,38,29,1017
1959,7513,55,5,32,25,1016
1960,6099,50,6,31,24,1014
1961,8061,51,8,30,23,1012
1962,9880,55,5,32,25,1016
1963,5098,50,6,31,24,1014
1964,8308,51,8,30,23,1012
1965,5399,47,4,38,29,1017
1966,6904,55,5,32,25,1016
1967,7201,50,6,31,24,1014
1968,5304,51,8,30,23,1012
1969,4859,50,6,31,24,1014
1970,7152,51,8,30,23,1012
1971,11123,47,4,38,29,1017
1972,4787,55,5,32,25,1016
1973,9407,50,6,31,24,1014
1974,6784,51,8,30,23,1012
1975,9426,55,5,32,25,1016
1976,8292,50,6,31,24,1014
1977,7278,47,4,38,29,1017
1978,7148,55,5,32,25,1016
1979,4897,50,6,31,24,1014
1980,8277,51,8,30,23,1012
1981,4678,55,5,32,25,1016
1982,6285,50,6,31,24,1014
1983,7198,51,8,30,23,1012
1984,6483,47,4,38,29,1017
1985,6236,55,5,32,25,1016
1986,6048,50,6,31,24,1014
1987,3437,51,8,30,23,1012
1988,10712,55,5,32,25,1016
1989,5465,55,5,32,25,1016
1990,7910,50,6,31,24,1014
1991,5148,51,8,30,23,1012
1992,5198,55,5,32,25,1016
1993,6660,50,6,31,24,1014
1994,7694,51,8,30,23,1012
1995,8775,47,4,38,29,1017
1996,7272,55,5,32,25,1016
1997,7083,50,6,31,24,1014
1998,6398,51,8,30,23,1012
1999,3974,55,5,32,25,1016
2000,5108,50,6,31,24,1014
2001,5476,47,4,38,29,1017
2002,4612,55,5,32,25,1016
2003,4935,50,6,31,24,1014
2004,4123,51,8,30,23,1012
2005,5836,55,5,32,25,1016
2006,5610,50,6,31,24,1014
2007,4788,51,8,30,23,1012
2008,7917,47,4,38,29,1017
2009,4691,55,5,32,25,1016
2010,5246,50,6,31,24,1014
2011,6090,47,4,38,29,1017
2012,3197,55,5,32,25,1016
2013,6259,50,6,31,24,1014
2014,5496,51,8,30,23,1012
2015,5174,55,5,32,25,1016
2016,4429,50,6,31,24,1014
2017,6259,51,8,30,23,1012
2018,5496,47,4,38,29,1017
2019,5174,55,5,32,25,1016
2020,10712,50,6,31,24,1014
