"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,2586,170,267,66,200,267
1921,2678,171,268,67,212,268
1922,2456,172,269,68,213,269
1923,2457,173,270,69,214,270
1924,2458,174,271,70,215,271
1925,2459,175,272,71,216,272
1926,2460,176,273,72,217,273
1927,2461,177,274,73,218,274
1928,2462,178,275,74,219,275
1929,2463,179,276,75,220,276
1930,2464,180,277,76,221,277
1931,2465,181,278,77,222,278
1932,2466,182,279,78,223,279
1933,2467,183,280,79,224,280
1934,2468,184,281,80,225,281
1935,2469,185,282,81,226,282
1936,2470,186,283,82,227,283
1937,2471,187,284,83,228,284
1938,2472,188,285,84,229,285
1939,2473,189,286,85,230,286
1940,2474,190,287,86,231,287
1941,2475,191,288,87,324,288
1942,2476,192,289,88,325,289
1943,2477,193,290,89,326,290
1944,2478,194,291,90,327,291
1945,2479,195,292,91,328,292
1946,2480,196,293,92,329,293
1947,2481,197,294,93,330,294
1948,2482,198,295,94,331,295
1949,2483,199,296,95,332,296
1950,2484,200,297,96,333,297
1951,2485,201,298,97,334,298
1952,2486,202,299,98,335,299
1953,2487,203,300,99,336,300
1954,2488,204,301,100,337,301
1955,2489,205,302,101,338,302
1956,2490,206,303,102,339,303
1957,2491,207,304,103,340,304
1958,2492,208,305,104,341,305
1959,2493,209,306,105,342,306
1960,2494,210,307,106,343,307
1961,2495,211,308,107,344,308
1962,2496,212,309,108,345,309
1963,2497,213,310,109,346,310
1964,2498,214,311,110,347,311
1965,2499,215,312,111,348,312
1966,2500,216,313,112,349,313
1967,2501,217,314,113,350,314
1968,2502,218,315,114,351,315
1969,2503,219,316,115,352,316
1970,2504,220,317,116,353,317
1971,2505,221,318,117,354,318
1972,2506,222,319,118,355,319
1973,2507,223,320,119,356,320
1974,2508,224,321,120,357,321
1975,2509,225,322,121,358,322
1976,2510,226,323,122,359,323
1977,2511,227,324,123,360,324
1978,2512,228,325,124,361,325
1979,2513,229,326,125,362,326
1980,2514,230,327,126,363,327
1981,2515,231,328,127,364,328
1982,2516,232,329,128,365,329
1983,2517,233,330,129,366,330
1984,2518,234,331,130,367,434
1985,2519,235,332,131,368,435
1986,2520,236,333,132,369,436
1987,2521,237,334,133,370,437
1988,2522,238,335,134,371,438
1989,2523,239,336,135,372,439
1990,2524,240,337,136,373,440
1991,2525,241,338,137,374,441
1992,2526,242,339,138,375,442
1993,2527,243,340,139,376,443
1994,2528,244,341,140,377,444
1995,2529,245,342,141,378,445
1996,2530,246,343,142,379,446
1997,2531,247,344,143,380,447
1998,2532,248,345,144,381,448
1999,2533,249,346,145,382,449
2000,2534,250,347,146,383,450
2001,2535,251,348,147,384,451
2002,2536,252,349,148,385,452
2003,2537,253,350,149,386,453
2004,2538,254,351,150,387,524
2005,2539,255,352,151,480,525
2006,2540,256,353,152,481,526
2007,2541,257,354,153,482,527
2008,2542,258,355,154,483,528
2009,2543,259,380,155,484,529
2010,2544,260,381,156,485,530
2011,2545,261,382,157,486,531
2012,2678,262,383,158,487,532
2013,2679,263,384,159,488,533
2014,2680,264,385,160,489,890
2015,2681,265,386,161,490,891
2016,2682,266,387,162,491,892
2017,2683,267,388,163,492,893
2018,2684,268,389,164,493,894
2019,2685,269,390,165,494,895
2020,2686,270,391,166,505,896
