"Year","MALATHION(QTY)(kg)","DIMETHOATE(QTY)(kg)","D.D.V.P.(QTY)(kg)","COPPER OXYCHLORIDE(QTY)(kg)","CARBARYL(QTY)(kg)","CARBOSULPHAN(QTY)(kg)"
1920,5678,5567,5100,5346,6061,6038
1921,4678,5568,5101,5347,6062,6039
1922,4567,5569,5102,5348,6063,6040
1923,4568,5570,5103,5349,6064,6041
1924,4569,5571,5104,5350,6065,6042
1925,4570,5572,5105,5351,6066,6043
1926,4571,5573,5106,5352,6067,6044
1927,4572,5574,5107,5353,6068,6045
1928,4573,5575,5108,5354,6069,6046
1929,4574,5576,5109,5355,6070,6047
1930,4575,5577,5110,5356,6071,6048
1931,4576,5578,5111,5357,6072,6049
1932,4577,5579,5112,5358,6073,6050
1933,4578,5580,5113,5359,6074,6051
1934,4579,5581,5114,5360,6075,6052
1935,4580,5582,5115,5361,6076,6053
1936,4581,5583,5116,5362,6077,6054
1937,4582,5584,5117,5363,6078,6055
1938,4583,5585,5118,5364,6079,6056
1939,4584,5586,5119,5365,6080,6057
1940,4585,5587,5120,5366,6081,6058
1941,4586,5588,5121,5367,6082,6059
1942,4587,5589,5122,5368,6083,6060
1943,4588,5590,5123,5369,6084,6061
1944,4589,5591,5124,5370,6085,6062
1945,4590,5592,5125,5371,6086,6063
1946,4591,5593,5126,5372,6087,6064
1947,4592,5594,5127,5373,6088,6065
1948,4593,5595,5128,5374,6089,6066
1949,4594,5596,5129,5375,6090,6067
1950,4595,5597,5130,5376,6091,6068
1951,4596,5598,5131,5377,6092,6069
1952,4597,5599,5132,5378,6093,6070
1953,4598,5600,5133,5379,6094,6071
1954,4599,5601,5134,5380,6095,6072
1955,4600,5602,5135,5381,6096,6073
1956,4601,5603,5136,5382,6097,6074
1957,4602,5604,5137,5383,6098,6075
1958,4603,5605,5138,5384,6099,6076
1959,4604,5606,5139,5385,6100,6077
1960,4605,5607,5140,5386,6101,6078
1961,4606,5608,5141,5387,6102,6079
1962,4607,5609,5142,5388,6103,6080
1963,4608,5610,5143,5389,6104,6081
1964,4609,5611,5144,5390,6105,6082
1965,4610,5612,5145,5391,6106,6083
1966,4611,5613,5146,5392,6107,6084
1967,4612,5614,5147,5393,6108,6085
1968,4613,5615,5148,5394,6109,6086
1969,4614,5616,5149,5395,6110,6087
1970,4615,5617,5150,5396,6111,6088
1971,4616,5618,5151,5397,6112,6089
1972,4617,5619,5152,5398,6113,6090
1973,4618,5620,5153,5399,6114,6091
1974,4619,5621,5154,5400,6115,6092
1975,4620,5622,5155,5401,6116,6093
1976,4621,5623,5156,5402,6117,6094
1977,4622,5624,5157,5403,6118,6095
1978,4623,5625,5158,5404,6119,6096
1979,4624,5626,5159,5405,6120,6097
1980,4625,5627,5160,5406,6121,6098
1981,4626,5628,5161,5407,6122,6099
1982,4627,5629,5162,5408,6123,6100
1983,4628,5630,5163,5409,6124,6101
1984,4629,5631,5164,5410,6125,6102
1985,4630,5632,5165,5411,6126,6103
1986,4631,5633,5166,5412,6127,6104
1987,4632,5634,5167,5413,6128,6105
1988,4633,5635,5168,5414,6129,6106
1989,4634,5636,5169,5415,6130,6107
1990,4635,5637,5170,5416,6131,6108
1991,4636,5638,5171,5417,6132,6109
1992,4637,5639,5172,5418,6133,6110
1993,4638,5640,5173,5419,6134,6111
1994,4639,5641,5174,5420,6135,6112
1995,4640,5642,5175,5421,6136,6113
1996,4641,5643,5176,5422,6137,6114
1997,4642,5644,5177,5423,6138,6115
1998,4643,5645,5178,5424,6139,6116
1999,4644,5646,5179,5425,6140,6117
2000,4645,5647,5180,5426,6141,6118
2001,4646,5648,5181,5427,6142,6119
2002,4647,5649,5182,5428,6143,6120
2003,4648,5650,5183,5429,6144,6121
2004,4649,5651,5184,5430,6145,6122
2005,4650,5652,5185,5431,6146,6123
2006,4651,5653,5186,5432,6147,6124
2007,4652,5654,5187,5433,6148,6125
2008,4653,5655,5188,5434,6149,6126
2009,4654,5656,5189,5435,6150,6127
2010,4655,5657,5190,5436,6151,6128
2011,4656,5658,5191,5437,6152,6129
2012,4657,5659,5192,5438,6153,6130
2013,4658,5660,5193,5439,6154,6131
2014,4659,5661,5194,5440,6155,6132
2015,4660,5662,5195,5441,6156,6133
2016,4661,5663,5196,5442,6157,6134
2017,4662,5664,5197,5443,6158,6135
2018,4663,5665,5198,5444,6159,6136
2019,4664,5666,5199,5445,6160,6137
2020,4665,5667,5200,5446,6161,6138
