"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
1920,6.5,0.4,0.8,271,22,136
1921,6.6,0.75,0.7,267,32,150
1922,6.7,0.67,0.5,250,34,333
1923,7,0.7,0.4,248,44,140
1924,7.1,0.72,0.3,270,45,144
1925,7.2,0.73,0.2,267,46,300
1926,7.3,0.54,0.5,265,80,302
1927,8.5,0.55,0.7,210,50,288
1928,8.1,0.56,0.6,220,44,290
1929,8.2,0.52,0.7,200,70,296
1930,6.5,0.7,0.4,248,44,140
1931,6.6,0.72,0.3,270,45,144
1932,6.7,0.73,0.2,267,46,300
1933,7,0.54,0.5,265,80,302
1934,7.1,0.55,0.7,210,50,288
1935,7.2,0.56,0.6,220,44,290
1936,7.3,0.52,0.7,200,70,296
1937,8.5,0.67,0.5,250,34,333
1938,8.1,0.7,0.4,248,44,140
1939,6.6,0.72,0.3,270,45,144
1940,6.7,0.73,0.2,267,46,300
1941,7,0.54,0.5,265,80,302
1942,7.1,0.55,0.7,210,50,288
1943,7.2,0.56,0.6,220,44,290
1944,7.3,0.52,0.7,200,70,296
1945,8.5,0.7,0.4,248,44,140
1946,8.1,0.72,0.3,270,45,144
1947,8.2,0.73,0.2,267,46,300
1948,6.5,0.54,0.5,265,80,302
1949,6.6,0.55,0.7,210,50,288
1950,6.7,0.56,0.6,220,44,290
1951,7,0.67,0.5,250,34,333
1952,7.1,0.7,0.4,248,44,140
1953,7.2,0.72,0.3,270,45,144
1954,7.3,0.73,0.2,267,46,300
1955,7,0.54,0.5,265,80,302
1956,7.1,0.55,0.7,210,50,288
1957,7.2,0.56,0.6,220,44,290
1958,7.3,0.52,0.7,200,70,296
1959,8.5,0.7,0.4,248,44,140
1960,8.1,0.72,0.3,270,45,144
1961,8.2,0.73,0.2,267,46,300
1962,6.5,0.54,0.5,265,80,302
1963,6.6,0.55,0.7,210,50,288
1964,6.7,0.56,0.6,220,44,290
1965,7,0.52,0.7,200,70,296
1966,7.1,0.67,0.5,250,34,333
1967,7.2,0.7,0.4,248,44,140
1968,7.3,0.72,0.3,270,45,144
1969,8.5,0.73,0.2,267,46,300
1970,8.1,0.54,0.5,265,80,302
1971,6.6,0.55,0.7,210,50,288
1972,6.7,0.56,0.6,220,44,290
1973,7,0.52,0.7,200,70,296
1974,7.1,0.7,0.4,248,44,140
1975,7.2,0.72,0.3,270,45,144
1976,7.3,0.73,0.2,267,46,300
1977,8.5,0.54,0.5,265,80,302
1978,8.1,0.55,0.7,210,50,288
1979,8.2,0.7,0.4,248,44,140
1980,6.5,0.72,0.3,270,45,144
1981,6.6,0.73,0.2,267,46,300
1982,7.1,0.54,0.5,265,80,302
1983,7.2,0.55,0.7,210,50,288
1984,7.3,0.56,0.6,220,44,290
1985,8.5,0.52,0.7,200,70,296
1986,8.1,0.7,0.4,248,44,140
1987,8.2,0.72,0.3,270,45,144
1988,6.5,0.73,0.2,267,46,300
1989,6.6,0.54,0.5,265,80,302
1990,6.7,0.55,0.7,210,50,288
1991,7,0.56,0.6,220,44,290
1992,7.1,0.52,0.7,200,70,296
1993,7.2,0.67,0.5,250,34,333
1994,7.3,0.7,0.4,248,44,140
1995,8.5,0.72,0.3,270,45,144
1996,8.1,0.73,0.2,267,46,300
1997,6.6,0.54,0.5,265,80,302
1998,6.7,0.55,0.7,210,50,288
1999,7,0.56,0.6,220,44,290
2000,7.1,0.52,0.7,200,70,296
2001,7.2,0.7,0.4,248,44,140
2002,7.3,0.72,0.3,270,45,144
2003,8.5,0.73,0.2,267,46,300
2004,8.1,0.54,0.5,265,80,302
2005,8.2,0.55,0.7,210,50,288
2006,6.5,0.56,0.6,220,44,290
2007,6.6,0.67,0.5,250,34,333
2008,6.7,0.7,0.4,248,44,140
2009,7,0.72,0.3,270,45,144
2010,7.1,0.73,0.2,267,46,300
2011,7.2,0.54,0.5,265,80,302
2012,7.3,0.55,0.7,210,50,288
2013,7,0.56,0.6,220,44,290
2014,7.1,0.52,0.7,200,70,296
2015,7.2,0.7,0.4,248,44,140
2016,7.3,0.72,0.3,270,45,144
2017,8.5,0.73,0.2,267,46,300
2018,8.1,0.54,0.5,265,80,302
2019,8.2,0.55,0.7,210,50,288
2020,6.5,0.56,0.6,220,44,290
