Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0.01,106.37,17.42,17.66,7.6,157
1921,1.01,107.37,18.42,18.66,7.7,158
1922,2.01,108.37,19.42,19.66,7.8,159
1923,3.01,109.37,20.42,20.66,8,160
1924,4.01,110.37,21.42,21.66,7.2,161
1925,5.01,111.37,22.42,22.66,7.4,162
1926,6.01,112.37,23.42,23.66,7,163
1927,7.01,113.37,24.42,24.66,7.1,164
1928,8.01,114.37,25.42,25.66,7.2,165
1929,9.01,115.37,26.42,26.66,7.4,166
1930,10.01,116.37,27.42,27.66,7,167
1931,11.01,117.37,28.42,28.66,7.1,168
1932,12.01,118.37,29.42,29.66,7.2,169
1933,13.01,119.37,30.42,30.66,7,170
1934,14.01,120.37,31.42,31.66,7.1,171
1935,15.01,121.37,32.42,32.66,7.2,172
1936,16.01,122.37,33.42,33.66,7.4,173
1937,17.01,123.37,34.42,34.66,7,174
1938,18.01,124.37,35.42,35.66,7.1,175
1939,19.01,125.37,36.42,36.66,7.2,176
1940,20.01,126.37,37.42,37.66,7.4,177
1941,21.01,127.37,38.42,38.66,7,178
1942,22.01,128.37,39.42,39.66,7.1,179
1943,23.01,129.37,40.42,40.66,7.2,180
1944,24.01,130.37,41.42,41.66,7.4,181
1945,25.01,131.37,42.42,42.66,7,182
1946,26.01,132.37,43.42,43.66,7.1,183
1947,27.01,133.37,44.42,44.66,7,184
1948,28.01,134.37,45.42,45.66,7.1,185
1949,29.01,135.37,46.42,46.66,7.2,186
1950,30.01,136.37,47.42,47.66,7.4,187
1951,31.01,137.37,48.42,48.66,7,188
1952,32.01,138.37,49.42,49.66,7.1,189
1953,33.01,139.37,50.42,50.66,7.2,190
1954,34.01,140.37,51.42,51.66,7.4,191
1955,35.01,141.37,52.42,52.66,7,192
1956,36.01,142.37,53.42,53.66,7.1,193
1957,37.01,143.37,54.42,54.66,7.2,194
1958,38.01,144.37,55.42,55.66,7.4,195
1959,39.01,145.37,56.42,56.66,7,196
1960,40.01,146.37,57.42,57.66,7.1,197
1961,41.01,147.37,58.42,58.66,7.2,198
1962,42.01,148.37,59.42,59.66,7,199
1963,43.01,149.37,60.42,60.66,7.1,200
1964,44.01,150.37,61.42,61.66,7.2,201
1965,45.01,151.37,62.42,62.66,7.4,202
1966,46.01,152.37,63.42,63.66,7,203
1967,47.01,153.37,64.42,64.66,7.1,204
1968,48.01,154.37,65.42,65.66,7.2,205
1969,49.01,155.37,66.42,66.66,7.4,206
1970,50.01,156.37,67.42,67.66,7,207
1971,51.01,157.37,68.42,68.66,7.1,208
1972,52.01,158.37,69.42,69.66,7.2,209
1973,53.01,159.37,70.42,70.66,7,210
1974,54.01,160.37,71.42,71.66,7.1,211
1975,55.01,161.37,72.42,72.66,7.2,212
1976,56.01,162.37,73.42,73.66,7.4,213
1977,57.01,163.37,74.42,74.66,7,214
1978,58.01,164.37,75.42,75.66,7.1,215
1979,59.01,165.37,76.42,76.66,7.2,216
1980,60.01,166.37,77.42,77.66,7.4,217
1981,61.01,167.37,78.42,78.66,7,218
1982,62.01,168.37,79.42,79.66,7.1,219
1983,63.01,169.37,80.42,80.66,7.2,220
1984,64.01,170.37,81.42,81.66,7.4,221
1985,65.01,171.37,82.42,82.66,7,222
1986,66.01,172.37,83.42,83.66,7.1,223
1987,67.01,173.37,84.42,84.66,7.2,224
1988,68.01,174.37,85.42,85.66,7,225
1989,69.01,175.37,86.42,86.66,7.1,226
1990,70.01,176.37,87.42,87.66,7.2,227
1991,71.01,177.37,88.42,88.66,7.4,228
1992,72.01,178.37,89.42,89.66,7,229
1993,73.01,179.37,90.42,90.66,7.1,230
1994,74.01,180.37,91.42,91.66,7.2,231
1995,75.01,181.37,92.42,92.66,7.4,232
1996,76.01,182.37,93.42,93.66,7,233
1997,77.01,183.37,94.42,94.66,7.1,234
1998,78.01,184.37,95.42,95.66,7.2,235
1999,79.01,185.37,96.42,96.66,7.4,236
2000,80.01,186.37,97.42,97.66,7,237
2001,81.01,187.37,98.42,98.66,7.1,238
2002,82.01,188.37,99.42,99.66,7,239
2003,83.01,189.37,100.42,100.66,7.1,240
2004,84.01,190.37,101.42,101.66,7.2,241
2005,85.01,191.37,102.42,102.66,7.4,242
2006,86.01,192.37,103.42,103.66,7,243
2007,87.01,193.37,104.42,104.66,7.1,244
2008,88.01,194.37,105.42,105.66,7.2,245
2009,89.01,195.37,106.42,106.66,7.4,246
2010,90.01,196.37,107.42,107.66,7,247
2011,91.01,197.37,108.42,108.66,7.1,248
2012,92.01,198.37,109.42,109.66,7.2,249
2013,93.01,199.37,110.42,110.66,7.4,250
2014,94.01,200.37,111.42,111.66,7,251
2015,95.01,201.37,112.42,112.66,7.1,252
2016,96.01,202.37,113.42,113.66,7.2,253
2017,97.01,203.37,114.42,114.66,7,254
2018,98.01,204.37,115.42,115.66,7.7,255
2019,99.01,205.37,116.42,116.66,7.8,256
2020,100.01,206.37,117.42,117.66,8,257
