Year, Rainfall,  Humidity, Wind, Max Temp, Min Temp, Air Pressure
1920,6101,49,13,29,12,1016
1921,5475,48,12,30,11,1015
1922,6228,47,11,29,10,1014
1923,7192,46,13,31,12,1017
1924,9560,48,12,30,11,1015
1925,4695,47,11,29,10,1014
1926,8742,48,12,30,11,1015
1927,7459,47,11,29,10,1014
1928,6427,46,13,31,12,1017
1929,5974,48,12,30,11,1015
1930,6924,48,12,30,11,1015
1931,7692,47,11,29,10,1014
1932,5317,46,13,31,12,1017
1933,9889,48,12,30,11,1015
1934,8498,47,11,29,10,1014
1935,7151,48,12,30,11,1015
1936,5613,47,11,29,10,1014
1937,7247,46,13,31,12,1017
1938,4961,46,13,31,12,1017
1939,4137,48,12,30,11,1015
1940,6511,47,11,29,10,1014
1941,5047,48,12,30,11,1015
1942,10192,47,11,29,10,1014
1943,6942,46,13,31,12,1017
1944,8496,48,12,30,11,1015
1945,9587,48,12,30,11,1015
1946,9947,47,11,29,10,1014
1947,7781,46,13,31,12,1017
1948,7162,48,12,30,11,1015
1949,5885,47,11,29,10,1014
1950,8125,48,12,30,11,1015
1951,3697,47,11,29,10,1014
1952,7455,48,12,30,11,1015
1953,6229,47,11,29,10,1014
1954,7685,46,13,31,12,1017
1955,8841,48,12,30,11,1015
1956,9628,47,11,29,10,1014
1957,7498,48,12,30,11,1015
1958,8031,47,11,29,10,1014
1959,8692,46,13,31,12,1017
1960,6146,48,12,30,11,1015
1961,8480,48,12,30,11,1015
1962,6527,47,11,29,10,1014
1963,6636,46,13,31,12,1017
1964,6312,48,12,30,11,1015
1965,4369,47,11,29,10,1014
1966,5060,48,12,30,11,1015
1967,7701,47,11,29,10,1014
1968,5375,46,13,31,12,1017
1969,6374,46,13,31,12,1017
1970,7671,48,12,30,11,1015
1971,8735,47,11,29,10,1014
1972,4204,48,12,30,11,1015
1973,9053,47,11,29,10,1014
1974,6486,46,13,31,12,1017
1975,8346,47,11,29,10,1014
1976,7865,46,13,31,12,1017
1977,9719,48,12,30,11,1015
1978,8980,47,11,29,10,1014
1979,6181,48,12,30,11,1015
1980,5625,47,11,29,10,1014
1981,6779,46,13,31,12,1017
1982,6534,48,12,30,11,1015
1983,8093,48,12,30,11,1015
1984,5968,47,11,29,10,1014
1985,5675,46,13,31,12,1017
1986,6363,48,12,30,11,1015
1987,4395,47,11,29,10,1014
1988,6276,48,12,30,11,1015
1989,5665,47,11,29,10,1014
1990,8023,46,13,31,12,1017
1991,4927,46,13,31,12,1017
1992,6373,48,12,30,11,1015
1993,6553,47,11,29,10,1014
1994,8998,48,12,30,11,1015
1995,7623,47,11,29,10,1014
1996,9278,46,13,31,12,1017
1997,7409,48,12,30,11,1015
1998,6465,48,12,30,11,1015
1999,5644,47,11,29,10,1014
2000,4717,46,13,31,12,1017
2001,7768,48,12,30,11,1015
2002,3090,47,11,29,10,1014
2003,6493,48,12,30,11,1015
2004,7050,47,11,29,10,1014
2005,6315,48,12,30,11,1015
2006,7772,47,11,29,10,1014
2007,6382,46,13,31,12,1017
2008,6179,48,12,30,11,1015
2009,5310,47,11,29,10,1014
2010,7859,48,12,30,11,1015
2011,8432,47,11,29,10,1014
2012,8245,46,13,31,12,1017
2013,9014,48,12,30,11,1015
2014,6683,48,12,30,11,1015
2015,6918,47,11,29,10,1014
2016,8734,46,13,31,12,1017
2017,8735,48,12,30,11,1015
2018,4204,47,11,29,10,1014
2019,9053,48,12,30,11,1015
2020,6918,47,11,29,10,1014
