Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,2278,2762,3791,2534,3703,3751
1921,2279,2763,3792,2535,3704,3752
1922,2280,2764,3793,2536,3705,3753
1923,2281,2765,3794,2537,3706,3754
1924,2282,2766,3795,2538,3707,3755
1925,2283,2767,3796,2539,3708,3756
1926,2284,2768,3797,2540,3709,3757
1927,2285,2769,3798,2541,3710,3758
1928,2286,2770,3799,2542,3711,3759
1929,2287,2771,3800,2543,3712,3760
1930,2288,2772,3801,2544,3713,3761
1931,2289,2773,3802,2545,3714,3762
1932,2290,2774,3803,2546,3715,3763
1933,2291,2775,3804,2547,3716,3764
1934,2292,2776,3805,2548,3717,3765
1935,2293,2777,3806,2549,3718,3766
1936,2294,2778,3807,2550,3719,3767
1937,2295,2779,3808,2551,3720,3768
1938,2296,2780,3809,2552,3721,3769
1939,2297,2781,3810,2553,3722,3770
1940,2298,2782,3811,2554,3723,3771
1941,2299,2783,3812,2555,3724,3772
1942,2300,2784,3813,2556,3725,3773
1943,2301,2785,3814,2557,3726,3774
1944,2302,2786,3815,2558,3727,3775
1945,2303,2787,3816,2559,3728,3776
1946,2304,2788,3817,2560,3729,3777
1947,2305,2789,3818,2561,3730,3778
1948,2306,2790,3819,2562,3731,3779
1949,2307,2791,3820,2563,3732,3780
1950,2308,2792,3821,2564,3733,3781
1951,2309,2793,3822,2565,3734,3782
1952,2310,2794,3823,2566,3735,3783
1953,2311,2795,3824,2567,3736,3784
1954,2312,2796,3825,2568,3737,3785
1955,2313,2797,3826,2569,3738,3786
1956,2314,2798,3827,2570,3739,3787
1957,2315,2799,3828,2571,3740,3788
1958,2316,2800,3829,2572,3741,3789
1959,2317,2801,3830,2573,3742,3790
1960,2318,2802,3831,2574,3743,3791
1961,2319,2803,3832,2575,3744,3792
1962,2320,2804,3833,2576,3745,3793
1963,2321,2805,3834,2577,3746,3794
1964,2322,2806,3835,2578,3747,3795
1965,2323,2807,3836,2579,3748,3796
1966,2324,2808,3837,2580,3749,3797
1967,2325,2809,3838,2581,3750,3798
1968,2326,2810,3839,2582,3751,3799
1969,2327,2811,3840,2583,3752,3800
1970,2328,2812,3841,2584,3753,3801
1971,2329,2813,3842,2585,3754,3802
1972,2330,2814,3843,2586,3755,3803
1973,2331,2815,3844,2587,3756,3804
1974,2332,2816,3845,2588,3757,3805
1975,2333,2817,3846,2589,3758,3806
1976,2334,2818,3847,2590,3759,3807
1977,2335,2819,3848,2591,3760,3808
1978,2336,2820,3849,2592,3761,3809
1979,2337,2821,3850,2593,3762,3810
1980,2338,2822,3851,2594,3763,3811
1981,2339,2823,3852,2595,3764,3812
1982,2340,2824,3853,2596,3765,3813
1983,2341,2825,3854,2597,3766,3814
1984,2342,2826,3855,2598,3767,3815
1985,2343,2827,3856,2599,3768,3816
1986,2344,2828,3857,2600,3769,3817
1987,2345,2829,3858,2601,3770,3818
1988,2346,2830,3859,2602,3771,3819
1989,2347,2831,3860,2603,3772,3820
1990,2348,2832,3861,2604,3773,3821
1991,2349,2833,3862,2605,3774,3822
1992,2350,2834,3863,2606,3775,3823
1993,2351,2835,3864,2607,3776,3824
1994,2352,2836,3865,2608,3777,3825
1995,2353,2837,3866,2609,3778,3826
1996,2354,2838,3867,2610,3779,3827
1997,2355,2839,3868,2611,3780,3828
1998,2356,2840,3869,2612,3781,3829
1999,2357,2841,3870,2613,3782,3830
2000,2358,2842,3871,2614,3783,3831
2001,2359,2843,3872,2615,3784,3832
2002,2360,2844,3873,2616,3785,3833
2003,2361,2845,3874,2617,3786,3834
2004,2362,2846,3875,2618,3787,3835
2005,2363,2847,3876,2619,3788,3836
2006,2364,2848,3877,2620,3789,3837
2007,2365,2849,3878,2621,3790,3838
2008,2366,2850,3879,2622,3791,3839
2009,2367,2851,3880,2623,3792,3840
2010,2368,2852,3881,2624,3793,3841
2011,2369,2853,3882,2625,3794,3842
2012,2370,2854,3883,2626,3795,3843
2013,2371,2855,3884,2627,3796,3844
2014,2372,2856,3885,2628,3797,3845
2015,2373,2857,3886,2629,3798,3846
2016,2374,2858,3887,2630,3799,3847
2017,2375,2859,3888,2631,3800,3848
2018,2376,2860,3889,2632,3801,3849
2019,2377,2861,3890,2633,3802,3850
2020,2378,2862,3891,2634,3803,3851
