Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,8.5,0.45,0.6,250,21,300
1921,8.6,0.56,0.5,251,22,301
1922,8.7,0.67,1.1,252,23,302
1923,8.8,0.71,1.2,253,24,303
1924,9,0.74,1.4,254,25,304
1925,8.6,0.56,0.5,251,22,301
1926,8.7,0.67,1.1,252,23,302
1927,8.8,0.71,1.2,253,24,303
1928,8.5,0.45,0.6,250,21,300
1929,8.6,0.56,0.5,251,22,301
1930,8.7,0.67,1.1,252,23,302
1931,8.8,0.71,1.2,253,24,303
1932,9,0.74,1.4,254,25,304
1933,8.6,0.56,0.5,251,22,301
1934,8.7,0.67,1.1,252,23,302
1935,8.7,0.67,1.1,252,23,302
1936,8.8,0.71,1.2,253,24,303
1937,9,0.74,1.4,254,25,304
1938,8.6,0.56,0.5,251,22,301
1939,8.7,0.67,1.1,252,23,302
1940,8.8,0.71,1.2,253,24,303
1941,8.5,0.45,0.6,250,21,300
1942,8.6,0.56,0.5,251,22,301
1943,8.7,0.67,1.1,252,23,302
1944,8.8,0.71,1.2,253,24,303
1945,9,0.74,1.4,254,25,304
1946,8.6,0.56,0.5,251,22,301
1947,8.7,0.67,1.1,252,23,302
1948,8.8,0.71,1.2,253,24,303
1949,9,0.74,1.4,254,25,304
1950,8.6,0.56,0.5,251,22,301
1951,8.7,0.67,1.1,252,23,302
1952,8.8,0.71,1.2,253,24,303
1953,8.5,0.45,0.6,250,21,300
1954,8.6,0.56,0.5,251,22,301
1955,8.7,0.67,1.1,252,23,302
1956,8.8,0.71,1.2,253,24,303
1957,9,0.74,1.4,254,25,304
1958,8.6,0.56,0.5,251,22,301
1959,8.7,0.67,1.1,252,23,302
1960,8.7,0.67,1.1,252,23,302
1961,8.8,0.71,1.2,253,24,303
1962,9,0.74,1.4,254,25,304
1963,8.6,0.56,0.5,251,22,301
1964,8.7,0.67,1.1,252,23,302
1965,8.8,0.71,1.2,253,24,303
1966,8.5,0.45,0.6,250,21,300
1967,8.6,0.56,0.5,251,22,301
1968,8.7,0.67,1.1,252,23,302
1969,8.8,0.71,1.2,253,24,303
1970,9,0.74,1.4,254,25,304
1971,8.7,0.67,1.1,252,23,302
1972,8.8,0.71,1.2,253,24,303
1973,9,0.74,1.4,254,25,304
1974,8.6,0.56,0.5,251,22,301
1975,8.7,0.67,1.1,252,23,302
1976,8.8,0.71,1.2,253,24,303
1977,8.5,0.45,0.6,250,21,300
1978,8.6,0.56,0.5,251,22,301
1979,8.7,0.67,1.1,252,23,302
1980,8.8,0.71,1.2,253,24,303
1981,9,0.74,1.4,254,25,304
1982,8.6,0.56,0.5,251,22,301
1983,8.7,0.67,1.1,252,23,302
1984,8.7,0.67,1.1,252,23,302
1985,8.8,0.71,1.2,253,24,303
1986,9,0.74,1.4,254,25,304
1987,8.6,0.56,0.5,251,22,301
1988,8.7,0.67,1.1,252,23,302
1989,8.8,0.71,1.2,253,24,303
1990,8.5,0.45,0.6,250,21,300
1991,8.6,0.56,0.5,251,22,301
1992,8.7,0.67,1.1,252,23,302
1993,8.8,0.71,1.2,253,24,303
1994,9,0.74,1.4,254,25,304
1995,8.6,0.56,0.5,251,22,301
1996,8.7,0.67,1.1,252,23,302
1997,8.8,0.71,1.2,253,24,303
1998,9,0.74,1.4,254,25,304
1999,8.6,0.56,0.5,251,22,301
2000,8.7,0.67,1.1,252,23,302
2001,8.8,0.71,1.2,253,24,303
2002,8.5,0.45,0.6,250,21,300
2003,8.6,0.56,0.5,251,22,301
2004,8.7,0.67,1.1,252,23,302
2005,8.8,0.71,1.2,253,24,303
2006,9,0.74,1.4,254,25,304
2007,8.6,0.56,0.5,251,22,301
2008,8.7,0.67,1.1,252,23,302
2009,8.7,0.67,1.1,252,23,302
2010,8.8,0.71,1.2,253,24,303
2011,9,0.74,1.4,254,25,304
2012,8.6,0.56,0.5,251,22,301
2013,8.7,0.67,1.1,252,23,302
2014,8.8,0.71,1.2,253,24,303
2015,8.5,0.45,0.6,250,21,300
2016,8.6,0.56,0.5,251,22,301
2017,8.7,0.67,1.1,252,23,302
2018,8.7,0.67,1.1,252,23,302
2019,8.8,0.71,1.2,253,24,303
2020,9,0.74,1.4,254,25,304
