Year,NPK(tonnes),MAP(tonnes),MOP(tonnes),TSP(tonnes),UREA(tonnes),DAP(tonnes)
1920,1709,110,620,50,515,760
1921,1710,111,621,51,516,761
1922,1711,112,622,52,517,762
1923,1712,113,623,53,518,763
1924,1713,114,624,54,519,764
1925,1714,115,625,55,520,765
1926,1715,116,626,56,521,766
1927,1716,117,627,57,522,767
1928,1717,118,628,58,523,768
1929,1718,119,629,59,524,769
1930,1719,120,630,60,525,770
1931,1720,121,631,61,526,771
1932,1721,122,632,62,527,772
1933,1722,123,633,63,528,773
1934,1723,124,634,64,529,774
1935,1724,125,635,65,530,775
1936,1725,126,636,66,531,776
1937,1726,127,637,67,532,777
1938,1727,128,638,68,533,778
1939,1728,129,639,69,534,779
1940,1729,130,640,70,535,780
1941,1730,131,641,71,536,781
1942,1731,132,642,72,537,782
1943,1732,133,643,73,538,783
1944,1733,134,644,74,539,784
1945,1734,135,645,75,540,785
1946,1735,136,646,76,541,786
1947,1736,137,647,77,542,787
1948,1737,138,648,78,543,788
1949,1738,139,649,79,544,789
1950,1739,140,650,80,545,790
1951,1740,141,651,81,546,791
1952,1741,142,652,82,547,792
1953,1742,143,653,83,548,793
1954,1743,144,654,84,549,794
1955,1744,145,655,85,550,795
1956,1745,146,656,86,551,796
1957,1746,147,657,87,552,797
1958,1747,148,658,88,553,798
1959,1748,149,659,89,554,799
1960,1749,150,660,90,555,800
1961,1750,151,661,91,556,801
1962,1751,152,662,92,557,802
1963,1752,153,663,93,558,803
1964,1753,154,664,94,559,804
1965,1754,155,665,95,560,805
1966,1755,156,666,96,561,806
1967,1756,157,667,97,562,807
1968,1757,158,668,98,563,808
1969,1758,159,669,99,564,809
1970,1759,160,670,100,565,810
1971,1760,161,671,101,566,811
1972,1761,162,672,102,567,812
1973,1762,163,673,103,568,813
1974,1763,164,674,104,569,814
1975,1764,165,675,105,570,815
1976,1765,166,676,106,571,816
1977,1766,167,677,107,572,817
1978,1767,168,678,108,573,818
1979,1768,169,679,109,574,819
1980,1769,170,680,110,575,820
1981,1770,171,681,111,576,821
1982,1771,172,682,112,577,822
1983,1772,173,683,113,578,823
1984,1773,174,684,114,579,824
1985,1774,175,685,115,580,825
1986,1775,176,686,116,581,826
1987,1776,177,687,117,582,827
1988,1777,178,688,118,583,828
1989,1778,179,689,119,584,829
1990,1779,180,690,120,585,830
1991,1780,181,691,121,586,831
1992,1781,182,692,122,587,832
1993,1782,183,693,123,588,833
1994,1783,184,694,124,589,834
1995,1784,185,695,125,590,835
1996,1785,186,696,126,591,836
1997,1786,187,697,127,592,837
1998,1787,188,698,128,593,838
1999,1788,189,699,129,594,839
2000,1789,190,700,130,595,840
2001,1790,191,701,131,596,841
2002,1791,192,702,132,597,842
2003,1792,193,703,133,598,843
2004,1793,194,704,134,599,844
2005,1794,195,705,135,600,845
2006,1795,196,706,136,601,846
2007,1796,197,707,137,602,847
2008,1797,198,708,138,603,848
2009,1798,199,709,139,604,849
2010,1799,200,710,140,605,850
2011,1800,201,711,141,606,851
2012,1801,202,712,142,607,852
2013,1802,203,713,143,608,853
2014,1803,204,714,144,609,854
2015,1804,205,715,145,610,855
2016,1805,206,716,146,611,856
2017,1806,207,717,147,612,857
2018,1807,208,718,148,613,858
2019,1808,209,719,149,614,859
2020,1809,210,720,150,615,860
