Year,Rainfall,Humidity,Wind,Max Temp,Min Temp,Air Pressure
1920,23485,45,8,11,-5,1024
1921,17701,44,9,10,-2,1022
1922,22717,40,8,12,-4,1025
1923,24253,43,8,13,-8,1022
1924,28243,45,8,11,-5,1024
1925,21362,44,9,10,-2,1022
1926,21264,40,8,12,-4,1025
1927,30229,44,9,10,-2,1022
1928,21825,40,8,12,-4,1025
1929,21300,43,8,13,-8,1022
1930,30205,45,8,11,-5,1024
1931,26050,44,9,10,-2,1022
1932,25179,40,8,12,-4,1025
1933,18302,43,8,13,-8,1022
1934,25982,45,8,11,-5,1024
1935,29272,44,9,10,-2,1022
1936,29207,40,8,12,-4,1025
1937,25195,44,9,10,-2,1022
1938,26792,40,8,12,-4,1025
1939,21639,43,8,13,-8,1022
1940,21757,45,8,11,-5,1024
1941,32301,43,8,13,-8,1022
1942,27284,45,8,11,-5,1024
1943,29181,44,9,10,-2,1022
1944,22987,40,8,12,-4,1025
1945,27825,44,9,10,-2,1022
1946,30540,40,8,12,-4,1025
1947,26599,43,8,13,-8,1022
1948,25239,45,8,11,-5,1024
1949,29348,44,9,10,-2,1022
1950,27039,40,8,12,-4,1025
1951,24302,43,8,13,-8,1022
1952,26295,45,8,11,-5,1024
1953,26610,44,9,10,-2,1022
1954,27270,40,8,12,-4,1025
1955,20909,44,9,10,-2,1022
1956,25242,40,8,12,-4,1025
1957,25258,43,8,13,-8,1022
1958,23531,43,8,13,-8,1022
1959,25446,45,8,11,-5,1024
1960,26174,44,9,10,-2,1022
1961,26357,40,8,12,-4,1025
1962,24225,44,9,10,-2,1022
1963,31580,40,8,12,-4,1025
1964,24780,43,8,13,-8,1022
1965,22859,45,8,11,-5,1024
1966,24277,44,9,10,-2,1022
1967,22195,40,8,12,-4,1025
1968,25937,43,8,13,-8,1022
1969,23734,45,8,11,-5,1024
1970,26172,44,9,10,-2,1022
1971,25268,40,8,12,-4,1025
1972,20925,44,9,10,-2,1022
1973,26813,40,8,12,-4,1025
1974,26389,43,8,13,-8,1022
1975,30027,45,8,11,-5,1024
1976,21879,43,8,13,-8,1022
1977,29589,45,8,11,-5,1024
1978,21815,44,9,10,-2,1022
1979,24218,40,8,12,-4,1025
1980,26876,44,9,10,-2,1022
1981,27339,40,8,12,-4,1025
1982,18789,43,8,13,-8,1022
1983,27095,45,8,11,-5,1024
1984,21712,44,9,10,-2,1022
1985,22534,40,8,12,-4,1025
1986,21384,43,8,13,-8,1022
1987,22107,45,8,11,-5,1024
1988,26261,44,9,10,-2,1022
1989,28654,40,8,12,-4,1025
1990,25167,43,8,13,-8,1022
1991,23905,45,8,11,-5,1024
1992,23025,44,9,10,-2,1022
1993,24502,40,8,12,-4,1025
1994,23757,44,9,10,-2,1022
1995,23895,40,8,12,-4,1025
1996,27042,43,8,13,-8,1022
1997,19356,45,8,11,-5,1024
1998,24356,44,9,10,-2,1022
1999,29361,40,8,12,-4,1025
2000,24955,43,8,13,-8,1022
2001,22204,45,8,11,-5,1024
2002,23683,44,9,10,-2,1022
2003,18720,40,8,12,-4,1025
2004,22781,44,9,10,-2,1022
2005,24513,40,8,12,-4,1025
2006,23537,43,8,13,-8,1022
2007,22859,45,8,11,-5,1024
2008,24277,43,8,13,-8,1022
2009,22195,45,8,11,-5,1024
2010,25937,44,9,10,-2,1022
2011,23734,40,8,12,-4,1025
2012,26172,44,9,10,-2,1022
2013,25268,40,8,12,-4,1025
2014,20925,43,8,13,-8,1022
2015,26813,45,8,11,-5,1024
2016,26389,44,9,10,-2,1022
2017,24502,40,8,12,-4,1025
2018,23757,43,8,13,-8,1022
2019,23895,45,8,11,-5,1024
2020,27042,44,9,10,-2,1022
