Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,5.5,2.3,0.1,270,10,130
1921,6,2.4,0.2,380,11,131
1922,6.1,2.5,0.3,450,20,141
1923,5.1,4.4,0.1,470,21,146
1924,5.2,5.2,0.4,500,24,121
1925,6,2.4,0.2,380,11,131
1926,6.1,2.5,0.3,450,20,141
1927,5.1,4.4,0.1,470,21,146
1928,5.2,5.2,0.4,500,24,121
1929,6.1,2.5,0.3,450,20,141
1930,5.1,4.4,0.1,470,21,146
1931,5.2,5.2,0.4,500,24,121
1932,6,2.4,0.2,380,11,131
1933,6.1,2.5,0.3,450,20,141
1934,5.1,4.4,0.1,470,21,146
1935,5.5,2.3,0.1,270,10,130
1936,6,2.4,0.2,380,11,131
1937,6.1,2.5,0.3,450,20,141
1938,5.1,4.4,0.1,470,21,146
1939,5.2,5.2,0.4,500,24,121
1940,6,2.4,0.2,380,11,131
1941,6.1,2.5,0.3,450,20,141
1942,5.1,4.4,0.1,470,21,146
1943,5.2,5.2,0.4,500,24,121
1944,6.1,2.5,0.3,450,20,141
1945,5.1,4.4,0.1,470,21,146
1946,5.2,5.2,0.4,500,24,121
1947,6,2.4,0.2,380,11,131
1948,6.1,2.5,0.3,450,20,141
1949,5.1,4.4,0.1,470,21,146
1950,5.2,5.2,0.4,500,24,121
1951,6,2.4,0.2,380,11,131
1952,6.1,2.5,0.3,450,20,141
1953,5.1,4.4,0.1,470,21,146
1954,5.2,5.2,0.4,500,24,121
1955,6.1,2.5,0.3,450,20,141
1956,5.1,4.4,0.1,470,21,146
1957,5.2,5.2,0.4,500,24,121
1958,6,2.4,0.2,380,11,131
1959,6.1,2.5,0.3,450,20,141
1960,5.1,4.4,0.1,470,21,146
1961,5.5,2.3,0.1,270,10,130
1962,6,2.4,0.2,380,11,131
1963,6.1,2.5,0.3,450,20,141
1964,5.1,4.4,0.1,470,21,146
1965,5.2,5.2,0.4,500,24,121
1966,6,2.4,0.2,380,11,131
1967,6.1,2.5,0.3,450,20,141
1968,5.1,4.4,0.1,470,21,146
1969,5.2,5.2,0.4,500,24,121
1970,6.1,2.5,0.3,450,20,141
1971,5.1,4.4,0.1,470,21,146
1972,5.2,5.2,0.4,500,24,121
1973,6,2.4,0.2,380,11,131
1974,6.1,2.5,0.3,450,20,141
1975,5.1,4.4,0.1,470,21,146
1976,5.2,5.2,0.4,500,24,121
1977,6.1,2.5,0.3,450,20,141
1978,5.1,4.4,0.1,470,21,146
1979,5.2,5.2,0.4,500,24,121
1980,6,2.4,0.2,380,11,131
1981,6.1,2.5,0.3,450,20,141
1982,5.1,4.4,0.1,470,21,146
1983,5.5,2.3,0.1,270,10,130
1984,6,2.4,0.2,380,11,131
1985,6.1,2.5,0.3,450,20,141
1986,5.1,4.4,0.1,470,21,146
1987,5.2,5.2,0.4,500,24,121
1988,6,2.4,0.2,380,11,131
1989,6.1,2.5,0.3,450,20,141
1990,5.1,4.4,0.1,470,21,146
1991,5.2,5.2,0.4,500,24,121
1992,6.1,2.5,0.3,450,20,141
1993,5.1,4.4,0.1,470,21,146
1994,5.2,5.2,0.4,500,24,121
1995,6,2.4,0.2,380,11,131
1996,6.1,2.5,0.3,450,20,141
1997,5.1,4.4,0.1,470,21,146
1998,5.2,5.2,0.4,500,24,121
1999,6,2.4,0.2,380,11,131
2000,6.1,2.5,0.3,450,20,141
2001,5.1,4.4,0.1,470,21,146
2002,5.2,5.2,0.4,500,24,121
2003,6.1,2.5,0.3,450,20,141
2004,5.1,4.4,0.1,470,21,146
2005,5.2,5.2,0.4,500,24,121
2006,6,2.4,0.2,380,11,131
2007,6.1,2.5,0.3,450,20,141
2008,5.1,4.4,0.1,470,21,146
2009,5.5,2.3,0.1,270,10,130
2010,6,2.4,0.2,380,11,131
2011,6.1,2.5,0.3,450,20,141
2012,5.1,4.4,0.1,470,21,146
2013,5.2,5.2,0.4,500,24,121
2014,6,2.4,0.2,380,11,131
2015,6.1,2.5,0.3,450,20,141
2016,5.1,4.4,0.1,470,21,146
2017,5.2,5.2,0.4,500,24,121
2018,6.1,2.5,0.3,450,20,141
2019,6,2.4,0.2,380,11,131
2020,6.1,2.5,0.3,450,20,141
