Year,Rice(kg/hectare),Ragi,Small Millets,Banana,Ginger,Tumeric,Maize,Potato,Wheat,Other Pulses,Barley
1920,1740,1073,820,33,36,52,1581,50,967,768,909
1921,1741,1074,821,33,36,52,1582,50,968,769,910
1922,1742,1075,822,33,36,52,1583,50,969,770,911
1923,1743,1076,823,33,36,52,1584,50,970,771,912
1924,1744,1077,824,33,36,52,1585,50,971,772,913
1925,1745,1078,825,33,36,52,1586,50,972,773,914
1926,1746,1079,826,33,36,52,1587,50,973,774,915
1927,1747,1080,827,33,36,52,1588,50,974,775,916
1928,1748,1081,828,33,36,52,1589,50,975,776,917
1929,1749,1082,829,33,36,52,1590,50,976,777,918
1930,1750,1083,830,33,36,52,1591,50,977,778,919
1931,1751,1084,831,33,36,52,1592,50,978,779,920
1932,1752,1085,832,33,36,52,1593,50,979,780,921
1933,1753,1086,833,33,36,52,1594,50,980,781,922
1934,1754,1087,834,33,36,52,1595,50,981,782,923
1935,1755,1088,835,33,36,52,1596,50,982,783,924
1936,1756,1089,836,33,36,52,1597,50,983,784,925
1937,1757,1090,837,33,36,52,1598,50,984,785,926
1938,1758,1091,838,33,36,52,1599,50,985,786,927
1939,1759,1092,839,33,36,52,1600,50,986,787,928
1940,1760,1093,840,33,36,52,1601,50,987,788,929
1941,1761,1094,841,33,36,52,1602,50,988,789,930
1942,1762,1095,842,33,36,52,1603,50,989,790,931
1943,1763,1096,843,33,36,52,1604,50,990,791,932
1944,1764,1097,844,33,36,52,1605,50,991,792,933
1945,1765,1098,845,33,36,52,1606,50,992,793,934
1946,1766,1099,846,33,36,52,1607,50,993,794,935
1947,1767,1100,847,33,36,52,1608,50,994,795,936
1948,1768,1101,848,33,36,52,1609,50,995,796,937
1949,1769,1102,849,33,36,52,1610,50,996,797,938
1950,1770,1103,850,33,36,52,1611,50,997,798,939
1951,1771,1104,851,33,36,52,1612,50,998,799,940
1952,1772,1105,852,33,36,52,1613,50,999,800,941
1953,1773,1106,853,33,36,52,1614,50,1000,801,942
1954,1774,1107,854,33,36,52,1615,50,1001,802,943
1955,1775,1108,855,33,36,52,1616,50,1002,803,944
1956,1776,1109,856,33,36,52,1617,50,1003,804,945
1957,1777,1110,857,33,36,52,1618,50,1004,805,946
1958,1778,1111,858,33,36,52,1619,50,1005,806,947
1959,1779,1112,859,33,36,52,1620,50,1006,807,948
1960,1780,1113,860,33,36,52,1621,50,1007,808,949
1961,1781,1114,861,33,36,52,1622,50,1008,809,950
1962,1782,1115,862,33,36,52,1623,50,1009,810,951
1963,1783,1116,863,33,36,52,1624,50,1010,811,952
1964,1784,1117,864,33,36,52,1625,50,1011,812,953
1965,1785,1118,865,33,36,52,1626,50,1012,813,954
1966,1786,1119,866,33,36,52,1627,50,1013,814,955
1967,1787,1120,867,33,36,52,1628,50,1014,815,956
1968,1788,1121,868,33,36,52,1629,50,1015,816,957
1969,1789,1122,869,33,36,52,1630,50,1016,817,958
1970,1790,1123,870,33,36,52,1631,50,1017,818,959
1971,1791,1124,871,33,36,52,1632,50,1018,819,960
1972,1792,1125,872,33,36,52,1633,50,1019,820,961
1973,1793,1126,873,33,36,52,1634,50,1020,821,962
1974,1794,1127,874,33,36,52,1635,50,1021,822,963
1975,1795,1128,875,33,36,52,1636,50,1022,823,964
1976,1796,1129,876,33,36,52,1637,50,1023,824,965
1977,1797,1130,877,33,36,52,1638,50,1024,825,966
1978,1798,1131,878,33,36,52,1639,50,1025,826,967
1979,1799,1132,879,33,36,52,1640,50,1026,827,968
1980,1800,1133,880,33,36,52,1641,50,1027,828,969
1981,1801,1134,881,33,36,52,1642,50,1028,829,970
1982,1802,1135,882,33,36,52,1643,50,1029,830,971
1983,1803,1136,883,33,36,52,1644,50,1030,831,972
1984,1804,1137,884,33,36,52,1645,50,1031,832,973
1985,1805,1138,885,33,36,52,1646,50,1032,833,974
1986,1806,1139,886,33,36,52,1647,50,1033,834,975
1987,1807,1140,887,33,36,52,1648,50,1034,835,976
1988,1808,1141,888,33,36,52,1649,50,1035,836,977
1989,1809,1142,889,33,36,52,1650,50,1036,837,978
1990,1810,1143,890,33,36,52,1651,50,1037,838,979
1991,1811,1144,891,33,36,52,1652,50,1038,839,980
1992,1812,1145,892,33,36,52,1653,50,1039,840,981
1993,1813,1146,893,33,36,52,1654,50,1040,841,982
1994,1814,1147,894,33,36,52,1655,50,1041,842,983
1995,1815,1148,895,33,36,52,1656,50,1042,843,984
1996,1816,1149,896,33,36,52,1657,50,1043,844,985
1997,1817,1150,897,33,36,52,1658,50,1044,845,986
1998,1818,1151,898,33,36,52,1659,50,1045,846,987
1999,1819,1152,899,33,36,52,1660,50,1046,847,988
2000,1820,1153,900,33,36,52,1661,50,1047,848,989
2001,1821,1154,901,33,36,52,1662,50,1048,849,990
2002,1822,1155,902,33,36,52,1663,50,1049,850,991
2003,1823,1156,903,33,36,52,1664,50,1050,851,992
