Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,1740,1120,26,1518,156,46
1921,1741,1121,27,1519,157,47
1922,1742,1122,28,1520,158,48
1923,1743,1123,29,1521,159,49
1924,1744,1124,30,1522,160,50
1925,1745,1125,31,1523,161,51
1926,1746,1126,32,1524,162,52
1927,1747,1127,33,1525,163,53
1928,1748,1128,34,1526,164,54
1929,1749,1129,35,1527,165,55
1930,1750,1130,36,1528,166,56
1931,1751,1131,37,1529,167,57
1932,1752,1132,38,1530,168,58
1933,1753,1133,39,1531,169,59
1934,1754,1134,40,1532,170,60
1935,1755,1135,41,1533,171,61
1936,1756,1136,42,1534,172,62
1937,1757,1137,43,1535,173,63
1938,1758,1138,44,1536,174,64
1939,1759,1139,45,1537,175,65
1940,1760,1140,46,1538,176,66
1941,1761,1141,47,1539,177,67
1942,1762,1142,48,1540,178,68
1943,1763,1143,49,1541,179,69
1944,1764,1144,50,1542,180,70
1945,1765,1145,51,1543,181,71
1946,1766,1146,52,1544,182,72
1947,1767,1147,53,1545,183,73
1948,1768,1148,54,1546,184,74
1949,1769,1149,55,1547,185,75
1950,1770,1150,56,1548,186,76
1951,1771,1151,57,1549,187,77
1952,1772,1152,58,1550,188,78
1953,1773,1153,59,1551,189,79
1954,1774,1154,60,1552,190,80
1955,1775,1155,61,1553,191,81
1956,1776,1156,62,1554,192,82
1957,1777,1157,63,1555,193,83
1958,1778,1158,64,1556,194,84
1959,1779,1159,65,1557,195,85
1960,1780,1160,66,1558,196,86
1961,1781,1161,67,1559,197,87
1962,1782,1162,68,1560,198,88
1963,1783,1163,69,1561,199,89
1964,1784,1164,70,1562,200,90
1965,1785,1165,71,1563,201,91
1966,1786,1166,72,1564,202,92
1967,1787,1167,73,1565,203,93
1968,1788,1168,74,1566,204,94
1969,1789,1169,75,1567,205,95
1970,1790,1170,76,1568,206,96
1971,1791,1171,77,1569,207,97
1972,1792,1172,78,1570,208,98
1973,1793,1173,79,1571,209,99
1974,1794,1174,80,1572,210,100
1975,1795,1175,81,1573,211,101
1976,1796,1176,82,1574,212,102
1977,1797,1177,83,1575,213,103
1978,1798,1178,84,1576,214,104
1979,1799,1179,85,1577,215,105
1980,1800,1180,86,1578,216,106
1981,1801,1181,87,1579,217,107
1982,1802,1182,88,1580,218,108
1983,1803,1183,89,1581,219,109
1984,1804,1184,90,1582,220,110
1985,1805,1185,91,1583,221,111
1986,1806,1186,92,1584,222,112
1987,1807,1187,93,1585,223,113
1988,1808,1188,94,1586,224,114
1989,1809,1189,95,1587,225,115
1990,1810,1190,96,1588,226,116
1991,1811,1191,97,1589,227,117
1992,1812,1192,98,1590,228,118
1993,1813,1193,99,1591,229,119
1994,1814,1194,100,1592,230,120
1995,1815,1195,101,1593,231,121
1996,1816,1196,102,1594,232,122
1997,1817,1197,103,1595,233,123
1998,1818,1198,104,1596,234,124
1999,1819,1199,105,1597,235,125
2000,1820,1200,106,1598,236,126
2001,1821,1201,107,1599,237,127
2002,1822,1202,108,1600,238,128
2003,1823,1203,109,1601,239,129
2004,1824,1204,110,1602,240,130
2005,1825,1205,111,1603,241,131
2006,1826,1206,112,1604,242,132
2007,1827,1207,113,1605,243,133
2008,1828,1208,114,1606,244,134
2009,1829,1209,115,1607,245,135
2010,1830,1210,116,1608,246,136
2011,1831,1211,117,1609,247,137
2012,1832,1212,118,1610,248,138
2013,1833,1213,119,1611,249,139
2014,1834,1214,120,1612,250,140
2015,1835,1215,121,1613,251,141
2016,1836,1216,122,1614,252,142
2017,1837,1217,123,1615,253,143
2018,1838,1218,124,1616,254,144
2019,1839,1219,125,1617,255,145
2020,1840,1220,126,1618,256,146
