Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0.01,56.7,13.65,3.4,7.4,244
1921,1.01,57.7,14.65,4.4,7,245
1922,2.01,58.7,15.65,5.4,7.1,246
1923,3.01,59.7,16.65,6.4,7.2,247
1924,4.01,60.7,17.65,7.4,7.4,248
1925,5.01,61.7,18.65,8.4,7,249
1926,6.01,62.7,19.65,9.4,7.1,250
1927,7.01,63.7,20.65,10.4,7.2,251
1928,8.01,64.7,21.65,11.4,7.4,252
1929,9.01,65.7,22.65,12.4,7,253
1930,10.01,66.7,23.65,13.4,7.1,254
1931,11.01,67.7,24.65,14.4,7.2,255
1932,12.01,68.7,25.65,15.4,7.4,256
1933,13.01,69.7,26.65,16.4,7,257
1934,14.01,70.7,27.65,17.4,7.1,258
1935,15.01,71.7,28.65,18.4,7.2,259
1936,16.01,72.7,29.65,19.4,7,260
1937,17.01,73.7,30.65,20.4,7.1,261
1938,18.01,74.7,31.65,21.4,7.2,262
1939,19.01,75.7,32.65,22.4,7.4,263
1940,20.01,76.7,33.65,23.4,7,264
1941,21.01,77.7,34.65,24.4,7.1,265
1942,22.01,78.7,35.65,25.4,7.2,266
1943,23.01,79.7,36.65,26.4,7.4,267
1944,24.01,80.7,37.65,27.4,7,268
1945,25.01,81.7,38.65,28.4,7.1,269
1946,26.01,82.7,39.65,29.4,7.2,270
1947,27.01,83.7,40.65,30.4,7.4,271
1948,28.01,84.7,41.65,31.4,7,272
1949,29.01,85.7,42.65,32.4,7.1,273
1950,30.01,86.7,43.65,33.4,7,274
1951,31.01,87.7,44.65,34.4,7.1,275
1952,32.01,88.7,45.65,35.4,7.2,276
1953,33.01,89.7,46.65,36.4,7.4,277
1954,34.01,90.7,47.65,37.4,7,278
1955,35.01,91.7,48.65,38.4,7.1,279
1956,36.01,92.7,49.65,39.4,7.2,280
1957,37.01,93.7,50.65,40.4,7.4,281
1958,38.01,94.7,51.65,41.4,7,282
1959,39.01,95.7,52.65,42.4,7.1,283
1960,40.01,96.7,53.65,43.4,7.2,284
1961,41.01,97.7,54.65,44.4,7.4,285
1962,42.01,98.7,55.65,45.4,7,286
1963,43.01,99.7,56.65,46.4,7.1,287
1964,44.01,100.7,57.65,47.4,7.2,288
1965,45.01,101.7,58.65,48.4,7,289
1966,46.01,102.7,59.65,49.4,7.1,290
1967,47.01,103.7,60.65,50.4,7.2,291
1968,48.01,104.7,61.65,51.4,7.4,292
1969,49.01,105.7,62.65,52.4,7,293
1970,50.01,106.7,63.65,53.4,7.1,294
1971,51.01,107.7,64.65,54.4,7.2,295
1972,52.01,108.7,65.65,55.4,7.4,296
1973,53.01,109.7,66.65,56.4,7,297
1974,54.01,110.7,67.65,57.4,7.1,298
1975,55.01,111.7,68.65,58.4,7.2,299
1976,56.01,112.7,69.65,59.4,7,300
1977,57.01,113.7,70.65,60.4,7.1,301
1978,58.01,114.7,71.65,61.4,7.2,302
1979,59.01,115.7,72.65,62.4,7.4,303
1980,60.01,116.7,73.65,63.4,7,304
1981,61.01,117.7,74.65,64.4,7.1,305
1982,62.01,118.7,75.65,65.4,7.2,306
1983,63.01,119.7,76.65,66.4,7.4,307
1984,64.01,120.7,77.65,67.4,7,308
1985,65.01,121.7,78.65,68.4,7.1,309
1986,66.01,122.7,79.65,69.4,7.2,310
1987,67.01,123.7,80.65,70.4,7.4,311
1988,68.01,124.7,81.65,71.4,7,312
1989,69.01,125.7,82.65,72.4,7.1,313
1990,70.01,126.7,83.65,73.4,7.2,314
1991,71.01,127.7,84.65,74.4,7,315
1992,72.01,128.7,85.65,75.4,7.1,316
1993,73.01,129.7,86.65,76.4,7.2,317
1994,74.01,130.7,87.65,77.4,7.4,318
1995,75.01,131.7,88.65,78.4,7,319
1996,76.01,132.7,89.65,79.4,7.1,320
1997,77.01,133.7,90.65,80.4,7.2,321
1998,78.01,134.7,91.65,81.4,7.4,322
1999,79.01,135.7,92.65,82.4,7,323
2000,80.01,136.7,93.65,83.4,7.1,324
2001,81.01,137.7,94.65,84.4,7.2,325
2002,82.01,138.7,95.65,85.4,7.4,326
2003,83.01,139.7,96.65,86.4,7,327
2004,84.01,140.7,97.65,87.4,7.1,328
2005,85.01,141.7,98.65,88.4,7,329
2006,86.01,142.7,99.65,89.4,7.1,330
2007,87.01,143.7,100.65,90.4,7.2,331
2008,88.01,144.7,101.65,91.4,7.4,332
2009,89.01,145.7,102.65,92.4,7,333
2010,90.01,146.7,103.65,93.4,7.1,334
2011,91.01,147.7,104.65,94.4,7.2,335
2012,92.01,148.7,105.65,95.4,7.4,336
2013,93.01,149.7,106.65,96.4,7,337
2014,94.01,150.7,107.65,97.4,7.1,338
2015,95.01,151.7,108.65,98.4,7.2,339
2016,96.01,152.7,109.65,99.4,7.4,340
2017,97.01,153.7,110.65,100.4,7,341
2018,98.01,154.7,111.65,101.4,7.1,342
2019,99.01,155.7,112.65,102.4,7.2,343
2020,100.01,156.7,113.65,103.4,7,344
