"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,1556,265,258,200,113,500
1921,1597,284,625,150,107,501
1922,1639,113,460,110,62,508
1923,1680,235,370,70,41,496
1924,1639,123,376,50,89,410
1925,1680,208,625,110,100,420
1926,1514,261,460,281,136,440
1927,1556,265,370,200,62,470
1928,1514,261,460,281,136,410
1929,1639,123,370,110,261,420
1930,1680,208,220,251,265,440
1931,1514,261,215,281,284,470
1932,1556,265,258,200,113,404
1933,1597,284,625,150,107,500
1934,1639,113,460,110,62,501
1935,1680,235,370,70,41,279
1936,1639,123,376,50,89,500
1937,1680,208,625,110,100,501
1938,1514,261,460,281,136,508
1939,1556,265,370,200,62,496
1940,1639,123,370,110,261,500
1941,1680,208,220,251,265,501
1942,1514,261,215,281,284,279
1943,1556,265,258,200,113,500
1944,1597,284,625,150,107,501
1945,1639,113,460,110,62,508
1946,1680,235,370,70,41,496
1947,1680,208,220,251,265,404
1948,1514,261,215,281,284,500
1949,1556,265,258,200,113,501
1950,1597,284,625,150,107,279
1951,1639,113,460,110,62,500
1952,1680,235,370,70,41,501
1953,1639,123,376,50,89,508
1954,1680,208,625,110,100,496
1955,1514,261,460,281,136,410
1956,1639,123,370,110,261,420
1957,1680,208,220,251,265,440
1958,1514,261,215,281,284,470
1959,1556,265,258,200,113,404
1960,1597,284,625,150,107,500
1961,1639,113,460,110,62,501
1962,1680,235,370,70,41,279
1963,1639,123,376,50,89,500
1964,1680,208,625,110,100,501
1965,1514,261,460,281,136,508
1966,1556,265,370,200,62,496
1967,1639,123,370,110,261,500
1968,1680,208,220,251,265,501
1969,1514,261,215,281,284,279
1970,1514,261,215,281,284,470
1971,1556,265,258,200,113,404
1972,1597,284,625,150,107,500
1973,1639,113,460,110,62,501
1974,1680,235,370,70,41,279
1975,1639,123,376,50,89,500
1976,1680,208,625,110,100,501
1977,1514,261,460,281,136,508
1978,1556,265,370,200,62,496
1979,1639,123,370,110,261,500
1980,1680,208,220,251,265,501
1981,1514,261,215,281,284,279
1982,1556,265,258,200,113,500
1983,1597,284,625,150,107,501
1984,1639,113,460,110,62,508
1985,1680,235,370,70,41,496
1986,1680,208,220,251,265,404
1987,1514,261,215,281,284,500
1988,1556,265,258,200,113,501
1989,1639,123,370,110,261,387
1990,1680,208,220,251,265,404
1991,1514,261,215,281,284,500
1992,1556,265,258,200,113,501
1993,1597,284,625,150,107,279
1994,1639,113,460,110,62,500
1995,1680,235,370,70,41,501
1996,1639,123,376,50,89,508
1997,1680,208,625,110,100,496
1998,1514,261,460,281,136,410
1999,1639,123,370,110,261,420
2000,1680,208,220,251,265,440
2001,1514,261,215,281,284,470
2002,1556,265,258,200,113,404
2003,1597,284,625,150,107,500
2004,1639,113,460,110,62,501
2005,1680,235,370,70,41,279
2006,1639,123,376,50,89,500
2007,1680,208,625,110,100,501
2008,1514,261,460,281,136,508
2009,1556,265,370,200,62,496
2010,1639,123,370,110,261,500
2011,1680,208,220,251,265,501
2012,1514,261,215,281,284,279
2013,1556,265,258,200,113,500
2014,1597,284,625,150,107,501
2015,1639,113,460,110,62,508
2016,1680,235,370,70,41,496
2017,1639,123,376,50,89,410
2018,1680,208,625,110,100,420
2019,1514,261,460,281,136,440
2020,1556,265,370,200,62,470
