"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
1920,6.5,1,0.75,280,27,280
1921,7.5,0.3,0.25,180,32,187
1922,6,0.5,0.65,270,30,177
1923,6.3,0.2,0.72,250,35,234
1924,7.1,0.9,0.73,260,50,245
1925,7.3,1,0.71,240,39,267
1926,7.4,0.1,0.5,230,60,278
1927,6.8,0.3,0.55,210,80,218
1928,6.4,0.6,0.45,250,88,234
1929,6.5,0.8,0.66,279,90,243
1930,6.2,0.4,0.62,256,70,199
1931,6,0.2,0.56,247,83,197
1932,7.4,0.7,0.59,273,26,276
1933,7.1,0.9,0.73,260,50,245
1934,7.3,1,0.71,240,39,267
1935,7.4,0.1,0.5,230,60,278
1936,6.8,0.3,0.55,210,80,218
1937,6.4,0.6,0.45,250,88,234
1938,6.5,0.8,0.66,279,90,243
1939,6.2,0.4,0.62,256,70,199
1940,6,0.2,0.56,247,83,197
1941,7.4,0.7,0.59,273,26,276
1942,7.5,0.2,0.65,180,32,245
1943,6,0.9,0.72,270,30,267
1944,6.3,1,0.73,250,35,278
1945,7.1,0.1,0.71,260,50,218
1946,7.3,0.3,0.5,240,39,234
1947,7.4,0.6,0.55,230,60,243
1948,6.8,0.8,0.45,210,80,199
1949,6.4,0.4,0.66,250,88,197
1950,6.5,0.2,0.62,279,90,190
1951,6.2,0.3,0.56,256,70,230
1952,7.3,1,0.71,240,39,267
1953,7.4,0.1,0.5,230,60,278
1954,6.8,0.3,0.55,210,80,218
1955,6.4,0.6,0.45,250,88,234
1956,6.5,0.8,0.66,279,90,243
1957,6.2,0.4,0.62,256,70,199
1958,6,0.2,0.56,247,83,197
1959,7.4,0.7,0.59,273,26,276
1960,7.1,0.9,0.73,260,50,245
1961,7.3,1,0.71,240,39,267
1962,7.4,0.1,0.5,230,60,278
1963,6.8,0.3,0.55,210,80,218
1964,6.4,0.6,0.45,250,88,234
1965,6.5,0.8,0.66,279,90,243
1966,6.2,0.4,0.62,256,70,199
1967,6,0.2,0.56,247,83,197
1968,7.4,0.7,0.59,273,26,276
1969,7.5,0.2,0.65,180,32,245
1970,6,0.9,0.72,270,30,267
1971,6.3,1,0.73,250,35,278
1972,7.1,0.1,0.71,260,50,218
1973,7.3,0.3,0.5,240,39,234
1974,7.4,0.6,0.55,230,60,243
1975,6.8,0.3,0.55,210,60,278
1976,6.4,0.6,0.45,250,80,218
1977,6.5,0.8,0.66,279,88,234
1978,6.2,0.4,0.62,256,90,243
1979,6,0.2,0.6,248,70,249
1980,6.8,0.3,0.55,210,80,218
1981,6.4,0.6,0.45,250,88,234
1982,6.5,0.8,0.66,279,90,243
1983,6.2,0.4,0.62,256,70,199
1984,6,0.2,0.56,247,83,197
1985,7.4,0.7,0.59,273,26,276
1986,7.1,0.9,0.73,260,50,245
1987,7.3,1,0.71,240,39,267
1988,7.4,0.1,0.5,230,60,278
1989,6.8,0.3,0.55,210,80,218
1990,6.4,0.6,0.45,250,88,234
1991,6.5,0.8,0.66,279,90,243
1992,6.2,0.4,0.62,256,70,199
1993,6,0.2,0.56,247,83,197
1994,7.4,0.7,0.59,273,26,276
1995,7.5,0.2,0.65,180,32,245
1996,6,0.9,0.72,270,30,267
1997,6.3,1,0.73,250,35,278
1998,7.1,0.1,0.71,260,50,218
1999,7.3,0.3,0.5,240,39,234
2000,7.4,0.6,0.55,230,60,243
2001,6.8,0.8,0.45,210,80,199
2002,6.4,0.4,0.66,250,88,197
2003,6.5,0.2,0.62,279,90,190
2004,6.2,0.3,0.56,256,70,230
2005,7.3,1,0.71,240,39,267
2006,7.4,0.1,0.5,230,60,278
2007,6.8,0.3,0.55,210,80,218
2008,6.4,0.6,0.45,250,88,234
2009,6.5,0.8,0.66,279,90,243
2010,6.2,0.4,0.62,256,70,199
2011,6,0.2,0.56,247,83,197
2012,7.4,0.7,0.59,273,26,276
2013,7.1,0.9,0.73,260,50,245
2014,6.2,0.4,0.62,256,70,199
2015,6,0.2,0.56,247,83,197
2016,7.4,0.7,0.59,273,26,276
2017,7.5,0.2,0.65,180,32,245
2018,6,0.9,0.72,270,30,267
2019,6.3,1,0.73,250,35,278
2020,7.1,0.1,0.71,260,50,218
