"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
1920,11567,71,15,30,21,1017
1921,10466,70,14,34,30,1000
1922,10845,71,12,30,21,1011
1923,9890,75,14,34,30,1012
1924,10087,72,15,28,21,1015
1925,9209,71,12,30,21,1011
1926,10484,75,14,34,30,1012
1927,7536,72,15,28,21,1015
1928,7659,78,13,30,23,1012
1929,8709,70,14,34,30,1000
1930,9164,71,12,30,21,1011
1931,12381,75,14,34,30,1012
1932,10609,72,15,28,21,1015
1933,10158,71,12,30,21,1011
1934,8822,75,14,34,30,1012
1935,8213,72,15,28,21,1015
1936,7911,75,14,34,30,1012
1937,8531,72,15,28,21,1015
1938,9534,71,12,30,21,1011
1939,7203,75,14,34,30,1012
1940,10719,72,15,28,21,1015
1941,11192,78,13,30,23,1012
1942,9328,70,14,34,30,1000
1943,8244,71,12,30,21,1011
1944,11510,75,14,34,30,1012
1945,11411,72,15,28,21,1015
1946,10000,71,12,30,21,1011
1947,6746,75,14,34,30,1012
1948,12629,72,15,28,21,1015
1949,8697,78,13,30,23,1012
1950,7923,71,15,30,21,1017
1951,8161,70,14,34,30,1000
1952,6562,71,12,30,21,1011
1953,8744,75,14,34,30,1012
1954,6278,72,15,28,21,1015
1955,9374,71,12,30,21,1011
1956,9801,75,14,34,30,1012
1957,10637,72,15,28,21,1015
1958,9292,78,13,30,23,1012
1959,8669,70,14,34,30,1000
1960,8019,71,12,30,21,1011
1961,8670,75,14,34,30,1012
1962,9857,72,15,28,21,1015
1963,9337,71,12,30,21,1011
1964,9534,75,14,34,30,1012
1965,10982,72,15,28,21,1015
1966,9280,78,13,30,23,1012
1967,8993,70,14,34,30,1000
1968,12270,71,12,30,21,1011
1969,10070,75,14,34,30,1012
1970,7602,72,15,28,21,1015
1971,8895,71,12,30,21,1011
1972,8645,75,14,34,30,1012
1973,9862,72,15,28,21,1015
1974,10626,75,14,34,30,1012
1975,8405,72,15,28,21,1015
1976,7201,71,12,30,21,1011
1977,8899,75,14,34,30,1012
1978,8974,72,15,28,21,1015
1979,12507,78,13,30,23,1012
1980,10424,70,14,34,30,1000
1981,10723,71,12,30,21,1011
1982,6968,75,14,34,30,1012
1983,10060,72,15,28,21,1015
1984,6733,71,12,30,21,1011
1985,10623,75,14,34,30,1012
1986,10699,72,15,28,21,1015
1987,9338,78,13,30,23,1012
1988,7002,71,15,30,21,1017
1989,8554,70,14,34,30,1000
1990,8297,71,12,30,21,1011
1991,7845,75,14,34,30,1012
1992,8434,72,15,28,21,1015
1993,8739,71,12,30,21,1011
1994,8648,75,14,34,30,1012
1995,10977,72,15,28,21,1015
1996,8477,78,13,30,23,1012
1997,8318,70,14,34,30,1000
1998,11101,71,12,30,21,1011
1999,10622,72,15,28,21,1015
2000,9887,75,14,34,30,1012
2001,8193,72,15,28,21,1015
2002,8000,71,12,30,21,1011
2003,9794,75,14,34,30,1012
2004,7347,72,15,28,21,1015
2005,6947,78,13,30,23,1012
2006,7089,71,12,30,21,1011
2007,9941,75,14,34,30,1012
2008,12731,72,15,28,21,1015
2009,9514,71,12,30,21,1011
2010,9491,75,14,34,30,1012
2011,12792,72,15,28,21,1015
2012,9637,78,13,30,23,1012
2013,12012,70,14,34,30,1000
2014,10675,71,12,30,21,1011
2015,7801,75,14,34,30,1012
2016,7899,72,15,28,21,1015
2017,8677,71,12,30,21,1011
2018,12164,75,14,34,30,1012
2019,5272,72,15,28,21,1015
2020,6780,78,13,30,23,1012
