"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
1920,0.43,63.1,10.34,19.2,7.3,2532
1921,0.57,65.75,11.26,17.2,7.5,2800
1922,0.01,111,9.4,23.54,7,1400
1923,0.56,109,15.8,29.78,7.7,1200
1924,0.57,65.75,11.26,17.2,7.5,2800
1925,0.01,111,9.4,23.54,7,1400
1926,0.56,109,15.8,29.78,7.7,1200
1927,0.56,109,15.8,29.78,7.3,1100
1928,0.78,105,17.8,30.45,7,2321
1929,0.57,65.75,11.26,17.2,7.1,1631
1930,0.01,111,9.4,23.54,7.2,2532
1931,0.56,109,15.8,29.78,7.5,2800
1932,0.78,105,17.8,30.45,7.8,1400
1933,0.57,65.75,11.26,17.2,7.9,1200
1934,0.01,111,9.4,23.54,7.2,1100
1935,0.56,109,15.8,29.78,7.3,559
1936,0.78,107,14.7,31.3,7.7,790
1937,0.01,111,9.4,23.54,7,1400
1938,0.56,109,15.8,29.78,7.7,1200
1939,0.78,105,17.8,30.45,7.4,1100
1940,0.57,65.75,11.26,17.2,7.5,2800
1941,0.57,65.75,11.26,17.2,7.5,2800
1942,0.01,111,9.4,23.54,7,1400
1943,0.56,109,15.8,29.78,7.7,1200
1944,0.56,109,15.8,29.78,7.3,1100
1945,0.78,105,17.8,30.45,7,2321
1946,0.57,65.75,11.26,17.2,7.1,1631
1947,0.01,111,9.4,23.54,7.2,2532
1948,0.56,109,15.8,29.78,7.5,2800
1949,0.78,105,17.8,30.45,7.8,1400
1950,0.57,65.75,11.26,17.2,7.9,1200
1951,0.01,111,9.4,23.54,7.2,1100
1952,0.56,109,15.8,29.78,7.3,559
1953,0.78,107,14.7,31.3,7.7,790
1954,0.01,111,9.4,23.54,7,1400
1955,0.56,109,15.8,29.78,7.7,1200
1956,0.78,105,17.8,30.45,7.4,1100
1957,0.57,65.75,11.26,17.2,7.5,2800
1958,0.01,111,9.4,23.54,7,1400
1959,0.56,109,15.8,29.78,7.7,1200
1960,0.78,105,17.8,30.45,7.4,1100
1961,0.78,107,14.7,31.3,7.7,790
1962,0.01,111,9.4,23.54,7,1400
1963,0.56,109,15.8,29.78,7.7,1200
1964,0.78,105,17.8,30.45,7.4,1100
1965,0.57,65.75,11.26,17.2,7.5,2800
1966,0.57,65.75,11.26,17.2,7.5,2800
1967,0.01,111,9.4,23.54,7,1400
1968,0.56,109,15.8,29.78,7.7,1200
1969,0.56,109,15.8,29.78,7.3,1100
1970,0.78,105,17.8,30.45,7,2321
1971,0.57,65.75,11.26,17.2,7.1,1631
1972,0.01,111,9.4,23.54,7.2,2532
1973,0.56,109,15.8,29.78,7.5,2800
1974,0.78,105,17.8,30.45,7.8,1400
1975,0.57,65.75,11.26,17.2,7.9,1200
1976,0.01,111,9.4,23.54,7.2,1100
1977,0.56,109,15.8,29.78,7.3,559
1978,0.78,107,14.7,31.3,7.7,790
1979,0.01,111,9.4,23.54,7,1400
1980,0.56,109,15.8,29.78,7.7,1200
1981,0.57,65.75,11.26,17.2,7.5,2800
1982,0.01,111,9.4,23.54,7,1400
1983,0.56,109,15.8,29.78,7.7,1200
1984,0.56,109,15.8,29.78,7.3,1100
1985,0.78,105,17.8,30.45,7,2321
1986,0.57,65.75,11.26,17.2,7.1,1631
1987,0.01,111,9.4,23.54,7.2,2532
1988,0.56,109,15.8,29.78,7.5,2800
1989,0.78,105,17.8,30.45,7.8,1400
1990,0.57,65.75,11.26,17.2,7.9,1200
1991,0.01,111,9.4,23.54,7.2,1100
1992,0.56,109,15.8,29.78,7.3,559
1993,0.78,107,14.7,31.3,7.7,790
1994,0.01,111,9.4,23.54,7,1400
1995,0.56,109,15.8,29.78,7.7,1200
1996,0.78,105,17.8,30.45,7.4,1100
1997,0.57,65.75,11.26,17.2,7.5,2800
1998,0.57,65.75,11.26,17.2,7.5,2800
1999,0.01,111,9.4,23.54,7,1400
2000,0.56,109,15.8,29.78,7.7,1200
2001,0.56,109,15.8,29.78,7.3,1100
2002,0.78,105,17.8,30.45,7,2321
2003,0.57,65.75,11.26,17.2,7.1,1631
2004,0.56,109,15.8,29.78,7.3,1100
2005,0.78,105,17.8,30.45,7,2321
2006,0.57,65.75,11.26,17.2,7.1,1631
2007,0.01,111,9.4,23.54,7.2,2532
2008,0.56,109,15.8,29.78,7.5,2800
2009,0.78,105,17.8,30.45,7.8,1400
2010,0.57,65.75,11.26,17.2,7.9,1200
2011,0.01,111,9.4,23.54,7.2,1100
2012,0.56,109,15.8,29.78,7.3,559
2013,0.78,107,14.7,31.3,7.7,790
2014,0.01,111,9.4,23.54,7,1400
2015,0.56,109,15.8,29.78,7.7,1200
2016,0.78,105,17.8,30.45,7.4,1100
2017,0.57,65.75,11.26,17.2,7.5,2800
2018,0.01,111,9.4,23.54,7,1400
2019,0.56,109,15.8,29.78,7.7,1200
2020,0.78,105,17.8,30.45,7.4,1100
