Year,Rice(kg/hectare),Jowar,Ragi,Small Millets,Tur,Gram,Groundnuts,Sessasum,Tea,Banana,Sugarcane,Tobacco,Pepper,Chillies,Ginger,Coconut,Tumeric,Bajra,Maize,Cotton,Potato
1920,2712,851,1967,1010,785,645,2315,518,22,507,97688,479,30,4,37,95,52,95,300,600,205
1921,3100,1295,3053,1085,967,653,2721,596,22,479,103575,479,30,5,37,95,52,96,301,601,206
1922,3918,1277,2715,1210,870,643,2751,612,22,518,111378,479,30,3,37,95,52,97,302,602,207
1923,2712,851,1967,1010,785,645,2315,518,22,507,97688,479,30,4,37,95,52,98,303,603,208
1924,3100,1295,3053,1085,967,653,2721,596,22,479,103575,479,30,5,37,95,52,99,304,604,209
1925,3100,1295,3100,1295,3053,1085,967,653,22,596,103576,479,30,5,37,95,52,100,305,605,210
1926,2712,851,2712,851,1967,1010,785,645,22,518,103577,507,30,5,37,95,52,101,306,606,211
1927,3100,1295,3100,1295,3053,1085,967,653,22,596,103578,508,30,5,37,95,52,102,307,607,212
1928,3918,1277,3918,1277,2715,1210,870,643,22,612,103579,509,30,5,37,95,52,103,308,608,213
1929,3069,929,1976,940,765,614,2155,466,22,438,101452,510,30,5,37,95,52,104,309,609,214
1930,3039,1014,2260,1043,662,671,2323,527,22,660,108392,511,30,5,37,95,52,105,310,610,215
1931,3918,1277,2715,1210,870,643,2751,612,22,518,111378,512,30,5,37,105,52,106,311,611,216
1932,2712,851,1967,1010,785,645,2315,518,22,507,97688,513,30,5,37,103,52,107,312,612,217
1933,3100,1295,3053,1085,967,653,2721,596,22,479,103575,514,30,5,37,102,52,108,313,613,218
1934,3918,1277,2715,1210,870,643,2751,612,22,518,111378,515,30,5,37,105,52,109,314,614,219
1935,2712,851,1967,1010,785,645,2315,518,22,507,97688,516,30,5,37,103,52,110,315,615,220
1936,3100,1295,3053,1085,967,653,2721,596,22,479,101452,517,30,5,37,102,52,111,316,616,221
1937,3100,1295,3100,1295,3053,1085,967,653,22,596,101453,518,30,5,37,102,52,112,317,617,222
1938,3918,1277,3918,1277,2715,1210,870,643,22,612,101454,519,30,5,37,102,52,113,318,618,223
1939,2712,851,2712,851,1967,1010,785,645,22,518,101455,520,30,5,37,102,52,114,319,619,224
1940,3100,1295,3100,1295,3053,1085,967,653,22,596,101456,521,30,5,37,102,52,115,320,620,225
1941,3918,1277,3918,1277,2715,1210,870,643,22,612,101457,522,30,5,37,102,52,116,321,621,226
1942,3069,929,1976,940,765,614,2155,466,22,438,101452,523,30,5,37,102,52,117,322,622,227
1943,3039,1014,2260,1043,662,671,2323,527,22,660,108392,524,30,5,37,102,52,118,323,623,228
1944,3918,1277,2715,1210,870,643,2751,612,22,518,111378,525,30,5,37,102,52,119,324,624,229
1945,2712,851,1967,1010,785,645,2315,518,22,507,97688,526,30,5,37,102,52,120,325,625,230
1946,3100,1295,3053,1085,967,653,2721,596,21,479,103575,527,30,5,37,102,52,121,326,626,231
1947,3918,1277,2715,1210,870,643,2751,612,20,518,111378,528,30,5,37,102,52,122,327,627,232
1948,2712,851,1967,1010,785,645,2315,518,22,507,97688,529,30,5,37,102,52,123,328,628,233
1949,3100,1295,3053,1085,967,653,2721,596,21,479,97688,530,30,5,37,102,52,124,329,629,234
1950,3100,1295,3100,1295,3053,1085,967,653,21,596,103575,531,30,5,37,102,52,125,330,630,235
1951,2712,851,2712,851,1967,1010,785,645,21,518,103576,532,30,5,37,102,52,126,331,631,236
1952,3100,1295,3100,1295,3053,1085,967,653,21,596,103577,533,30,5,37,102,52,127,332,632,237
1953,3918,1277,3918,1277,2715,1210,870,643,21,612,103578,534,30,5,37,102,52,128,333,633,238
1954,3069,929,1976,940,765,614,2155,466,21,438,103579,535,30,5,37,102,52,129,334,634,239
1955,3039,1014,2260,1043,662,671,2323,527,21,660,101452,536,30,5,37,102,52,130,335,635,240
1956,3918,1277,2715,1210,870,643,2751,612,21,518,108392,537,30,5,37,102,52,131,336,636,241
1957,2712,851,1967,1010,785,645,2315,518,21,507,97688,538,30,5,37,102,52,132,337,637,242
1958,2712,851,1967,1010,785,645,2315,518,21,507,97688,539,30,5,37,102,52,133,338,638,243
