Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,1561,923,213,1324,150,170
1921,1562,924,214,1325,151,171
1922,1563,925,215,1326,152,172
1923,1564,926,216,1327,153,173
1924,1565,927,217,1328,154,174
1925,1566,928,218,1329,155,175
1926,1567,929,219,1330,156,176
1927,1568,930,220,1331,157,177
1928,1569,931,221,1332,158,178
1929,1570,932,222,1333,159,179
1930,1571,933,223,1334,160,180
1931,1572,934,224,1335,161,181
1932,1573,935,225,1336,162,182
1933,1574,936,226,1337,163,183
1934,1575,937,227,1338,164,184
1935,1576,938,228,1339,165,185
1936,1577,939,229,1340,166,186
1937,1578,940,230,1341,167,187
1938,1579,941,231,1342,168,188
1939,1580,942,232,1343,169,189
1940,1581,943,233,1344,170,190
1941,1582,944,234,1345,171,191
1942,1583,945,235,1346,172,192
1943,1584,946,236,1347,173,193
1944,1585,947,237,1348,174,194
1945,1586,948,238,1349,175,195
1946,1587,949,239,1350,176,196
1947,1588,950,240,1351,177,197
1948,1589,951,241,1352,178,198
1949,1590,952,242,1353,179,199
1950,1591,953,243,1354,180,200
1951,1592,954,244,1355,181,201
1952,1593,955,245,1356,182,202
1953,1594,956,246,1357,183,203
1954,1595,957,247,1358,184,204
1955,1596,958,248,1359,185,205
1956,1597,959,249,1360,186,206
1957,1598,960,250,1361,187,207
1958,1599,961,251,1362,188,208
1959,1600,962,252,1363,189,209
1960,1601,963,253,1364,190,210
1961,1602,964,254,1365,191,211
1962,1603,965,255,1366,192,212
1963,1604,966,256,1367,193,213
1964,1605,967,257,1368,194,214
1965,1606,968,258,1369,195,215
1966,1607,969,259,1370,196,216
1967,1608,970,260,1371,197,217
1968,1609,971,261,1372,198,218
1969,1610,972,262,1373,199,219
1970,1611,973,263,1374,200,220
1971,1612,974,264,1375,201,221
1972,1613,975,265,1376,202,222
1973,1614,976,266,1377,203,223
1974,1615,977,267,1378,204,224
1975,1616,978,268,1379,205,225
1976,1617,979,269,1380,206,226
1977,1618,980,270,1381,207,227
1978,1619,981,271,1382,208,228
1979,1620,982,272,1383,209,229
1980,1621,983,273,1384,210,230
1981,1622,984,274,1385,211,231
1982,1623,985,275,1386,212,232
1983,1624,986,276,1387,213,233
1984,1625,987,277,1388,214,234
1985,1626,988,278,1389,215,235
1986,1627,989,279,1390,216,236
1987,1628,990,280,1391,217,237
1988,1629,991,281,1392,218,238
1989,1630,992,282,1393,219,239
1990,1631,993,283,1394,220,240
1991,1632,994,284,1395,221,241
1992,1633,995,285,1396,222,242
1993,1634,996,286,1397,223,243
1994,1635,997,287,1398,224,244
1995,1636,998,288,1399,225,245
1996,1637,999,289,1400,226,246
1997,1638,1000,290,1401,227,247
1998,1639,1001,291,1402,228,248
1999,1640,1002,292,1403,229,249
2000,1641,1003,293,1404,230,250
2001,1642,1004,294,1405,231,251
2002,1643,1005,295,1406,232,252
2003,1644,1006,296,1407,233,253
2004,1645,1007,297,1408,234,254
2005,1646,1008,298,1409,235,255
2006,1647,1009,299,1410,236,256
2007,1648,1010,300,1411,237,257
2008,1649,1011,301,1412,238,258
2009,1650,1012,302,1413,239,259
2010,1651,1013,303,1414,240,260
2011,1652,1014,304,1415,241,261
2012,1653,1015,305,1416,242,262
2013,1654,1016,306,1417,243,263
2014,1655,1017,307,1418,244,264
2015,1656,1018,308,1419,245,265
2016,1657,1019,309,1420,246,266
2017,1658,1020,310,1421,247,267
2018,1659,1021,311,1422,248,268
2019,1660,1022,312,1423,249,269
2020,1661,1023,313,1424,250,270
