Year,NPK(tonnes),MAP(tonnes),MOP(tonnes),TSP(tonnes),UREA(tonnes),DAP(tonnes)
1920,25,178,610,94,505,670
1921,26,179,611,95,506,671
1922,27,180,612,96,507,672
1923,28,181,613,97,508,673
1924,29,182,614,98,509,674
1925,30,183,615,99,510,675
1926,31,184,616,100,511,676
1927,32,185,617,101,512,677
1928,33,186,618,102,513,678
1929,34,187,619,103,514,679
1930,35,188,620,104,515,680
1931,36,189,621,105,516,681
1932,37,190,622,106,517,682
1933,38,191,623,107,518,683
1934,39,192,624,108,519,684
1935,40,193,625,109,520,685
1936,41,194,626,110,521,686
1937,42,195,627,111,522,687
1938,43,196,628,112,523,688
1939,44,197,629,113,524,689
1940,45,198,630,114,525,690
1941,46,199,631,115,526,691
1942,47,200,632,116,527,692
1943,48,201,633,117,528,693
1944,49,202,634,118,529,694
1945,50,203,635,119,530,695
1946,51,204,636,120,531,696
1947,52,205,637,121,532,697
1948,53,206,638,122,533,698
1949,54,207,639,123,534,699
1950,55,208,640,124,535,700
1951,56,209,641,125,536,701
1952,57,210,642,126,537,702
1953,58,211,643,127,538,703
1954,59,212,644,128,539,704
1955,60,213,645,129,540,705
1956,61,214,646,130,541,706
1957,62,215,647,131,542,707
1958,63,216,648,132,543,708
1959,64,217,649,133,544,709
1960,65,218,650,134,545,710
1961,66,219,651,135,546,711
1962,67,220,652,136,547,712
1963,68,221,653,137,548,713
1964,69,222,654,138,549,714
1965,70,223,655,139,550,715
1966,71,224,656,140,551,716
1967,72,225,657,141,552,717
1968,73,226,658,142,553,718
1969,74,227,659,143,554,719
1970,75,228,660,144,555,720
1971,76,229,661,145,556,721
1972,77,230,662,146,557,722
1973,78,231,663,147,558,723
1974,79,232,664,148,559,724
1975,80,233,665,149,560,725
1976,81,234,666,150,561,726
1977,82,235,667,151,562,727
1978,83,236,668,152,562,728
1979,84,237,669,153,562,729
1980,85,238,670,154,562,730
1981,86,239,671,155,562,731
1982,87,240,672,156,562,732
1983,88,241,673,157,562,733
1984,89,242,674,158,562,734
1985,90,243,675,159,562,735
1986,91,244,676,160,562,736
1987,92,245,677,161,562,737
1988,93,246,678,162,562,738
1989,94,247,679,163,562,739
1990,95,248,680,164,562,740
1991,96,249,681,165,562,741
1992,97,250,682,166,562,742
1993,98,251,683,167,562,743
1994,99,252,684,168,562,744
1995,100,253,685,169,562,745
1996,101,254,686,170,562,746
1997,102,255,687,171,562,747
1998,103,256,688,172,562,748
1999,104,257,689,173,562,749
2000,105,258,690,174,562,750
2001,106,259,691,175,562,751
2002,107,260,692,176,562,752
2003,108,261,693,177,562,753
2004,109,262,694,178,562,754
2005,110,263,695,179,562,755
2006,111,264,696,180,562,756
2007,112,265,697,181,562,757
2008,113,266,698,182,562,758
2009,114,267,699,183,562,759
2010,115,268,700,184,562,760
2011,116,269,701,185,562,761
2012,117,270,702,186,562,762
2013,118,271,703,187,562,763
2014,119,272,704,188,562,764
2015,120,273,705,189,562,765
2016,121,274,706,190,562,766
2017,122,275,707,191,562,767
2018,123,276,708,192,562,768
2019,124,277,709,193,562,769
2020,125,278,710,194,562,770
