Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0.21,5.33,2.71,3.49,6.6,70
1921,1.21,6.33,3.71,4.49,7.1,71
1922,2.21,7.33,4.71,5.49,8.4,72
1923,3.21,8.33,5.71,6.49,9,73
1924,4.21,9.33,6.71,7.49,7.1,74
1925,5.21,10.33,7.71,8.49,8.4,75
1926,6.21,11.33,8.71,9.49,9,76
1927,7.21,12.33,9.71,10.49,6.6,77
1928,8.21,13.33,10.71,11.49,7.1,78
1929,9.21,14.33,11.71,12.49,8.4,79
1930,10.21,15.33,12.71,13.49,9,80
1931,11.21,16.33,13.71,14.49,7.1,81
1932,12.21,17.33,14.71,15.49,8.4,82
1933,13.21,18.33,15.71,16.49,7,83
1934,14.21,19.33,16.71,17.49,7.1,84
1935,15.21,20.33,17.71,18.49,7.2,85
1936,16.21,21.33,18.71,19.49,7.4,86
1937,17.21,22.33,19.71,20.49,7,87
1938,18.21,23.33,20.71,21.49,7.1,88
1939,19.21,24.33,21.71,22.49,7.2,89
1940,20.21,25.33,22.71,23.49,7,90
1941,21.21,26.33,23.71,24.49,7.1,91
1942,22.21,27.33,24.71,25.49,7.2,92
1943,23.21,28.33,25.71,26.49,7.4,93
1944,24.21,29.33,26.71,27.49,7,94
1945,25.21,30.33,27.71,28.49,7.1,95
1946,26.21,31.33,28.71,29.49,7.2,96
1947,27.21,32.33,29.71,30.49,7.4,97
1948,28.21,33.33,30.71,31.49,7,98
1949,29.21,34.33,31.71,32.49,7.1,99
1950,30.21,35.33,32.71,33.49,7.2,100
1951,31.21,36.33,33.71,34.49,7.4,101
1952,32.21,37.33,34.71,35.49,7,102
1953,33.21,38.33,35.71,36.49,7.1,103
1954,34.21,39.33,36.71,37.49,7,104
1955,35.21,40.33,37.71,38.49,7.1,105
1956,36.21,41.33,38.71,39.49,7.2,106
1957,37.21,42.33,39.71,40.49,7.4,107
1958,38.21,43.33,40.71,41.49,7,108
1959,39.21,44.33,41.71,42.49,7.1,109
1960,40.21,45.33,42.71,43.49,7.2,110
1961,41.21,46.33,43.71,44.49,7.4,111
1962,42.21,47.33,44.71,45.49,7,112
1963,43.21,48.33,45.71,46.49,7.1,113
1964,44.21,49.33,46.71,47.49,7.2,114
1965,45.21,50.33,47.71,48.49,7.4,115
1966,46.21,51.33,48.71,49.49,7,116
1967,47.21,52.33,49.71,50.49,7.1,117
1968,48.21,53.33,50.71,51.49,7.2,118
1969,49.21,54.33,51.71,52.49,7,119
1970,50.21,55.33,52.71,53.49,7.1,120
1971,51.21,56.33,53.71,54.49,7.2,121
1972,52.21,57.33,54.71,55.49,7.4,122
1973,53.21,58.33,55.71,56.49,7,123
1974,54.21,59.33,56.71,57.49,7.1,124
1975,55.21,60.33,57.71,58.49,7.2,125
1976,56.21,61.33,58.71,59.49,7.4,126
1977,57.21,62.33,59.71,60.49,7,127
1978,58.21,63.33,60.71,61.49,7.1,128
1979,59.21,64.33,61.71,62.49,7.2,129
1980,60.21,65.33,62.71,63.49,7,130
1981,61.21,66.33,63.71,64.49,7.1,131
1982,62.21,67.33,64.71,65.49,7.2,132
1983,63.21,68.33,65.71,66.49,7.4,133
1984,64.21,69.33,66.71,67.49,7,134
1985,65.21,70.33,67.71,68.49,7.1,135
1986,66.21,71.33,68.71,69.49,7.2,136
1987,67.21,72.33,69.71,70.49,7.4,137
1988,68.21,73.33,70.71,71.49,7,138
1989,69.21,74.33,71.71,72.49,7.1,139
1990,70.21,75.33,72.71,73.49,7.2,140
1991,71.21,76.33,73.71,74.49,7.4,141
1992,72.21,77.33,74.71,75.49,7,142
1993,73.21,78.33,75.71,76.49,7.1,143
1994,74.21,79.33,76.71,77.49,7.2,144
1995,75.21,80.33,77.71,78.49,7,145
1996,76.21,81.33,78.71,79.49,7.1,146
1997,77.21,82.33,79.71,80.49,7.2,147
1998,78.21,83.33,80.71,81.49,7.4,148
1999,79.21,84.33,81.71,82.49,7,149
2000,80.21,85.33,82.71,83.49,7.1,150
2001,81.21,86.33,83.71,84.49,7.2,151
2002,82.21,87.33,84.71,85.49,7.4,152
2003,83.21,88.33,85.71,86.49,7,153
2004,84.21,89.33,86.71,87.49,7.1,154
2005,85.21,90.33,87.71,88.49,7.2,155
2006,86.21,91.33,88.71,89.49,7.4,156
2007,87.21,92.33,89.71,90.49,7,157
2008,88.21,93.33,90.71,91.49,7.1,158
2009,89.21,94.33,91.71,92.49,7,159
2010,90.21,95.33,92.71,93.49,7.1,160
2011,91.21,96.33,93.71,94.49,7.2,161
2012,92.21,97.33,94.71,95.49,7.4,162
2013,93.21,98.33,95.71,96.49,7,163
2014,94.21,99.33,96.71,97.49,7.1,164
2015,95.21,100.33,97.71,98.49,7.2,165
2016,96.21,101.33,98.71,99.49,7.4,166
2017,97.21,102.33,99.71,100.49,7,167
2018,98.21,103.33,100.71,101.49,9,168
2019,99.21,104.33,101.71,102.49,7.1,169
2020,100.21,105.33,102.71,103.49,8.4,170
