Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,4.5,87,0.1,241,2,87
1921,4.7,0.75,0.2,242,3,88
1922,5,0.7,0.3,243,4,89
1923,5.1,0.81,0.4,244,5,90
1924,4.7,0.75,0.2,242,3,88
1925,5,0.7,0.3,243,4,89
1926,5.1,0.81,0.4,244,5,90
1927,4.5,87,0.1,241,2,87
1928,4.7,0.75,0.2,242,3,88
1929,5,0.7,0.3,243,4,89
1930,5.1,0.81,0.4,244,5,90
1931,4.7,0.75,0.2,242,3,88
1932,5,0.7,0.3,243,4,89
1933,4.7,0.75,0.2,242,3,88
1934,5,0.7,0.3,243,4,89
1935,5.1,0.81,0.4,244,5,90
1936,4.7,0.75,0.2,242,3,88
1937,5,0.7,0.3,243,4,89
1938,5.1,0.81,0.4,244,5,90
1939,4.5,87,0.1,241,2,87
1940,4.7,0.75,0.2,242,3,88
1941,5,0.7,0.3,243,4,89
1942,5.1,0.81,0.4,244,5,90
1943,4.7,0.75,0.2,242,3,88
1944,5,0.7,0.3,243,4,89
1945,5.1,0.81,0.4,244,5,90
1946,4.7,0.75,0.2,242,3,88
1947,5,0.7,0.3,243,4,89
1948,5.1,0.81,0.4,244,5,90
1949,4.5,87,0.1,241,2,87
1950,4.7,0.75,0.2,242,3,88
1951,5,0.7,0.3,243,4,89
1952,5.1,0.81,0.4,244,5,90
1953,4.7,0.75,0.2,242,3,88
1954,5,0.7,0.3,243,4,89
1955,4.7,0.75,0.2,242,3,88
1956,5,0.7,0.3,243,4,89
1957,5.1,0.81,0.4,244,5,90
1958,4.7,0.75,0.2,242,3,88
1959,5,0.7,0.3,243,4,89
1960,5.1,0.81,0.4,244,5,90
1961,4.5,87,0.1,241,2,87
1962,4.7,0.75,0.2,242,3,88
1963,5,0.7,0.3,243,4,89
1964,5.1,0.81,0.4,244,5,90
1965,5,0.7,0.3,243,4,89
1966,5.1,0.81,0.4,244,5,90
1967,4.7,0.75,0.2,242,3,88
1968,5,0.7,0.3,243,4,89
1969,5.1,0.81,0.4,244,5,90
1970,4.5,87,0.1,241,2,87
1971,4.7,0.75,0.2,242,3,88
1972,5,0.7,0.3,243,4,89
1973,5.1,0.81,0.4,244,5,90
1974,4.7,0.75,0.2,242,3,88
1975,5,0.7,0.3,243,4,89
1976,4.7,0.75,0.2,242,3,88
1977,5,0.7,0.3,243,4,89
1978,5.1,0.81,0.4,244,5,90
1979,4.7,0.75,0.2,242,3,88
1980,5,0.7,0.3,243,4,89
1981,5.1,0.81,0.4,244,5,90
1982,4.5,87,0.1,241,2,87
1983,4.7,0.75,0.2,242,3,88
1984,5,0.7,0.3,243,4,89
1985,5.1,0.81,0.4,244,5,90
1986,4.7,0.75,0.2,242,3,88
1987,5,0.7,0.3,243,4,89
1988,5.1,0.81,0.4,244,5,90
1989,4.7,0.75,0.2,242,3,88
1990,5,0.7,0.3,243,4,89
1991,5.1,0.81,0.4,244,5,90
1992,4.5,87,0.1,241,2,87
1993,4.7,0.75,0.2,242,3,88
1994,5,0.7,0.3,243,4,89
1995,5.1,0.81,0.4,244,5,90
1996,4.7,0.75,0.2,242,3,88
1997,5,0.7,0.3,243,4,89
1998,4.7,0.75,0.2,242,3,88
1999,5,0.7,0.3,243,4,89
2000,5.1,0.81,0.4,244,5,90
2001,4.7,0.75,0.2,242,3,88
2002,5,0.7,0.3,243,4,89
2003,5.1,0.81,0.4,244,5,90
2004,4.5,87,0.1,241,2,87
2005,4.7,0.75,0.2,242,3,88
2006,5.1,0.81,0.4,244,5,90
2007,4.7,0.75,0.2,242,3,88
2008,5,0.7,0.3,243,4,89
2009,5.1,0.81,0.4,244,5,90
2010,4.5,87,0.1,241,2,87
2011,4.7,0.75,0.2,242,3,88
2012,5,0.7,0.3,243,4,89
2013,5.1,0.81,0.4,244,5,90
2014,4.7,0.75,0.2,242,3,88
2015,5,0.7,0.3,243,4,89
2016,4.7,0.75,0.2,242,3,88
2017,5,0.7,0.3,243,4,89
2018,5.1,0.81,0.4,244,5,90
2019,4.7,0.75,0.2,242,3,88
2020,5,0.7,0.3,243,4,89
