Year,Rainfall,Humidity,Wind,Max Temp,Min Temp,Air Pressure
1920,17606,81,3,28,12,1019
1921,21483,80,3,27,10,1018
1922,18281,81,2,29,11,1018
1923,19546,80,2,30,20,1016
1924,19889,81,3,28,12,1019
1925,19411,80,3,27,10,1018
1926,20138,81,2,29,11,1018
1927,21939,80,3,27,10,1018
1928,17373,81,2,29,11,1018
1929,23097,80,2,30,20,1016
1930,20969,81,3,28,12,1019
1931,17658,80,3,27,10,1018
1932,19266,80,3,27,10,1018
1933,16028,81,2,29,11,1018
1934,22274,80,2,30,20,1016
1935,17183,81,3,28,12,1019
1936,16028,80,3,27,10,1018
1937,23517,81,2,29,11,1018
1938,18463,80,3,27,10,1018
1939,21282,81,2,29,11,1018
1940,18530,80,2,30,20,1016
1941,19182,81,3,28,12,1019
1942,23128,81,3,28,12,1019
1943,20398,80,3,27,10,1018
1944,16886,81,2,29,11,1018
1945,18261,80,3,27,10,1018
1946,18939,81,2,29,11,1018
1947,22268,80,2,30,20,1016
1948,24825,81,3,28,12,1019
1949,21175,80,3,27,10,1018
1950,21197,80,3,27,10,1018
1951,18206,81,2,29,11,1018
1952,21036,80,2,30,20,1016
1953,21810,81,3,28,12,1019
1954,21612,80,3,27,10,1018
1955,21407,81,2,29,11,1018
1956,20036,80,3,27,10,1018
1957,25257,81,2,29,11,1018
1958,16004,80,2,30,20,1016
1959,18425,81,2,29,11,1018
1960,20526,80,3,27,10,1018
1961,19472,81,2,29,11,1018
1962,17964,80,2,30,20,1016
1963,17945,81,3,28,12,1019
1964,19891,80,3,27,10,1018
1965,21520,80,3,27,10,1018
1966,19800,81,2,29,11,1018
1967,20367,80,2,30,20,1016
1968,17591,81,3,28,12,1019
1969,22279,80,3,27,10,1018
1970,17680,81,2,29,11,1018
1971,18980,80,3,27,10,1018
1972,18892,81,2,29,11,1018
1973,14177,80,2,30,20,1016
1974,21965,81,3,28,12,1019
1975,21044,81,3,28,12,1019
1976,19149,80,3,27,10,1018
1977,18654,81,2,29,11,1018
1978,20408,80,3,27,10,1018
1979,17671,81,2,29,11,1018
1980,15889,80,2,30,20,1016
1981,17748,81,3,28,12,1019
1982,14860,80,3,27,10,1018
1983,16422,80,3,27,10,1018
1984,19721,81,2,29,11,1018
1985,16917,80,2,30,20,1016
1986,15997,81,3,28,12,1019
1987,18934,80,3,27,10,1018
1988,18194,81,2,29,11,1018
1989,23816,80,3,27,10,1018
1990,21520,81,2,29,11,1018
1991,21074,80,2,30,20,1016
1992,24150,81,3,28,12,1019
1993,17295,80,3,27,10,1018
1994,23880,80,3,27,10,1018
1995,15385,81,2,29,11,1018
1996,18032,80,2,30,20,1016
1997,17798,81,3,28,12,1019
1998,19769,80,3,27,10,1018
1999,19519,81,2,29,11,1018
2000,18850,80,3,27,10,1018
2001,21287,81,2,29,11,1018
2002,20242,80,2,30,20,1016
2003,20380,81,3,28,12,1019
2004,17067,81,3,28,12,1019
2005,19539,80,3,27,10,1018
2006,14713,81,2,29,11,1018
2007,15264,80,3,27,10,1018
2008,21622,81,2,29,11,1018
2009,14955,80,2,30,20,1016
2010,14665,81,3,28,12,1019
2011,19954,80,3,27,10,1018
2012,14252,80,3,27,10,1018
2013,15112,81,2,29,11,1018
2014,19406,80,2,30,20,1016
2015,14064,81,3,28,12,1019
2016,17051,80,3,27,10,1018
2017,17002,81,2,29,11,1018
2018,14955,80,3,27,10,1018
2019,14665,81,2,29,11,1018
2020,19954,80,2,30,20,1016
