"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,1578,210,480,80,350,210
1921,1489,178,600,70,500,220
1922,1400,180,590,60,510,209
1923,1178,200,500,100,500,270
1924,1578,210,480,80,350,210
1925,1489,178,600,70,500,220
1926,1178,200,500,100,500,270
1927,1578,210,480,80,350,210
1928,1489,178,600,70,500,220
1929,1400,180,590,60,510,209
1930,1689,188,625,98,521,290
1931,1178,200,500,100,500,270
1932,1578,210,480,80,350,210
1933,1489,178,600,70,500,220
1934,1400,180,590,60,510,209
1935,1514,261,460,281,136,410
1936,1639,123,370,110,261,420
1937,1680,208,220,251,265,440
1938,1514,261,215,281,284,470
1939,1556,265,258,200,113,404
1940,1597,284,625,150,107,500
1941,1639,113,460,110,62,501
1942,1680,235,370,70,41,279
1943,1639,123,376,50,89,500
1944,1680,208,625,110,100,501
1945,1514,261,460,281,136,508
1946,1556,265,370,200,62,496
1947,1639,123,370,110,261,500
1948,1680,208,220,251,265,501
1949,1514,261,215,281,284,279
1950,1556,265,258,200,113,500
1951,1597,284,625,150,107,501
1952,1639,113,460,110,62,508
1953,1680,235,370,70,41,496
1954,1680,208,220,251,265,404
1955,1514,261,215,281,284,500
1956,1556,265,258,200,113,501
1957,1597,284,625,150,107,279
1958,1639,113,460,110,62,500
1959,1680,235,370,70,41,501
1960,1639,123,376,50,89,508
1961,1680,208,625,110,100,496
1962,1514,261,460,281,136,410
1963,1639,123,370,110,261,420
1964,1680,208,220,251,265,440
1965,1514,261,215,281,284,470
1966,1556,265,258,200,113,404
1967,1597,284,625,150,107,500
1968,1639,113,460,110,62,501
1969,1680,235,370,70,41,279
1970,1639,123,376,50,89,500
1971,1680,208,625,110,100,501
1972,1514,261,460,281,136,508
1973,1556,265,370,200,62,496
1974,1639,123,370,110,261,500
1975,1680,208,220,251,265,501
1976,1514,261,215,281,284,279
1977,1514,261,215,281,284,470
1978,1556,265,258,200,113,404
1979,1597,284,625,150,107,500
1980,1639,113,460,110,62,501
1981,1680,235,370,70,41,279
1982,1639,123,376,50,89,500
1983,1680,208,625,110,100,501
1984,1514,261,460,281,136,508
1985,1556,265,370,200,62,496
1986,1639,123,370,110,261,500
1987,1680,208,220,251,265,501
1988,1514,261,215,281,284,279
1989,1556,265,258,200,113,500
1990,1597,284,625,150,107,501
1991,1639,113,460,110,62,508
1992,1680,235,370,70,41,496
1993,1680,208,220,251,265,404
1994,1514,261,215,281,284,500
1995,1556,265,258,200,113,501
1996,1639,123,370,110,261,387
1997,1680,208,220,251,265,404
1998,1514,261,215,281,284,500
1999,1556,265,258,200,113,501
2000,1597,284,625,150,107,279
2001,1639,113,460,110,62,500
2002,1680,235,370,70,41,501
2003,1639,123,376,50,89,508
2004,1680,208,625,110,100,496
2005,1514,261,460,281,136,410
2006,1639,123,370,110,261,420
2007,1680,208,220,251,265,440
2008,1556,265,370,200,62,496
2009,1639,123,370,110,261,500
2010,1680,208,220,251,265,501
2011,1514,261,215,281,284,279
2012,1514,261,215,281,284,470
2013,1556,265,258,200,113,404
2014,1597,284,625,150,107,500
2015,1556,265,258,200,113,501
2016,1597,284,625,150,107,279
2017,1639,113,460,110,62,500
2018,1680,235,370,70,41,501
2019,1639,123,376,50,89,508
2020,1680,208,625,110,100,496
