"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
1920,7.5,0.1,0.1,280,10,280
1921,8.5,0.5,1,100,25,350
1922,7.6,0.2,0.1,101,11,270
1923,7.6,0.3,0.2,250,20,450
1924,8.5,0.4,0.3,200,21,500
1925,8.5,0.5,1,100,25,350
1926,7.6,0.2,0.1,101,11,270
1927,7.6,0.3,0.2,250,20,450
1928,8.5,0.4,0.3,200,21,500
1929,8.5,0.5,1,100,25,350
1930,7.6,0.2,0.1,101,11,270
1931,7.6,0.3,0.2,250,20,450
1932,8.5,0.4,0.3,200,21,500
1933,8.5,0.5,1,100,25,350
1934,7.6,0.2,0.1,101,11,270
1935,7.6,0.3,0.2,250,20,450
1936,7.6,0.2,0.1,101,11,270
1937,7.6,0.3,0.2,250,20,450
1938,8.5,0.4,0.3,200,21,500
1939,8.5,0.5,1,100,25,350
1940,7.6,0.2,0.1,101,11,270
1941,7.6,0.3,0.2,250,20,450
1942,8.5,0.4,0.3,200,21,500
1943,8.5,0.5,1,100,25,350
1944,7.6,0.2,0.1,101,11,270
1945,7.6,0.3,0.2,250,20,450
1946,8.5,0.4,0.3,200,21,500
1947,8.5,0.5,1,100,25,350
1948,7.6,0.2,0.1,101,11,270
1949,8.5,0.5,1,100,25,350
1950,7.6,0.2,0.1,101,11,270
1951,7.6,0.3,0.2,250,20,450
1952,8.5,0.4,0.3,200,21,500
1953,8.5,0.5,1,100,25,350
1954,7.6,0.2,0.1,101,11,270
1955,7.6,0.3,0.2,250,20,450
1956,8.5,0.4,0.3,200,21,500
1957,8.5,0.5,1,100,25,350
1958,7.6,0.2,0.1,101,11,270
1959,7.6,0.3,0.2,250,20,450
1960,8.5,0.4,0.3,200,21,500
1961,8.5,0.5,1,100,25,350
1962,7.6,0.2,0.1,101,11,270
1963,7.6,0.3,0.2,250,20,450
1964,7.6,0.2,0.1,101,11,270
1965,7.6,0.3,0.2,250,20,450
1966,8.5,0.4,0.3,200,21,500
1967,8.5,0.5,1,100,25,350
1968,7.6,0.2,0.1,101,11,270
1969,7.6,0.3,0.2,250,20,450
1970,8.5,0.4,0.3,200,21,500
1971,8.5,0.5,1,100,25,350
1972,7.6,0.2,0.1,101,11,270
1973,7.6,0.3,0.2,250,20,450
1974,8.5,0.4,0.3,200,21,500
1975,8.5,0.4,0.3,200,21,500
1976,8.5,0.5,1,100,25,350
1977,7.6,0.2,0.1,101,11,270
1978,7.6,0.3,0.2,250,20,450
1979,8.5,0.4,0.3,200,21,500
1980,8.5,0.5,1,100,25,350
1981,7.6,0.2,0.1,101,11,270
1982,7.6,0.3,0.2,250,20,450
1983,7.6,0.2,0.1,101,11,270
1984,7.6,0.3,0.2,250,20,450
1985,8.5,0.4,0.3,200,21,500
1986,8.5,0.5,1,100,25,350
1987,7.6,0.2,0.1,101,11,270
1988,7.6,0.3,0.2,250,20,450
1989,8.5,0.4,0.3,200,21,500
1990,8.5,0.5,1,100,25,350
1991,7.6,0.2,0.1,101,11,270
1992,7.6,0.3,0.2,250,20,450
1993,8.5,0.4,0.3,200,21,500
1994,8.5,0.5,1,100,25,350
1995,7.6,0.2,0.1,101,11,270
1996,8.5,0.5,1,100,25,350
1997,7.6,0.2,0.1,101,11,270
1998,7.6,0.3,0.2,250,20,450
1999,8.5,0.4,0.3,200,21,500
2000,8.5,0.5,1,100,25,350
2001,7.6,0.2,0.1,101,11,270
2002,7.6,0.3,0.2,250,20,450
2003,8.5,0.4,0.3,200,21,500
2004,8.5,0.5,1,100,25,350
2005,7.6,0.2,0.1,101,11,270
2006,7.6,0.3,0.2,250,20,450
2007,8.5,0.4,0.3,200,21,500
2008,8.5,0.5,1,100,25,350
2009,7.6,0.2,0.1,101,11,270
2010,7.6,0.3,0.2,250,20,450
2011,7.6,0.2,0.1,101,11,270
2012,7.6,0.3,0.2,250,20,450
2013,8.5,0.4,0.3,200,21,500
2014,8.5,0.5,1,100,25,350
2015,7.6,0.2,0.1,101,11,270
2016,7.6,0.3,0.2,250,20,450
2017,8.5,0.4,0.3,200,21,500
2018,8.5,0.5,1,100,25,350
2019,7.6,0.2,0.1,101,11,270
2020,8.5,0.4,0.3,200,21,500
