"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
1920,8265,81,8,30,20,1020
1921,10692,80,9,32,23,1019
1922,14604,70,8,28,17,1018
1923,11065,75,9,25,9,1017
1924,11212,80,9,32,23,1019
1925,11166,70,8,28,17,1018
1926,10437,75,9,25,9,1017
1927,10678,80,9,32,23,1019
1928,7776,70,8,28,17,1018
1929,10251,75,9,25,9,1017
1930,11201,80,9,32,23,1019
1931,10819,70,8,28,17,1018
1932,7908,80,9,32,23,1019
1933,9656,70,8,28,17,1018
1934,10747,75,9,25,9,1017
1935,8859,80,9,32,23,1019
1936,15301,70,8,28,17,1018
1937,9655,75,9,25,9,1017
1938,14975,80,9,32,23,1019
1939,9643,70,8,28,17,1018
1940,8829,75,9,25,9,1017
1941,7342,80,9,32,23,1019
1942,10372,70,8,28,17,1018
1943,11500,75,9,25,9,1017
1944,10817,80,9,32,23,1019
1945,10016,70,8,28,17,1018
1946,10764,75,9,25,9,1017
1947,10224,80,9,32,23,1019
1948,13279,70,8,28,17,1018
1949,11814,75,9,25,9,1017
1950,9419,80,9,32,23,1019
1951,7608,70,8,28,17,1018
1952,8980,80,9,32,23,1019
1953,13078,70,8,28,17,1018
1954,9674,75,9,25,9,1017
1955,14305,80,9,32,23,1019
1956,12504,70,8,28,17,1018
1957,9252,75,9,25,9,1017
1958,9862,80,9,32,23,1019
1959,8488,70,8,28,17,1018
1960,11428,75,9,25,9,1017
1961,12419,80,9,32,23,1019
1962,10311,70,8,28,17,1018
1963,9689,75,9,25,9,1017
1964,9984,80,9,32,23,1019
1965,6439,70,8,28,17,1018
1966,7138,75,9,25,9,1017
1967,10265,80,9,32,23,1019
1968,8206,70,8,28,17,1018
1969,10334,80,9,32,23,1019
1970,11803,70,8,28,17,1018
1971,14086,75,9,25,9,1017
1972,7556,80,9,32,23,1019
1973,11409,70,8,28,17,1018
1974,8194,75,9,25,9,1017
1975,11802,80,9,32,23,1019
1976,9360,70,8,28,17,1018
1977,8349,75,9,25,9,1017
1978,10798,80,9,32,23,1019
1979,6030,70,8,28,17,1018
1980,14994,75,9,25,9,1017
1981,11744,80,9,32,23,1019
1982,11607,70,8,28,17,1018
1983,11542,75,9,25,9,1017
1984,11083,80,9,32,23,1019
1985,12096,70,8,28,17,1018
1986,9098,75,9,25,9,1017
1987,7588,80,9,32,23,1019
1988,10104,70,8,28,17,1018
1989,10101,80,9,32,23,1019
1990,11896,70,8,28,17,1018
1991,8505,75,9,25,9,1017
1992,7857,80,9,32,23,1019
1993,8009,70,8,28,17,1018
1994,9277,75,9,25,9,1017
1995,8320,80,9,32,23,1019
1996,9277,75,9,25,9,1017
1997,9866,80,9,32,23,1019
1998,10532,70,8,28,17,1018
1999,10710,75,9,25,9,1017
2000,10133,80,9,32,23,1019
2001,10015,70,8,28,17,1018
2002,7288,75,9,25,9,1017
2003,10632,80,9,32,23,1019
2004,6641,70,8,28,17,1018
2005,8533,75,9,25,9,1017
2006,8623,80,9,32,23,1019
2007,9130,70,8,28,17,1018
2008,12324,75,9,25,9,1017
2009,7990,80,9,32,23,1019
2010,7606,70,8,28,17,1018
2011,8927,75,9,25,9,1017
2012,9199,80,9,32,23,1019
2013,10821,70,8,28,17,1018
2014,7148,80,9,32,23,1019
2015,6189,70,8,28,17,1018
2016,8823,75,9,25,9,1017
2017,8834,80,9,32,23,1019
2018,8927,70,8,28,17,1018
2019,9199,75,9,25,9,1017
2020,10821,80,9,32,23,1019
