Year,Rice(kg/hectare),Jowar,Small Millets,Tur,Gram,Groundnuts,Sessasum,Banana,Sugarcane,Tobacco,Chillies,Ginger,Tumeric,Bajra,Maize,Potato,Wheat,Other Pulses,Barley
1920,2156,1089,678,856,856,830,146,400,89045,2245,8,27,28,1834,1789,253,3123,756,2267
1921,2245,785,850,900,945,1000,212,401,89064,2867,9,28,30,1732,1987,280,2867,890,2056
1922,2245,785,850,900,945,1000,212,401,70678,2867,9,28,30,1732,1987,280,2867,890,2056
1923,2467,1023,1245,910,1117,810,180,420,78057,2901,8,31,27,2167,2156,256,2389,923,2485
1924,2245,785,850,900,945,1000,212,401,67009,2867,9,28,30,1732,1987,280,2867,890,2056
1925,2467,1023,1245,910,1117,810,180,420,78000,2901,8,31,27,2167,2156,256,2389,923,2485
1926,2180,1254,900,993,1000,780,170,450,89000,2980,9,20,30,2256,1622,200,2280,900,2834
1927,2083,884,667,662,823,670,102,419,95000,2295,10,24,30,1632,1465,248,2483,834,2145
1928,2156,1089,678,856,856,830,146,400,95517,2245,8,27,28,1834,1789,253,3123,756,2267
1929,2245,785,850,900,945,1000,212,401,101165,2867,9,28,30,1732,1987,280,2867,890,2056
1930,2245,785,850,900,945,1000,212,401,95241,2867,9,28,30,1732,1987,280,2867,890,2056
1931,2467,1023,1245,910,1117,810,180,420,100253,2901,8,31,27,2167,2156,256,2389,923,2485
1932,2180,1254,900,993,1000,780,170,450,98765,2980,9,20,30,2256,1622,200,2280,900,2834
1933,2083,884,667,662,823,670,102,419,99856,2295,10,24,30,1632,1465,248,2483,834,2145
1934,2156,1089,678,856,856,830,146,400,88935,2245,8,27,28,1834,1789,253,3123,756,2267
1935,2245,785,850,900,945,1000,212,401,120157,2867,9,28,30,1732,1987,280,2867,890,2056
1936,2467,1023,1245,910,1117,810,180,420,98765,2901,8,31,27,2167,2156,256,2389,923,2485
1937,2180,1254,900,993,1000,780,170,450,99856,2980,9,20,30,2256,1622,200,2280,900,2834
1938,2083,884,667,662,823,670,102,419,88935,2295,10,24,30,1632,1465,248,2483,834,2145
