"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
1920,0.19,43.43,10.23,10.92,7.7,1800
1921,0.18,53.23,10.34,10.6,8.1,2000
1922,0.17,40.17,10.45,10.7,8,2000
1923,0.16,38.15,10.2,10.9,8.2,1500
1924,0.11,37.13,10.1,10.94,7.4,2500
1925,0.18,53.23,10.34,10.6,8.1,2000
1926,0.17,40.17,10.45,10.7,8,2000
1927,0.16,38.15,10.2,10.9,8.2,1500
1928,0.18,53.23,10.34,10.6,8.1,2000
1929,0.17,40.17,10.45,10.7,8,2000
1930,0.16,38.15,10.2,10.9,8.2,1500
1931,0.11,37.13,10.1,10.94,7.4,2500
1932,0.18,53.23,10.34,10.6,8.1,2000
1933,0.17,40.17,10.45,10.7,8,2000
1934,0.16,38.15,10.2,10.9,8.2,1500
1935,0.17,40.17,10.45,10.7,8,2000
1936,0.16,38.15,10.2,10.9,8.2,1500
1937,0.11,37.13,10.1,10.94,7.4,2500
1938,0.18,53.23,10.34,10.6,8.1,2000
1939,0.17,40.17,10.45,10.7,8,2000
1940,0.16,38.15,10.2,10.9,8.2,1500
1941,0.18,53.23,10.34,10.6,8.1,2000
1942,0.17,40.17,10.45,10.7,8,2000
1943,0.16,38.15,10.2,10.9,8.2,1500
1944,0.11,37.13,10.1,10.94,7.4,2500
1945,0.18,53.23,10.34,10.6,8.1,2000
1946,0.17,40.17,10.45,10.7,8,2000
1947,0.11,37.13,10.1,10.94,7.4,2500
1948,0.18,53.23,10.34,10.6,8.1,2000
1949,0.17,40.17,10.45,10.7,8,2000
1950,0.16,38.15,10.2,10.9,8.2,1500
1951,0.18,53.23,10.34,10.6,8.1,2000
1952,0.17,40.17,10.45,10.7,8,2000
1953,0.16,38.15,10.2,10.9,8.2,1500
1954,0.11,37.13,10.1,10.94,7.4,2500
1955,0.18,53.23,10.34,10.6,8.1,2000
1956,0.17,40.17,10.45,10.7,8,2000
1957,0.16,38.15,10.2,10.9,8.2,1500
1958,0.17,40.17,10.45,10.7,8,2000
1959,0.16,38.15,10.2,10.9,8.2,1500
1960,0.11,37.13,10.1,10.94,7.4,2500
1961,0.18,53.23,10.34,10.6,8.1,2000
1962,0.17,40.17,10.45,10.7,8,2000
1963,0.16,38.15,10.2,10.9,8.2,1500
1964,0.18,53.23,10.34,10.6,8.1,2000
1965,0.17,40.17,10.45,10.7,8,2000
1966,0.16,38.15,10.2,10.9,8.2,1500
1967,0.11,37.13,10.1,10.94,7.4,2500
1968,0.18,53.23,10.34,10.6,8.1,2000
1969,0.17,40.17,10.45,10.7,8,2000
1970,0.16,38.15,10.2,10.9,8.2,1500
1971,0.18,53.23,10.34,10.6,8.1,2000
1972,0.17,40.17,10.45,10.7,8,2000
1973,0.16,38.15,10.2,10.9,8.2,1500
1974,0.11,37.13,10.1,10.94,7.4,2500
1975,0.18,53.23,10.34,10.6,8.1,2000
1976,0.17,40.17,10.45,10.7,8,2000
1977,0.16,38.15,10.2,10.9,8.2,1500
1978,0.17,40.17,10.45,10.7,8,2000
1979,0.16,38.15,10.2,10.9,8.2,1500
1980,0.11,37.13,10.1,10.94,7.4,2500
1981,0.18,53.23,10.34,10.6,8.1,2000
1982,0.17,40.17,10.45,10.7,8,2000
1983,0.16,38.15,10.2,10.9,8.2,1500
1984,0.18,53.23,10.34,10.6,8.1,2000
1985,0.17,40.17,10.45,10.7,8,2000
1986,0.16,38.15,10.2,10.9,8.2,1500
1987,0.11,37.13,10.1,10.94,7.4,2500
1988,0.18,53.23,10.34,10.6,8.1,2000
1989,0.17,40.17,10.45,10.7,8,2000
1990,0.11,37.13,10.1,10.94,7.4,2500
1991,0.18,53.23,10.34,10.6,8.1,2000
1992,0.17,40.17,10.45,10.7,8,2000
1993,0.16,38.15,10.2,10.9,8.2,1500
1994,0.18,53.23,10.34,10.6,8.1,2000
1995,0.17,40.17,10.45,10.7,8,2000
1996,0.16,38.15,10.2,10.9,8.2,1500
1997,0.16,38.15,10.2,10.9,8.2,1500
1998,0.11,37.13,10.1,10.94,7.4,2500
1999,0.18,53.23,10.34,10.6,8.1,2000
2000,0.17,40.17,10.45,10.7,8,2000
2001,0.16,38.15,10.2,10.9,8.2,1500
2002,0.18,53.23,10.34,10.6,8.1,2000
2003,0.17,40.17,10.45,10.7,8,2000
2004,0.16,38.15,10.2,10.9,8.2,1500
2005,0.11,37.13,10.1,10.94,7.4,2500
2006,0.18,53.23,10.34,10.6,8.1,2000
2007,0.17,40.17,10.45,10.7,8,2000
2008,0.16,38.15,10.2,10.9,8.2,1500
2009,0.17,40.17,10.45,10.7,8,2000
2010,0.16,38.15,10.2,10.9,8.2,1500
2011,0.11,37.13,10.1,10.94,7.4,2500
2012,0.18,53.23,10.34,10.6,8.1,2000
2013,0.17,40.17,10.45,10.7,8,2000
2014,0.16,38.15,10.2,10.9,8.2,1500
2015,0.18,53.23,10.34,10.6,8.1,2000
2016,0.17,40.17,10.45,10.7,8,2000
2017,0.16,38.15,10.2,10.9,8.2,1500
2018,0.11,37.13,10.1,10.94,7.4,2500
2019,0.18,53.23,10.34,10.6,8.1,2000
2020,0.17,40.17,10.45,10.7,8,2000
