"Year","MALATHION(QTY)(kg)","DIMETHOATE(QTY)(kg)","D.D.V.P.(QTY)(kg)","COPPER OXYCHLORIDE(QTY)(kg)","CARBARYL(QTY)(kg)","CARBOSULPHAN(QTY)(kg)"
1920,18235,14048,14482,15323,16188,18235
1921,11235,12345,13890,15002,16670,17893
1922,12345,11567,12789,15007,15890,15678
1923,14567,10345,14000,14890,14678,14890
1924,11235,12345,13890,15002,16670,17893
1925,12345,11567,12789,15007,15890,15678
1926,14567,10345,14000,14890,14678,14890
1927,11235,12345,13890,15002,16670,17893
1928,12345,11567,12789,15007,15890,15678
1929,14567,10345,14000,14890,14678,14890
1930,11235,12345,13890,15002,16670,17893
1931,12345,11567,12789,15007,15890,15678
1932,14567,10345,14000,14890,14678,14890
1933,11235,12345,13890,15002,16670,17893
1934,12345,11567,12789,15007,15890,15678
1935,14567,10345,14000,14890,14678,14890
1936,11235,12345,13890,15002,16670,17893
1937,12345,11567,12789,15007,15890,15678
1938,14567,10345,14000,14890,14678,14890
1939,11235,12345,13890,15002,16670,17893
1940,12345,11567,12789,15007,15890,15678
1941,14567,10345,14000,14890,14678,14890
1942,11235,12345,13890,15002,16670,17893
1943,12345,11567,12789,15007,15890,15678
1944,12345,11567,12789,15007,15890,15678
1945,14567,10345,14000,14890,14678,14890
1946,11235,12345,13890,15002,16670,17893
1947,12345,11567,12789,15007,15890,15678
1948,14567,10345,14000,14890,14678,14890
1949,11235,12345,13890,15002,16670,17893
1950,12345,11567,12789,15007,15890,15678
1951,14567,10345,14000,14890,14678,14890
1952,11235,12345,13890,15002,16670,17893
1953,12345,11567,12789,15007,15890,15678
1954,14567,10345,14000,14890,14678,14890
1955,11235,12345,13890,15002,16670,17893
1956,12345,11567,12789,15007,15890,15678
1957,14567,10345,14000,14890,14678,14890
1958,11235,12345,13890,15002,16670,17893
1959,12345,11567,12789,15007,15890,15678
1960,14567,10345,14000,14890,14678,14890
1961,11235,12345,13890,15002,16670,17893
1962,12345,11567,12789,15007,15890,15678
1963,11235,12345,13890,15002,16670,17893
1964,12345,11567,12789,15007,15890,15678
1965,14567,10345,14000,14890,14678,14890
1966,11235,12345,13890,15002,16670,17893
1967,12345,11567,12789,15007,15890,15678
1968,14567,10345,14000,14890,14678,14890
1969,11235,12345,13890,15002,16670,17893
1970,12345,11567,12789,15007,15890,15678
1971,14567,10345,14000,14890,14678,14890
1972,11235,12345,13890,15002,16670,17893
1973,12345,11567,12789,15007,15890,15678
1974,14567,10345,14000,14890,14678,14890
1975,11235,12345,13890,15002,16670,17893
1976,12345,11567,12789,15007,15890,15678
1977,14567,10345,14000,14890,14678,14890
1978,11235,12345,13890,15002,16670,17893
1979,12345,11567,12789,15007,15890,15678
1980,14567,10345,14000,14890,14678,14890
1981,11235,12345,13890,15002,16670,17893
1982,12345,11567,12789,15007,15890,15678
1983,14567,10345,14000,14890,14678,14890
1984,11235,12345,13890,15002,16670,17893
1985,12345,11567,12789,15007,15890,15678
1986,12345,11567,12789,15007,15890,15678
1987,14567,10345,14000,14890,14678,14890
1988,11235,12345,13890,15002,16670,17893
1989,12345,11567,12789,15007,15890,15678
1990,14567,10345,14000,14890,14678,14890
1991,11235,12345,13890,15002,16670,17893
1992,12345,11567,12789,15007,15890,15678
1993,14567,10345,14000,14890,14678,14890
1994,11235,12345,13890,15002,16670,17893
1995,14567,10345,14000,14890,14678,14890
1996,11235,12345,13890,15002,16670,17893
1997,12345,11567,12789,15007,15890,15678
1998,14567,10345,14000,14890,14678,14890
1999,11235,12345,13890,15002,16670,17893
2000,12345,11567,12789,15007,15890,15678
2001,14567,10345,14000,14890,14678,14890
2002,11235,12345,13890,15002,16670,17893
2003,12345,11567,12789,15007,15890,15678
2004,14567,10345,14000,14890,14678,14890
2005,11235,12345,13890,15002,16670,17893
2006,12345,11567,12789,15007,15890,15678
2007,14567,10345,14000,14890,14678,14890
2008,11235,12345,13890,15002,16670,17893
2009,12345,11567,12789,15007,15890,15678
2010,14567,10345,14000,14890,14678,14890
2011,11235,12345,13890,15002,16670,17893
2012,12345,11567,12789,15007,15890,15678
2013,12345,11567,12789,15007,15890,15678
2014,14567,10345,14000,14890,14678,14890
2015,11235,12345,13890,15002,16670,17893
2016,12345,11567,12789,15007,15890,15678
2017,14567,10345,14000,14890,14678,14890
2018,11235,12345,13890,15002,16670,17893
2019,12345,11567,12789,15007,15890,15678
2020,14567,10345,14000,14890,14678,14890
