"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
1920,0.83,14.6,7.8,7.77,7.25,262
1921,0.81,10.2,7.7,8.77,7,1535
1922,0.82,11.5,7.6,9.77,7.12,345
1923,0.8,13.6,7.5,10.77,7.34,346
1924,0.84,12.5,7.9,9.7,7.8,347
1925,0.82,11.1,7.5,9.9,7.1,348
1926,0.79,12.5,7.7,10.34,7.13,1508
1927,0.82,11.5,7.6,9.77,7.12,345
1928,0.8,13.6,7.5,10.77,7.34,346
1929,0.84,12.5,7.9,9.7,7.8,347
1930,0.82,11.1,7.5,9.9,7.1,348
1931,0.79,12.5,7.7,10.34,7.13,1508
1932,0.81,10.2,7.7,8.77,7,1535
1933,0.82,11.5,7.6,9.77,7.12,345
1934,0.8,13.6,7.5,10.77,7.34,346
1935,0.84,12.5,7.9,9.7,7.8,347
1936,0.82,11.1,7.5,9.9,7.1,348
1937,0.79,12.5,7.7,10.34,7.13,1508
1938,0.82,11.5,7.6,9.77,7.12,345
1939,0.8,13.6,7.5,10.77,7.34,346
1940,0.84,12.5,7.9,9.7,7.8,347
1941,0.8,13.6,7.5,10.77,7.34,346
1942,0.84,12.5,7.9,9.7,7.8,347
1943,0.82,11.1,7.5,9.9,7.1,348
1944,0.79,12.5,7.7,10.34,7.13,1508
1945,0.82,11.5,7.6,9.77,7.12,345
1946,0.8,13.6,7.5,10.77,7.34,346
1947,0.84,12.5,7.9,9.7,7.8,347
1948,0.82,11.1,7.5,9.9,7.1,348
1949,0.79,12.5,7.7,10.34,7.13,1508
1950,0.81,10.2,7.7,8.77,7,1535
1951,0.82,11.5,7.6,9.77,7.12,345
1952,0.8,13.6,7.5,10.77,7.34,346
1953,0.84,12.5,7.9,9.7,7.8,347
1954,0.82,11.1,7.5,9.9,7.1,348
1955,0.79,12.5,7.7,10.34,7.13,1508
1956,0.82,11.5,7.6,9.77,7.12,345
1957,0.8,13.6,7.5,10.77,7.34,346
1958,0.81,10.2,7.7,8.77,7,1535
1959,0.82,11.5,7.6,9.77,7.12,345
1960,0.8,13.6,7.5,10.77,7.34,346
1961,0.84,12.5,7.9,9.7,7.8,347
1962,0.82,11.1,7.5,9.9,7.1,348
1963,0.79,12.5,7.7,10.34,7.13,1508
1964,0.82,11.5,7.6,9.77,7.12,345
1965,0.8,13.6,7.5,10.77,7.34,346
1966,0.84,12.5,7.9,9.7,7.8,347
1967,0.82,11.1,7.5,9.9,7.1,348
1968,0.79,12.5,7.7,10.34,7.13,1508
1969,0.81,10.2,7.7,8.77,7,1535
1970,0.82,11.5,7.6,9.77,7.12,345
1971,0.8,13.6,7.5,10.77,7.34,346
1972,0.84,12.5,7.9,9.7,7.8,347
1973,0.82,11.1,7.5,9.9,7.1,348
1974,0.79,12.5,7.7,10.34,7.13,1508
1975,0.82,11.5,7.6,9.77,7.12,345
1976,0.8,13.6,7.5,10.77,7.34,346
1977,0.84,12.5,7.9,9.7,7.8,347
1978,0.8,13.6,7.5,10.77,7.34,346
1979,0.84,12.5,7.9,9.7,7.8,347
1980,0.82,11.1,7.5,9.9,7.1,348
1981,0.79,12.5,7.7,10.34,7.13,1508
1982,0.82,11.5,7.6,9.77,7.12,345
1983,0.8,13.6,7.5,10.77,7.34,346
1984,0.84,12.5,7.9,9.7,7.8,347
1985,0.82,11.1,7.5,9.9,7.1,348
1986,0.79,12.5,7.7,10.34,7.13,1508
1987,0.81,10.2,7.7,8.77,7,1535
1988,0.82,11.5,7.6,9.77,7.12,345
1989,0.82,11.5,7.6,9.77,7.12,345
1990,0.8,13.6,7.5,10.77,7.34,346
1991,0.84,12.5,7.9,9.7,7.8,347
1992,0.82,11.1,7.5,9.9,7.1,348
1993,0.79,12.5,7.7,10.34,7.13,1508
1994,0.82,11.5,7.6,9.77,7.12,345
1995,0.8,13.6,7.5,10.77,7.34,346
1996,0.84,12.5,7.9,9.7,7.8,347
1997,0.82,11.1,7.5,9.9,7.1,348
1998,0.79,12.5,7.7,10.34,7.13,1508
1999,0.81,10.2,7.7,8.77,7,1535
2000,0.82,11.5,7.6,9.77,7.12,345
2001,0.8,13.6,7.5,10.77,7.34,346
2002,0.84,12.5,7.9,9.7,7.8,347
2003,0.82,11.1,7.5,9.9,7.1,348
2004,0.79,12.5,7.7,10.34,7.13,1508
2005,0.82,11.5,7.6,9.77,7.12,345
2006,0.8,13.6,7.5,10.77,7.34,346
2007,0.84,12.5,7.9,9.7,7.8,347
2008,0.8,13.6,7.5,10.77,7.34,346
2009,0.84,12.5,7.9,9.7,7.8,347
2010,0.82,11.1,7.5,9.9,7.1,348
2011,0.79,12.5,7.7,10.34,7.13,1508
2012,0.82,11.5,7.6,9.77,7.12,345
2013,0.8,13.6,7.5,10.77,7.34,346
2014,0.84,12.5,7.9,9.7,7.8,347
2015,0.82,11.1,7.5,9.9,7.1,348
2016,0.79,12.5,7.7,10.34,7.13,1508
2017,0.81,10.2,7.7,8.77,7,1535
2018,0.82,11.5,7.6,9.77,7.12,345
2019,0.8,13.6,7.5,10.77,7.34,346
2020,0.84,12.5,7.9,9.7,7.8,347
