"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
1920,6,0.5,1,280,25,110
1921,8,0.6,0.5,278,26,115
1922,7,0.8,0.3,277,27,271
1923,6,0.7,0.2,270,25,150
1924,6,0.8,0.9,271,27,170
1925,7,0.8,0.3,277,27,271
1926,6,0.7,0.2,270,25,150
1927,8,0.6,0.5,278,26,115
1928,7,0.8,0.3,277,27,271
1929,6,0.7,0.2,270,25,150
1930,6,0.8,0.9,271,27,170
1931,7,0.8,0.3,277,27,271
1932,6,0.5,1,280,25,110
1933,8,0.6,0.5,278,26,115
1934,7,0.8,0.3,277,27,271
1935,6,0.7,0.2,270,25,150
1936,6,0.8,0.9,271,27,170
1937,7,0.8,0.3,277,27,271
1938,6,0.7,0.2,270,25,150
1939,8,0.6,0.5,278,26,115
1940,7,0.8,0.3,277,27,271
1941,6,0.7,0.2,270,25,150
1942,6,0.8,0.9,271,27,170
1943,6,0.7,0.2,270,25,150
1944,6,0.8,0.9,271,27,170
1945,7,0.8,0.3,277,27,271
1946,6,0.7,0.2,270,25,150
1947,8,0.6,0.5,278,26,115
1948,7,0.8,0.3,277,27,271
1949,6,0.7,0.2,270,25,150
1950,6,0.8,0.9,271,27,170
1951,7,0.8,0.3,277,27,271
1952,6,0.5,1,280,25,110
1953,8,0.6,0.5,278,26,115
1954,7,0.8,0.3,277,27,271
1955,6,0.7,0.2,270,25,150
1956,6,0.8,0.9,271,27,170
1957,7,0.8,0.3,277,27,271
1958,6,0.7,0.2,270,25,150
1959,8,0.6,0.5,278,26,115
1960,7,0.8,0.3,277,27,271
1961,8,0.6,0.5,278,26,115
1962,7,0.8,0.3,277,27,271
1963,6,0.7,0.2,270,25,150
1964,6,0.8,0.9,271,27,170
1965,7,0.8,0.3,277,27,271
1966,6,0.7,0.2,270,25,150
1967,8,0.6,0.5,278,26,115
1968,7,0.8,0.3,277,27,271
1969,6,0.7,0.2,270,25,150
1970,6,0.8,0.9,271,27,170
1971,7,0.8,0.3,277,27,271
1972,6,0.5,1,280,25,110
1973,8,0.6,0.5,278,26,115
1974,7,0.8,0.3,277,27,271
1975,6,0.7,0.2,270,25,150
1976,6,0.8,0.9,271,27,170
1977,7,0.8,0.3,277,27,271
1978,6,0.7,0.2,270,25,150
1979,8,0.6,0.5,278,26,115
1980,7,0.8,0.3,277,27,271
1981,6,0.7,0.2,270,25,150
1982,6,0.8,0.9,271,27,170
1983,6,0.7,0.2,270,25,150
1984,6,0.8,0.9,271,27,170
1985,7,0.8,0.3,277,27,271
1986,6,0.7,0.2,270,25,150
1987,8,0.6,0.5,278,26,115
1988,7,0.8,0.3,277,27,271
1989,6,0.7,0.2,270,25,150
1990,6,0.8,0.9,271,27,170
1991,7,0.8,0.3,277,27,271
1992,6,0.5,1,280,25,110
1993,8,0.6,0.5,278,26,115
1994,7,0.8,0.3,277,27,271
1995,6,0.7,0.2,270,25,150
1996,6,0.8,0.9,271,27,170
1997,7,0.8,0.3,277,27,271
1998,6,0.7,0.2,270,25,150
1999,8,0.6,0.5,278,26,115
2000,7,0.8,0.3,277,27,271
2001,6,0.7,0.2,270,25,150
2002,6,0.8,0.9,271,27,170
2003,7,0.8,0.3,277,27,271
2004,6,0.7,0.2,270,25,150
2005,8,0.6,0.5,278,26,115
2006,7,0.8,0.3,277,27,271
2007,6,0.7,0.2,270,25,150
2008,6,0.8,0.9,271,27,170
2009,7,0.8,0.3,277,27,271
2010,6,0.5,1,280,25,110
2011,8,0.6,0.5,278,26,115
2012,7,0.8,0.3,277,27,271
2013,6,0.7,0.2,270,25,150
2014,6,0.8,0.9,271,27,170
2015,7,0.8,0.3,277,27,271
2016,6,0.7,0.2,270,25,150
2017,8,0.6,0.5,278,26,115
2018,7,0.8,0.3,277,27,271
2019,6,0.7,0.2,270,25,150
2020,6,0.8,0.9,271,27,170
