"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
1920,170809,43,5,17,7,1022
1921,170810,40,7,22,13,1019
1922,170811,41,6,25,12,1017
1923,170812,42,5,23,11,1020
1924,170813,40,7,22,13,1019
1925,170814,41,6,25,12,1017
1926,170815,42,5,23,11,1020
1927,170816,40,7,22,13,1019
1928,170817,41,6,25,12,1017
1929,170818,42,5,23,11,1020
1930,170819,40,7,22,13,1019
1931,170820,41,6,25,12,1017
1932,170821,41,6,25,12,1017
1933,170822,42,5,23,11,1020
1934,170823,40,7,22,13,1019
1935,170824,41,6,25,12,1017
1936,170825,42,5,23,11,1020
1937,170826,40,7,22,13,1019
1938,170827,41,6,25,12,1017
1939,170828,42,5,23,11,1020
1940,170829,40,7,22,13,1019
1941,170830,41,6,25,12,1017
1942,170831,42,5,23,11,1020
1943,170832,40,7,22,13,1019
1944,170833,41,6,25,12,1017
1945,170834,42,5,23,11,1020
1946,320123,40,7,22,13,1019
1947,320123,41,6,25,12,1017
1948,320123,42,5,23,11,1020
1949,320123,40,7,22,13,1019
1950,320123,41,6,25,12,1017
1951,320123,41,6,25,12,1017
1952,320123,42,5,23,11,1020
1953,320123,40,7,22,13,1019
1954,320123,41,6,25,12,1017
1955,320123,42,5,23,11,1020
1956,320123,40,7,22,13,1019
1957,320123,42,5,23,11,1020
1958,320123,40,7,22,13,1019
1959,320123,41,6,25,12,1017
1960,240143,42,5,23,11,1020
1961,240144,40,7,22,13,1019
1962,240145,41,6,25,12,1017
1963,240146,42,5,23,11,1020
1964,240147,40,7,22,13,1019
1965,240148,41,6,25,12,1017
1966,240149,41,6,25,12,1017
1967,240150,42,5,23,11,1020
1968,240151,40,7,22,13,1019
1969,240152,41,6,25,12,1017
1970,240153,42,5,23,11,1020
1971,240154,40,7,22,13,1019
1972,240155,41,6,25,12,1017
1973,240156,42,5,23,11,1020
1974,240157,40,7,22,13,1019
1975,240158,41,6,25,12,1017
1976,240159,42,5,23,11,1020
1977,240160,40,7,22,13,1019
1978,240161,41,6,25,12,1017
1979,240162,42,5,23,11,1020
1980,240163,40,7,22,13,1019
1981,240164,41,6,25,12,1017
1982,170826,42,5,23,11,1020
1983,170827,40,7,22,13,1019
1984,170828,41,6,25,12,1017
1985,170829,41,6,25,12,1017
1986,170830,42,5,23,11,1020
1987,170831,40,7,22,13,1019
1988,170832,41,6,25,12,1017
1989,170833,42,5,23,11,1020
1990,170834,40,7,22,13,1019
1991,320123,41,6,25,12,1017
1992,320123,42,5,23,11,1020
1993,320123,40,7,22,13,1019
1994,320123,41,6,25,12,1017
1995,320123,42,5,23,11,1020
1996,320123,40,7,22,13,1019
1997,320123,41,6,25,12,1017
1998,320123,41,6,25,12,1017
1999,320123,42,5,23,11,1020
2000,320123,40,7,22,13,1019
2001,320123,41,6,25,12,1017
2002,320123,42,5,23,11,1020
2003,320123,40,7,22,13,1019
2004,320123,41,6,25,12,1017
2005,240143,42,5,23,11,1020
2006,320123,40,7,22,13,1019
2007,320123,41,6,25,12,1017
2008,320123,42,5,23,11,1020
2009,320123,40,7,22,13,1019
2010,320123,41,6,25,12,1017
2011,320123,42,5,23,11,1020
2012,240143,40,7,22,13,1019
2013,240144,41,6,25,12,1017
2014,240145,42,5,23,11,1020
2015,240146,40,7,22,13,1019
2016,240147,41,6,25,12,1017
2017,240148,41,6,25,12,1017
2018,240149,42,5,23,11,1020
2019,240150,40,7,22,13,1019
2020,240151,41,6,25,12,1017
