"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,215,120,500,57,378,780
1921,216,121,501,58,379,781
1922,217,122,502,59,380,782
1923,218,123,503,60,381,783
1924,219,124,504,61,382,784
1925,220,125,505,62,383,785
1926,221,126,506,63,384,786
1927,222,127,507,64,385,787
1928,223,128,508,65,386,788
1929,224,129,509,66,387,789
1930,225,130,510,67,388,790
1931,226,131,511,68,389,791
1932,227,132,512,69,390,792
1933,228,133,513,70,391,793
1934,229,134,514,71,392,794
1935,230,135,515,72,393,795
1936,231,136,516,73,394,796
1937,232,137,517,74,395,797
1938,233,138,518,75,396,798
1939,234,139,519,76,397,799
1940,235,140,520,77,398,800
1941,236,141,521,78,399,801
1942,237,142,522,79,400,802
1943,238,143,523,80,401,803
1944,239,144,524,81,402,804
1945,240,145,525,82,403,805
1946,241,146,526,83,404,806
1947,242,147,527,84,405,807
1948,243,148,528,85,406,808
1949,244,149,529,86,407,809
1950,245,150,530,87,408,810
1951,246,151,531,88,409,811
1952,247,152,532,89,410,812
1953,248,153,533,90,411,813
1954,249,154,534,91,412,814
1955,250,155,535,92,413,815
1956,251,156,536,93,414,816
1957,252,157,537,94,415,817
1958,253,158,538,95,416,818
1959,254,159,539,96,417,819
1960,255,160,540,97,418,820
1961,256,161,541,98,419,821
1962,257,162,542,99,420,822
1963,258,163,543,100,421,823
1964,259,164,544,101,422,824
1965,260,165,545,102,423,825
1966,261,166,546,103,424,826
1967,262,167,547,104,425,827
1968,263,168,548,105,426,828
1969,264,169,549,106,427,829
1970,265,170,550,107,428,830
1971,266,171,551,108,429,831
1972,267,172,552,109,430,832
1973,268,173,553,110,431,833
1974,269,174,554,111,432,834
1975,270,175,555,112,433,835
1976,271,176,556,113,434,836
1977,272,177,557,114,435,837
1978,273,178,558,115,436,838
1979,274,179,559,116,437,839
1980,275,180,560,117,438,840
1981,276,181,561,118,439,841
1982,277,182,562,119,440,842
1983,278,183,563,120,441,843
1984,279,184,564,121,442,844
1985,280,185,565,122,443,845
1986,281,186,566,123,444,846
1987,282,187,567,124,445,847
1988,283,188,568,125,446,848
1989,284,189,569,126,447,849
1990,285,190,570,127,448,850
1991,286,191,571,128,449,851
1992,287,192,572,129,450,852
1993,288,193,573,130,451,853
1994,289,194,574,131,452,854
1995,290,195,575,132,453,855
1996,291,196,576,133,454,856
1997,292,197,577,134,455,857
1998,293,198,578,135,456,858
1999,294,199,579,136,457,859
2000,295,200,580,137,458,860
2001,296,201,581,138,459,861
2002,297,202,582,139,460,862
2003,298,203,583,140,461,863
2004,299,204,584,141,462,864
2005,300,205,585,142,463,865
2006,301,206,586,143,464,866
2007,302,207,587,144,465,867
2008,303,208,588,145,466,868
2009,304,209,589,146,467,869
2010,305,210,590,147,468,870
2011,306,211,591,148,469,871
2012,307,212,592,149,470,872
2013,308,213,593,150,471,873
2014,309,214,594,151,472,874
2015,310,215,595,152,473,875
2016,311,216,596,153,474,876
2017,312,217,597,154,475,877
2018,313,218,598,155,476,878
2019,314,219,599,156,477,879
2020,297,202,582,139,460,862
