"Year","MALATHION(QTY)(kg)","DIMETHOATE(QTY)(kg)","D.D.V.P.(QTY)(kg)","COPPER OXYCHLORIDE(QTY)(kg)","CARBARYL(QTY)(kg)","CARBOSULPHAN(QTY)(kg)"
1920,1527,520,170,1345,92,880
1921,1528,521,171,1346,93,881
1922,1529,522,172,1347,94,882
1923,1530,523,173,1348,95,883
1924,1531,524,174,1349,96,884
1925,1532,525,175,1350,97,885
1926,1533,526,176,1351,98,886
1927,1534,527,177,1352,99,887
1928,1535,528,178,1353,100,888
1929,1536,529,179,1354,101,889
1930,1537,530,180,1355,102,890
1931,1538,531,181,1356,103,891
1932,1539,532,182,1357,104,892
1933,1540,533,183,1358,105,893
1934,1541,534,184,1359,106,894
1935,1542,535,185,1360,107,895
1936,1543,536,186,1361,108,896
1937,1544,537,187,1362,109,897
1938,1545,538,188,1363,110,898
1939,1546,539,189,1364,111,899
1940,1547,540,190,1365,112,900
1941,1548,541,191,1366,113,901
1942,1549,542,192,1367,114,902
1943,1550,543,193,1368,115,903
1944,1551,544,194,1369,116,904
1945,1552,545,195,1370,117,905
1946,1553,546,196,1371,118,906
1947,1554,547,197,1372,119,907
1948,1555,548,198,1373,120,908
1949,1556,549,199,1374,121,909
1950,1557,550,200,1375,122,910
1951,1558,551,201,1376,123,911
1952,1559,552,202,1377,124,912
1953,1560,553,203,1378,125,913
1954,1561,554,204,1379,126,914
1955,1562,555,205,1380,127,915
1956,1563,556,206,1381,128,916
1957,1564,557,207,1382,129,917
1958,1565,558,208,1383,130,918
1959,1566,559,209,1384,131,919
1960,1567,560,210,1385,132,920
1961,1568,561,211,1386,133,921
1962,1569,562,212,1387,134,922
1963,1570,563,213,1388,135,923
1964,1571,564,214,1389,136,924
1965,1572,565,215,1390,137,925
1966,1573,566,216,1391,138,926
1967,1574,567,217,1392,139,927
1968,1575,568,218,1393,140,928
1969,1576,569,219,1394,141,929
1970,1577,570,220,1395,142,930
1971,1578,571,221,1396,143,931
1972,1579,572,222,1397,144,932
1973,1580,573,223,1398,145,933
1974,1581,574,224,1399,146,934
1975,1582,575,225,1400,147,935
1976,1583,576,226,1401,148,936
1977,1584,577,227,1402,149,937
1978,1585,578,228,1403,150,938
1979,1586,579,229,1404,151,939
1980,1587,580,230,1405,152,940
1981,1588,581,231,1406,153,941
1982,1589,582,232,1407,154,942
1983,1590,583,233,1408,155,943
1984,1591,584,234,1409,156,944
1985,1592,585,235,1410,157,945
1986,1593,586,236,1411,158,946
1987,1594,587,237,1412,159,947
1988,1595,588,238,1413,160,948
1989,1596,589,239,1414,161,949
1990,1597,590,240,1415,162,950
1991,1598,591,241,1416,163,951
1992,1599,592,242,1417,164,952
1993,1600,593,243,1418,165,953
1994,1601,594,244,1419,166,954
1995,1602,595,245,1420,167,955
1996,1603,596,246,1421,168,956
1997,1604,597,247,1422,169,957
1998,1605,598,248,1423,170,958
1999,1606,599,249,1424,171,959
2000,1607,600,250,1425,172,960
2001,1608,601,251,1426,173,961
2002,1609,602,252,1427,174,962
2003,1610,603,253,1428,175,963
2004,1611,604,254,1429,176,964
2005,1612,605,255,1430,177,965
2006,1613,606,256,1431,178,966
2007,1614,607,257,1432,179,967
2008,1615,608,258,1433,180,968
2009,1616,609,259,1434,181,969
2010,1617,610,260,1435,182,970
2011,1618,611,261,1436,183,971
2012,1619,612,262,1437,184,972
2013,1620,613,263,1438,185,973
2014,1621,614,264,1439,186,974
2015,1622,615,265,1440,187,975
2016,1623,616,266,1441,188,976
2017,1624,617,267,1442,189,977
2018,1625,618,268,1443,190,978
2019,1626,619,269,1444,191,979
2020,1627,620,270,1445,192,980
