Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,6.1,0.75,0.5,210,26,220
1921,6.2,0.8,0.7,211,27,221
1922,6.3,0.81,0.8,212,28,222
1923,6.6,0.92,0.9,213,29,223
1924,6.7,0.95,1,214,30,224
1925,6.2,0.8,0.7,211,27,221
1926,6.3,0.81,0.8,212,28,222
1927,6.6,0.92,0.9,213,29,223
1928,6.7,0.95,1,214,30,224
1929,6.1,0.75,0.5,210,26,220
1930,6.2,0.8,0.7,211,27,221
1931,6.3,0.81,0.8,212,28,222
1932,6.6,0.92,0.9,213,29,223
1933,6.7,0.95,1,214,30,224
1934,6.2,0.8,0.7,211,27,221
1935,6.3,0.81,0.8,212,28,222
1936,6.6,0.92,0.9,213,29,223
1937,6.3,0.81,0.8,212,28,222
1938,6.6,0.92,0.9,213,29,223
1939,6.7,0.95,1,214,30,224
1940,6.2,0.8,0.7,211,27,221
1941,6.3,0.81,0.8,212,28,222
1942,6.6,0.92,0.9,213,29,223
1943,6.7,0.95,1,214,30,224
1944,6.1,0.75,0.5,210,26,220
1945,6.2,0.8,0.7,211,27,221
1946,6.3,0.81,0.8,212,28,222
1947,6.6,0.92,0.9,213,29,223
1948,6.7,0.95,1,214,30,224
1949,6.2,0.8,0.7,211,27,221
1950,6.3,0.81,0.8,212,28,222
1951,6.2,0.8,0.7,211,27,221
1952,6.3,0.81,0.8,212,28,222
1953,6.6,0.92,0.9,213,29,223
1954,6.7,0.95,1,214,30,224
1955,6.2,0.8,0.7,211,27,221
1956,6.3,0.81,0.8,212,28,222
1957,6.6,0.92,0.9,213,29,223
1958,6.7,0.95,1,214,30,224
1959,6.1,0.75,0.5,210,26,220
1960,6.2,0.8,0.7,211,27,221
1961,6.3,0.81,0.8,212,28,222
1962,6.6,0.92,0.9,213,29,223
1963,6.7,0.95,1,214,30,224
1964,6.2,0.8,0.7,211,27,221
1965,6.3,0.81,0.8,212,28,222
1966,6.6,0.92,0.9,213,29,223
1967,6.3,0.81,0.8,212,28,222
1968,6.6,0.92,0.9,213,29,223
1969,6.7,0.95,1,214,30,224
1970,6.2,0.8,0.7,211,27,221
1971,6.3,0.81,0.8,212,28,222
1972,6.6,0.92,0.9,213,29,223
1973,6.7,0.95,1,214,30,224
1974,6.1,0.75,0.5,210,26,220
1975,6.2,0.8,0.7,211,27,221
1976,6.3,0.81,0.8,212,28,222
1977,6.6,0.92,0.9,213,29,223
1978,6.7,0.95,1,214,30,224
1979,6.7,0.95,1,214,30,224
1980,6.2,0.8,0.7,211,27,221
1981,6.3,0.81,0.8,212,28,222
1982,6.6,0.92,0.9,213,29,223
1983,6.7,0.95,1,214,30,224
1984,6.1,0.75,0.5,210,26,220
1985,6.2,0.8,0.7,211,27,221
1986,6.3,0.81,0.8,212,28,222
1987,6.6,0.92,0.9,213,29,223
1988,6.7,0.95,1,214,30,224
1989,6.2,0.8,0.7,211,27,221
1990,6.3,0.81,0.8,212,28,222
1991,6.6,0.92,0.9,213,29,223
1992,6.3,0.81,0.8,212,28,222
1993,6.6,0.92,0.9,213,29,223
1994,6.7,0.95,1,214,30,224
1995,6.2,0.8,0.7,211,27,221
1996,6.3,0.81,0.8,212,28,222
1997,6.6,0.92,0.9,213,29,223
1998,6.7,0.95,1,214,30,224
1999,6.1,0.75,0.5,210,26,220
2000,6.2,0.8,0.7,211,27,221
2001,6.3,0.81,0.8,212,28,222
2002,6.6,0.92,0.9,213,29,223
2003,6.7,0.95,1,214,30,224
2004,6.2,0.8,0.7,211,27,221
2005,6.3,0.81,0.8,212,28,222
2006,6.2,0.8,0.7,211,27,221
2007,6.3,0.81,0.8,212,28,222
2008,6.6,0.92,0.9,213,29,223
2009,6.7,0.95,1,214,30,224
2010,6.2,0.8,0.7,211,27,221
2011,6.3,0.81,0.8,212,28,222
2012,6.6,0.92,0.9,213,29,223
2013,6.7,0.95,1,214,30,224
2014,6.1,0.75,0.5,210,26,220
2015,6.2,0.8,0.7,211,27,221
2016,6.3,0.81,0.8,212,28,222
2017,6.6,0.92,0.9,213,29,223
2018,6.7,0.95,1,214,30,224
2019,6.2,0.8,0.7,211,27,221
2020,6.3,0.81,0.8,212,28,222
