Year,Rainfall,Humidity,Wind,Max Temp,Min Temp,Air Pressure
1920,14512,57,14,27,15,1024
1921,14092,59,12,25,12,1023
1922,16239,60,11,23,10,1022
1923,17556,56,9,17,5,1011
1924,13873,59,12,25,12,1023
1925,12931,60,11,23,10,1022
1926,13282,56,9,17,5,1011
1927,17556,59,12,25,12,1023
1928,13996,60,11,23,10,1022
1929,17726,56,9,17,5,1011
1930,16558,59,12,25,12,1023
1931,15419,60,11,23,10,1022
1932,16439,57,14,27,15,1024
1933,14536,59,12,25,12,1023
1934,19802,60,11,23,10,1022
1935,11337,56,9,17,5,1011
1936,11476,59,12,25,12,1023
1937,16473,60,11,23,10,1022
1938,15985,56,9,17,5,1011
1939,13773,59,12,25,12,1023
1940,17415,60,11,23,10,1022
1941,15068,56,9,17,5,1011
1942,18599,59,12,25,12,1023
1943,17369,60,11,23,10,1022
1944,15833,56,9,17,5,1011
1945,15035,59,12,25,12,1023
1946,14431,60,11,23,10,1022
1947,17812,56,9,17,5,1011
1948,13900,59,12,25,12,1023
1949,17541,60,11,23,10,1022
1950,17283,56,9,17,5,1011
1951,16673,59,12,25,12,1023
1952,13232,60,11,23,10,1022
1953,15373,57,14,27,15,1024
1954,15543,59,12,25,12,1023
1955,11514,60,11,23,10,1022
1956,13599,56,9,17,5,1011
1957,18185,59,12,25,12,1023
1958,12117,60,11,23,10,1022
1959,12270,56,9,17,5,1011
1960,17168,59,12,25,12,1023
1961,13398,60,11,23,10,1022
1962,15420,60,11,23,10,1022
1963,12911,56,9,17,5,1011
1964,13079,59,12,25,12,1023
1965,12561,60,11,23,10,1022
1966,12982,56,9,17,5,1011
1967,12131,59,12,25,12,1023
1968,15848,60,11,23,10,1022
1969,15608,56,9,17,5,1011
1970,14257,59,12,25,12,1023
1971,17177,60,11,23,10,1022
1972,21823,57,14,27,15,1024
1973,12643,59,12,25,12,1023
1974,17507,60,11,23,10,1022
1975,16581,56,9,17,5,1011
1976,14076,59,12,25,12,1023
1977,11677,60,11,23,10,1022
1978,17113,56,9,17,5,1011
1979,18233,59,12,25,12,1023
1980,10832,60,11,23,10,1022
1981,14671,56,9,17,5,1011
1982,17616,59,12,25,12,1023
1983,11841,60,11,23,10,1022
1984,14968,56,9,17,5,1011
1985,17619,59,12,25,12,1023
1986,13715,60,11,23,10,1022
1987,16617,56,9,17,5,1011
1988,15383,59,12,25,12,1023
1989,15447,60,11,23,10,1022
1990,15387,56,9,17,5,1011
1991,18824,59,12,25,12,1023
1992,18578,60,11,23,10,1022
1993,13996,57,14,27,15,1024
1994,18857,59,12,25,12,1023
1995,15234,60,11,23,10,1022
1996,17919,56,9,17,5,1011
1997,15271,59,12,25,12,1023
1998,16412,60,11,23,10,1022
1999,16067,56,9,17,5,1011
2000,19132,60,11,23,10,1022
2001,15307,56,9,17,5,1011
2002,16427,59,12,25,12,1023
2003,16339,60,11,23,10,1022
2004,15781,56,9,17,5,1011
2005,14898,59,12,25,12,1023
2006,16782,60,11,23,10,1022
2007,15911,56,9,17,5,1011
2008,20351,59,12,25,12,1023
2009,16612,60,11,23,10,1022
2010,13750,57,14,27,15,1024
2011,10632,59,12,25,12,1023
2012,16438,60,11,23,10,1022
2013,12295,56,9,17,5,1011
2014,18125,59,12,25,12,1023
2015,12511,60,11,23,10,1022
2016,15038,56,9,17,5,1011
2017,14341,59,12,25,12,1023
2018,10632,60,11,23,10,1022
2019,16438,60,11,23,10,1022
2020,12295,56,9,17,5,1011
