Year,NPK(tonnes),MAP(tonnes),MOP(tonnes),TSP(tonnes),UREA(tonnes),DAP(tonnes)
1920,2517,180,600,96,501,650
1921,2518,181,601,97,502,651
1922,2519,182,602,98,503,652
1923,2520,183,603,99,504,653
1924,2521,184,604,100,505,654
1925,2522,185,605,101,506,655
1926,2523,186,606,102,507,656
1927,2524,187,607,103,508,657
1928,2525,188,608,104,509,658
1929,2526,189,609,105,510,659
1930,2527,190,610,106,511,660
1931,2528,191,611,107,512,661
1932,2529,192,612,108,513,662
1933,2530,193,613,109,514,663
1934,2531,194,614,110,515,664
1935,2532,195,615,111,516,665
1936,2533,196,616,112,517,666
1937,2534,197,617,113,518,667
1938,2535,198,618,114,519,668
1939,2536,199,619,115,520,669
1940,2537,200,620,116,521,670
1941,2538,201,621,117,522,671
1942,2539,202,622,118,523,672
1943,2540,203,623,119,524,673
1944,2541,204,624,120,525,674
1945,2542,205,625,121,526,675
1946,2543,206,626,122,527,676
1947,2544,207,627,123,528,677
1948,2545,208,628,124,529,678
1949,2546,209,629,125,530,679
1950,2547,210,630,126,531,680
1951,2548,211,631,127,532,681
1952,2549,212,632,128,533,682
1953,2550,213,633,129,534,683
1954,2551,214,634,130,535,684
1955,2552,215,635,131,536,685
1956,2553,216,636,132,537,686
1957,2554,217,637,133,538,687
1958,2555,218,638,134,539,688
1959,2556,219,639,135,540,689
1960,2557,220,640,136,541,690
1961,2558,221,641,137,542,691
1962,2559,222,642,138,543,692
1963,2560,223,643,139,544,693
1964,2561,224,644,140,545,694
1965,2562,225,645,141,546,695
1966,2563,226,646,142,547,696
1967,2564,227,647,143,548,697
1968,2565,228,648,144,549,698
1969,2566,229,649,145,550,699
1970,2567,230,650,146,551,700
1971,2568,231,651,147,552,701
1972,2569,232,652,148,553,702
1973,2570,233,653,149,554,703
1974,2571,234,654,150,555,704
1975,2572,235,655,151,556,705
1976,2573,236,656,152,557,706
1977,2574,237,657,153,558,707
1978,2575,238,658,154,559,708
1979,2576,239,659,155,560,709
1980,2577,240,660,156,561,710
1981,2578,241,661,157,562,711
1982,2579,242,662,158,563,712
1983,2580,243,663,159,564,713
1984,2581,244,664,160,565,714
1985,2582,245,665,161,566,715
1986,2583,246,666,162,567,716
1987,2584,247,667,163,568,717
1988,2585,248,668,164,569,718
1989,2586,249,669,165,570,719
1990,2587,250,670,166,571,720
1991,2588,251,671,167,572,721
1992,2589,252,672,168,573,722
1993,2590,253,673,169,574,723
1994,2591,254,674,170,575,724
1995,2592,255,675,171,576,725
1996,2593,256,676,172,577,726
1997,2594,257,677,173,578,727
1998,2595,258,678,174,579,728
1999,2596,259,679,175,580,729
2000,2597,260,680,176,581,730
2001,2598,261,681,177,582,731
2002,2599,262,682,178,583,732
2003,2600,263,683,179,584,733
2004,2601,264,684,180,585,734
2005,2602,265,685,181,586,735
2006,2603,266,686,182,587,736
2007,2604,267,687,183,588,737
2008,2605,268,688,184,589,738
2009,2606,269,689,185,590,739
2010,2607,270,690,186,591,740
2011,2608,271,691,187,592,741
2012,2609,272,692,188,593,742
2013,2610,273,693,189,594,743
2014,2611,274,694,190,595,744
2015,2612,275,695,191,596,745
2016,2613,276,696,192,597,746
2017,2614,277,697,193,598,747
2018,2615,278,698,194,599,748
2019,2616,279,699,195,600,749
2020,2617,280,700,196,601,750
