Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0.16,29.32,13.53,17.49,7.2,1200
1921,1.16,30.32,14.53,18.49,7.5,1201
1922,2.16,31.32,15.53,19.49,8,1202
1923,3.16,32.32,16.53,20.49,8.1,1203
1924,4.16,33.32,17.53,21.49,7.2,1204
1925,5.16,34.32,18.53,22.49,7.5,1205
1926,6.16,35.32,19.53,23.49,8,1206
1927,7.16,36.32,20.53,24.49,8.1,1207
1928,8.16,37.32,21.53,25.49,7.5,1208
1929,9.16,38.32,22.53,26.49,8,1209
1930,10.16,39.32,23.53,27.49,8.1,1210
1931,11.16,40.32,24.53,28.49,7.2,1211
1932,12.16,41.32,25.53,29.49,7.5,1212
1933,13.16,42.32,26.53,30.49,8,1213
1934,14.16,43.32,27.53,31.49,7.2,1214
1935,15.16,44.32,28.53,32.49,7.5,1215
1936,16.16,45.32,29.53,33.49,8,1216
1937,17.16,46.32,30.53,34.49,8.1,1217
1938,18.16,47.32,31.53,35.49,7.2,1218
1939,19.16,48.32,32.53,36.49,7.5,1219
1940,20.16,49.32,33.53,37.49,8,1220
1941,21.16,50.32,34.53,38.49,8.1,1221
1942,22.16,51.32,35.53,39.49,7.5,1222
1943,23.16,52.32,36.53,40.49,8,1223
1944,24.16,53.32,37.53,41.49,8.1,1224
1945,25.16,54.32,38.53,42.49,7.2,1225
1946,26.16,55.32,39.53,43.49,7.5,1226
1947,27.16,56.32,40.53,44.49,8,1227
1948,28.16,57.32,41.53,45.49,8.1,1228
1949,29.16,58.32,42.53,46.49,7.2,1229
1950,30.16,59.32,43.53,47.49,7.5,1230
1951,31.16,60.32,44.53,48.49,8,1231
1952,32.16,61.32,45.53,49.49,8.1,1232
1953,33.16,62.32,46.53,50.49,7.5,1233
1954,34.16,63.32,47.53,51.49,8,1234
1955,35.16,64.32,48.53,52.49,8.1,1235
1956,36.16,65.32,49.53,53.49,7.2,1236
1957,37.16,66.32,50.53,54.49,7.5,1237
1958,38.16,67.32,51.53,55.49,8,1238
1959,39.16,68.32,52.53,56.49,7.2,1239
1960,40.16,69.32,53.53,57.49,7.5,1240
1961,41.16,70.32,54.53,58.49,8,1241
1962,42.16,71.32,55.53,59.49,8.1,1242
1963,43.16,72.32,56.53,60.49,7.2,1243
1964,44.16,73.32,57.53,61.49,7.5,1244
1965,45.16,74.32,58.53,62.49,8,1245
1966,46.16,75.32,59.53,63.49,8.1,1246
1967,47.16,76.32,60.53,64.49,7.5,1247
1968,48.16,77.32,61.53,65.49,8,1248
1969,49.16,78.32,62.53,66.49,8.1,1249
1970,50.16,79.32,63.53,67.49,8.1,1250
1971,51.16,80.32,64.53,68.49,7.2,1251
1972,52.16,81.32,65.53,69.49,7.5,1252
1973,53.16,82.32,66.53,70.49,8,1253
1974,54.16,83.32,67.53,71.49,8.1,1254
1975,55.16,84.32,68.53,72.49,7.5,1255
1976,56.16,85.32,69.53,73.49,8,1256
1977,57.16,86.32,70.53,74.49,8.1,1257
1978,58.16,87.32,71.53,75.49,7.2,1258
1979,59.16,88.32,72.53,76.49,7.5,1259
1980,60.16,89.32,73.53,77.49,8,1260
1981,61.16,90.32,74.53,78.49,7.2,1261
1982,62.16,91.32,75.53,79.49,7.5,1262
1983,63.16,92.32,76.53,80.49,8,1263
1984,64.16,93.32,77.53,81.49,8.1,1264
1985,65.16,94.32,78.53,82.49,7.2,1265
1986,66.16,95.32,79.53,83.49,7.5,1266
1987,67.16,96.32,80.53,84.49,8,1267
1988,68.16,97.32,81.53,85.49,8.1,1268
1989,69.16,98.32,82.53,86.49,7.5,1269
1990,70.16,99.32,83.53,87.49,8,1270
1991,71.16,100.32,84.53,88.49,8.1,1271
1992,72.16,101.32,85.53,89.49,7.2,1272
1993,73.16,102.32,86.53,90.49,7.5,1273
1994,74.16,103.32,87.53,91.49,8,1274
1995,75.16,104.32,88.53,92.49,8.1,1275
1996,76.16,105.32,89.53,93.49,7.2,1276
1997,77.16,106.32,90.53,94.49,7.5,1277
1998,78.16,107.32,91.53,95.49,8,1278
1999,79.16,108.32,92.53,96.49,8.1,1279
2000,80.16,109.32,93.53,97.49,7.5,1280
2001,81.16,110.32,94.53,98.49,8,1281
2002,82.16,111.32,95.53,99.49,8.1,1282
2003,83.16,112.32,96.53,100.49,7.2,1283
2004,84.16,113.32,97.53,101.49,7.5,1284
2005,85.16,114.32,98.53,102.49,8,1285
2006,86.16,115.32,99.53,103.49,7.2,1286
2007,87.16,116.32,100.53,104.49,7.5,1287
2008,88.16,117.32,101.53,105.49,8,1288
2009,89.16,118.32,102.53,106.49,8.1,1289
2010,90.16,119.32,103.53,107.49,7.2,1290
2011,91.16,120.32,104.53,108.49,7.5,1291
2012,92.16,121.32,105.53,109.49,8,1292
2013,93.16,122.32,106.53,110.49,8.1,1293
2014,94.16,123.32,107.53,111.49,7.5,1294
2015,95.16,124.32,108.53,112.49,8,1295
2016,96.16,125.32,109.53,113.49,7.2,1296
2017,97.16,126.32,110.53,114.49,7.5,1297
2018,98.16,127.32,111.53,115.49,8,1298
2019,99.16,128.32,112.53,116.49,8.1,1299
2020,100.16,129.32,113.53,117.49,7.2,1300
